date,code,close,open,high,low,volume,amount,turnover
2014/1/2,CI005001.CI,"1,922.99","1,931.59","1,931.59","1,911.52",310.0146,26.7507,0.1109
2014/1/2,CI005002.CI,1354.038,"1,369.21","1,369.21","1,350.80",249.9819,16.9635,0.3691
2014/1/2,CI005003.CI,3102.773,"3,099.55","3,109.31","3,081.84",465.9265,45.432,0.6322
2014/1/2,CI005004.CI,1886.617,"1,883.54","1,888.82","1,877.93",500.2097,40.3164,0.4271
2014/1/2,CI005005.CI,1071.69,"1,070.65","1,072.25","1,067.30",333.0678,16.3375,0.3123
2014/1/2,CI005006.CI,2627.981,"2,601.13","2,628.51","2,595.75",816.4199,87.8613,1.1692
2014/1/2,CI005007.CI,2051.514,"2,049.22","2,053.49","2,041.10",398.402,30.8281,0.3626
2014/1/2,CI005008.CI,3228.676,"3,237.37","3,237.93","3,220.71",252.4132,23.7426,0.8232
2014/1/2,CI005009.CI,1944.945,"1,928.29","1,944.97","1,922.42",265.03,25.4306,1.0497
2014/1/2,CI005010.CI,3379.883,"3,349.79","3,381.20","3,343.59",63.1517,123.8307,0.9627
2014/1/2,CI005011.CI,3365.794,"3,338.90","3,366.48","3,327.33",632.4314,61.0551,1.0761
2014/1/2,CI005012.CI,4667.275,"4,592.87","4,674.70","4,582.19",229.3086,32.0464,0.7933
2014/1/2,CI005013.CI,3674.73,"3,672.01","3,675.52","3,653.41",462.7971,49.5063,0.7834
2014/1/2,CI005014.CI,3558.093,"3,543.27","3,564.56","3,535.55",474.0933,43.3444,0.9124
2014/1/2,CI005015.CI,3066.766,"3,049.29","3,072.77","3,040.29",82.4981,9.4255,1.058
2014/1/2,CI005016.CI,4655.767,"4,653.34","4,674.75","4,616.26",453.996,42.2086,1.2736
2014/1/2,CI005017.CI,2148.689,"2,138.70","2,149.18","2,132.96",399.2477,32.4875,1.3565
2014/1/2,CI005018.CI,5916.224,"5,814.85","5,920.49","5,801.11",905.701,171.247,1.3796
2014/1/2,CI005019.CI,5404.783,"5,480.44","5,480.44","5,371.66",328.3457,59.001,0.9358
2014/1/2,CI005020.CI,3124.963,"3,086.45","3,128.51","3,078.48",452.5218,47.2747,1.4366
2014/1/2,CI005021.CI,3369.312,"3,382.29","3,385.93","3,353.91",700.6544,47.9048,0.0731
2014/1/2,CI005022.CI,4561.017,"4,589.89","4,597.12","4,523.49",467.0802,60.044,0.5244
2014/1/2,CI005023.CI,3262.495,"3,269.31","3,273.46","3,252.78",832.6639,53.049,0.6174
