trade_date,code,close,open,high,low,volume,sec_name
2022-08-03,801010.SI,3504.38,3571.73,3591.61,3496.93,1925870000.0,农林牧渔(申万)
2022-08-03,801030.SI,4442.99,4478.12,4559.27,4432.46,4989180000.0,基础化工(申万)
2022-08-03,801040.SI,2466.51,2493.9,2535.24,2464.04,2107150000.0,钢铁(申万)
2022-08-03,801050.SI,5324.68,5409.0,5482.72,5305.54,4258470000.0,有色金属(申万)
2022-08-03,801080.SI,4041.72,4029.63,4132.73,4024.56,6259630000.0,电子(申万)
2022-08-03,801110.SI,6764.59,6904.03,6961.26,6744.82,1562910000.0,家用电器(申万)
2022-08-03,801120.SI,23113.1,23235.4,23458.8,23086.2,781570000.0,食品饮料(申万)
2022-08-03,801130.SI,1538.93,1549.89,1573.16,1537.19,1204260000.0,纺织服饰(申万)
2022-08-03,801140.SI,2218.61,2237.24,2274.12,2215.7,1188460000.0,轻工制造(申万)
2022-08-03,801150.SI,8776.45,8763.39,8922.36,8763.39,3399930000.0,医药生物(申万)
2022-08-03,801160.SI,2271.2,2298.2,2329.3,2270.57,3307430000.0,公用事业(申万)
2022-08-03,801170.SI,2235.56,2261.54,2280.27,2235.56,2550070000.0,交通运输(申万)
2022-08-03,801180.SI,2886.61,2956.22,2983.86,2879.48,2789090000.0,房地产(申万)
2022-08-03,801200.SI,2629.43,2671.3,2695.52,2627.01,1030570000.0,商贸零售(申万)
2022-08-03,801210.SI,9094.44,9207.4,9333.19,9091.25,609660000.0,社会服务(申万)
2022-08-03,801230.SI,2594.51,2607.88,2659.87,2593.27,347070000.0,综合(申万)
2022-08-03,801710.SI,6403.57,6494.71,6576.46,6396.96,1473770000.0,建筑材料(申万)
2022-08-03,801720.SI,1994.06,2016.81,2044.26,1990.76,3008790000.0,建筑装饰(申万)
2022-08-03,801730.SI,11439.4,11853.8,11989.4,11376.3,7558630000.0,电力设备(申万)
2022-08-03,801740.SI,1667.39,1592.59,1688.2,1587.69,4163940000.0,国防军工(申万)
2022-08-03,801750.SI,3824.16,3801.21,3914.05,3801.21,3919890000.0,计算机(申万)
2022-08-03,801760.SI,514.07,520.02,528.5,513.38,2272600000.0,传媒(申万)
2022-08-03,801770.SI,1933.62,1931.0,1975.32,1928.15,1607500000.0,通信(申万)
2022-08-03,801780.SI,3006.84,3041.67,3059.35,3006.57,1747880000.0,银行(申万)
2022-08-03,801790.SI,1407.28,1417.61,1432.77,1407.28,1823550000.0,非银金融(申万)
2022-08-03,801880.SI,6605.31,6749.59,6914.33,6563.12,6034420000.0,汽车(申万)
2022-08-03,801890.SI,1523.92,1548.82,1570.99,1518.07,7614670000.0,机械设备(申万)
2022-08-03,801950.SI,2849.04,2888.21,2916.11,2846.69,1177890000.0,煤炭(申万)
2022-08-03,801960.SI,2188.93,2215.07,2251.84,2188.93,1186860000.0,石油石化(申万)
2022-08-03,801970.SI,1917.56,1937.46,1978.31,1913.47,1287770000.0,环保(申万)
2022-08-03,801980.SI,7260.75,7332.25,7393.39,7248.46,146250000.0,美容护理(申万)
2010-01-04,801130.SI,2113.13,2119.66,2122.57,2105.08,388126000.0,纺织服饰(申万)
2010-01-04,801060.SI,2889.49,2933.41,2933.41,2889.49,1106530000.0,建筑建材(申万)(退市)
2010-01-04,801720.SI,2044.84,2075.99,2087.02,2031.45,814612000.0,建筑装饰(申万)
2010-01-04,801150.SI,3719.45,3740.66,3744.89,3717.73,634450000.0,医药生物(申万)
2010-01-04,801110.SI,2417.34,2452.11,2452.11,2416.53,307558000.0,家用电器(申万)
2010-01-04,801080.SI,1518.96,1495.42,1530.04,1485.11,986172000.0,电子(申万)
2010-01-04,801760.SI,588.43,584.83,598.77,576.93,202386000.0,传媒(申万)
2010-01-04,801190.SI,2951.26,3007.31,3015.23,2951.26,1634120000.0,金融服务(申万)(退市)
2010-01-04,801740.SI,956.98,964.23,976.94,949.77,226207000.0,国防军工(申万)
2010-01-04,801210.SI,2804.72,2849.05,2863.54,2804.72,150469000.0,社会服务(申万)
2010-01-04,801040.SI,3786.67,3838.67,3847.63,3786.67,482585000.0,钢铁(申万)
2010-01-04,801170.SI,2672.26,2703.9,2707.72,2672.26,1073390000.0,交通运输(申万)
2010-01-04,801230.SI,1772.75,1770.75,1785.03,1764.18,393548000.0,综合(申万)
2010-01-04,801020.SI,6531.05,6636.53,6641.06,6531.05,246162000.0,采掘(申万)(退市)
2010-01-04,801790.SI,1687.17,1728.64,1740.1,1684.3,539626000.0,非银金融(申万)
2010-01-04,801880.SI,4128.44,4126.26,4204.56,4074.21,544141000.0,汽车(申万)
2010-01-04,801120.SI,4764.72,4802.85,4802.85,4753.39,402538000.0,食品饮料(申万)
2010-01-04,801730.SI,4546.64,4563.37,4626.04,4489.71,357734000.0,电力设备(申万)
2010-01-04,801070.SI,4155.0,4171.49,4179.05,4148.2,971668000.0,机械设备(申万)(退市)
2010-01-04,801200.SI,4406.33,4424.58,4451.8,4406.33,721894000.0,商贸零售(申万)
2010-01-04,801100.SI,1485.82,1461.24,1496.32,1448.8,573989000.0,信息设备(申万)(退市)
2010-01-04,801090.SI,3703.74,3710.57,3736.76,3699.8,894803000.0,交运设备(申万)(退市)
2010-01-04,801030.SI,3136.48,3180.35,3185.21,3136.48,1254620000.0,基础化工(申万)
2010-01-04,801180.SI,3536.03,3611.5,3615.57,3536.03,1153780000.0,房地产(申万)
2010-01-04,801750.SI,1851.52,1826.49,1884.73,1801.69,385908000.0,计算机(申万)
2010-01-04,801010.SI,2058.27,2077.81,2116.72,2058.27,747261000.0,农林牧渔(申万)
2010-01-04,801140.SI,1960.65,1962.21,1974.54,1950.61,436643000.0,轻工制造(申万)
2010-01-04,801710.SI,4209.19,4272.96,4331.11,4165.84,291919000.0,建筑材料(申万)
2010-01-04,801050.SI,4211.52,4241.14,4251.29,4207.27,493230000.0,有色金属(申万)
2010-01-04,801220.SI,2064.59,2071.43,2077.59,2052.89,591159000.0,信息服务(申万)(退市)
2010-01-04,801160.SI,2290.69,2312.9,2316.37,2290.64,644653000.0,公用事业(申万)
2010-01-04,801770.SI,2160.1,2166.44,2194.97,2120.91,427213000.0,通信(申万)
2010-01-04,801780.SI,2697.34,2744.85,2771.36,2695.48,1092770000.0,银行(申万)
2010-01-04,801890.SI,1106.72,1113.37,1127.31,1095.72,889789000.0,机械设备(申万)
2010-01-05,801130.SI,2128.54,2108.38,2128.59,2094.77,424902000.0,纺织服饰(申万)
2010-01-05,801060.SI,2894.72,2890.1,2894.72,2855.19,1093620000.0,建筑建材(申万)(退市)
2010-01-05,801720.SI,2048.79,2045.28,2066.01,2012.39,782020000.0,建筑装饰(申万)
2010-01-05,801150.SI,3734.3,3713.24,3734.3,3687.19,675268000.0,医药生物(申万)
