,沪深300,新华商品指数,债券指数,标普500,上证50,纳斯达克100,中证REITs
2013-01-02,,,,1462.42,,2746.47,
2013-01-03,,,,1459.37,,2732.26,
2013-01-04,2524.409,1381.294,143.474,1466.47,1870.5,2724.49,
2013-01-05,,,143.5678,,,,
2013-01-06,,,143.6197,,,,
2013-01-07,2535.985,1382.602,143.6266,1461.89,1880.262,2724.22,
2013-01-08,2525.33,1384.387,143.7053,1457.15,1857.688,2718.72,
2013-01-09,2526.126,1379.797,143.7699,1461.02,1855.342,2727.65,
2013-01-10,2530.569,1383.418,143.6709,1472.12,1855.487,2744.18,
2013-01-11,2483.23,1370.522,143.5927,1472.05,1818.984,2748.26,
2013-01-14,2577.725,1380.485,143.6211,1470.68,1893.1,2735.7,
2013-01-15,2595.856,1371.644,143.6581,1472.34,1900.051,2722.98,
2013-01-16,2577.092,1373.412,143.6641,1472.63,1877.0,2734.73,
2013-01-17,2552.758,1373.255,143.7232,1480.94,1854.936,2747.15,
2013-01-18,2595.439,1386.461,143.8406,1485.98,1886.794,2743.24,
2013-01-21,2610.898,1380.496,143.9186,,1898.438,,
2013-01-22,2596.898,1387.315,143.936,1492.56,1898.502,2746.19,
2013-01-23,2607.456,1389.745,143.9347,1494.81,1910.135,2762.17,
2013-01-24,2582.755,1381.085,143.8673,1494.82,1900.176,2723.53,
2013-01-25,2571.674,1384.89,143.8808,1502.96,1886.454,2736.73,
2013-01-28,2651.863,1384.148,143.8124,1500.18,1957.395,2742.43,
2013-01-29,2675.866,1390.142,143.8,1507.84,1982.623,2743.58,
2013-01-30,2688.711,1398.878,143.8142,1501.96,1989.315,2738.71,
2013-01-31,2686.882,1406.434,143.8321,1498.11,1993.252,2731.53,
2013-02-01,2743.324,1408.694,143.8923,1513.17,2055.724,2763.96,
2013-02-04,2748.028,1416.644,143.9366,1495.71,2065.394,2715.68,
2013-02-05,2771.675,1410.401,144.008,1511.29,2068.952,2754.99,
2013-02-06,2775.844,1407.838,144.0239,1512.12,2078.494,2746.35,
2013-02-07,2759.87,1401.88,144.0442,1509.39,2048.575,2746.5,
2013-02-08,2771.725,1401.053,144.108,1517.93,2042.422,2775.56,
2013-02-11,,,,1517.01,,2774.64,
2013-02-12,,,,1519.43,,2762.62,
2013-02-13,,,,1520.33,,2773.77,
2013-02-14,,,,1521.38,,2771.43,
2013-02-15,,,,1519.79,,2764.67,
2013-02-16,,,144.2113,,,,
2013-02-17,,,144.2698,,,,
2013-02-18,2737.471,1384.54,144.2113,,2014.577,,
2013-02-19,2685.606,1386.906,144.2088,1530.94,1981.074,2782.86,
2013-02-20,2702.635,1386.171,144.36,1511.95,1978.303,2739.99,
2013-02-21,2610.549,1365.923,144.3672,1502.42,1897.896,2711.51,
2013-02-22,2596.604,1367.987,144.3214,1515.6,1883.475,2737.28,
2013-02-25,2604.96,1357.232,144.2673,1487.85,1890.765,2700.97,
2013-02-26,2567.595,1343.033,144.2363,1496.94,1865.129,2713.02,
2013-02-27,2594.677,1350.952,144.2863,1515.99,1889.476,2741.26,
2013-02-28,2673.327,1358.202,144.261,1514.68,1956.606,2738.58,
2013-03-01,2668.836,1345.112,144.2976,1518.2,1944.423,2747.75,
2013-03-04,2545.715,1334.4,144.4316,1525.2,1841.624,2759.53,
2013-03-05,2622.807,1345.578,144.4634,1539.79,1916.709,2799.25,
2013-03-06,2650.202,1342.355,144.4704,1541.46,1933.699,2792.56,
2013-03-07,2619.479,1335.703,144.4565,1544.26,1902.374,2799.49,
2013-03-08,2606.927,1339.572,144.4542,1551.18,1901.481,2804.11,
2013-03-11,2592.372,1333.718,144.4461,1556.22,1879.818,2811.86,
2013-03-12,2555.615,1323.323,144.4663,1552.48,1854.618,2800.81,
2013-03-13,2527.486,1321.858,144.487,1554.52,1835.612,2798.68,
2013-03-14,2534.273,1312.492,144.4782,1563.23,1838.358,2807.3,
2013-03-15,2539.873,1325.052,144.4692,1560.7,1841.32,2799.41,
2013-03-18,2502.493,1304.287,144.4906,1552.1,1811.239,2792.3,
2013-03-19,2525.097,1308.9,144.5229,1548.34,1830.959,2787.27,
2013-03-20,2610.174,1316.102,144.5939,1558.71,1905.765,2805.91,
2013-03-21,2614.988,1321.365,144.5672,1545.8,1902.295,2774.85,
2013-03-22,2618.308,1315.83,144.5843,1556.89,1904.462,2800.81,
2013-03-25,2613.097,1318.4,144.6472,1551.69,1901.932,2789.45,
2013-03-26,2575.05,1313.559,144.6722,1563.77,1861.259,2806.5,
2013-03-27,2583.53,1310.239,144.7159,1562.85,1868.44,2809.98,
2013-03-28,2499.302,1300.001,144.8005,1569.19,1791.643,2818.69,
2013-03-29,2495.083,1293.574,144.8508,,1793.194,,
2013-04-01,2493.187,1275.267,145.0057,1562.17,1784.071,2797.07,
2013-04-02,2486.391,1285.43,145.1998,1570.25,1783.217,2820.62,
2013-04-03,2483.547,1278.716,145.3059,1553.69,1789.666,2795.04,
2013-04-04,,,,1559.98,,2794.92,
2013-04-05,,,,1553.28,,2771.75,
2013-04-07,,,145.4548,,,,
2013-04-08,2472.299,1288.589,145.3991,1563.07,1773.103,2786.13,
2013-04-09,2489.43,1290.212,145.5105,1568.61,1788.633,2804.67,
2013-04-10,2485.309,1294.851,145.6108,1587.73,1787.928,2859.21,
2013-04-11,2477.876,1285.783,145.5542,1593.37,1784.128,2859.07,
2013-04-12,2462.112,1286.28,145.6051,1588.85,1774.505,2856.48,
2013-04-15,2436.818,1256.012,145.7805,1552.36,1759.802,2797.47,
2013-04-16,2459.592,1246.545,146.0614,1574.57,1772.643,2838.41,
2013-04-17,2458.473,1235.751,145.9707,1552.01,1761.617,2781.98,
2013-04-18,2464.851,1222.197,145.8025,1541.61,1768.15,2741.95,
2013-04-19,2533.827,1231.791,145.7548,1555.25,1827.983,2780.46,
2013-04-22,2530.67,1211.166,145.6416,1562.5,1823.947,2810.07,
2013-04-23,2449.471,1204.464,145.8341,1578.78,1760.677,2835.37,
2013-04-24,2495.579,1216.78,145.9189,1578.79,1793.885,2834.12,
2013-04-25,2467.875,1222.934,146.0052,1585.16,1778.294,2848.66,
2013-04-26,2447.306,1226.396,146.0789,1582.24,1766.037,2840.55,
2013-04-27,,,146.1247,,,,
2013-04-28,,,146.1452,,,,
2013-04-29,,,,1593.61,,2866.95,
2013-04-30,,,,1597.57,,2887.44,
2013-05-01,,,,1582.7,,2873.35,
2013-05-02,2449.639,1211.562,146.31,1597.59,1763.05,2911.14,
2013-05-03,2492.912,1227.631,146.3487,1614.42,1795.489,2944.59,
2013-05-06,2525.983,1242.848,146.2687,1617.5,1816.598,2955.36,
2013-05-07,2529.938,1236.215,146.4096,1625.96,1817.925,2952.88,
2013-05-08,2542.798,1250.983,146.326,1632.69,1824.377,2968.24,
2013-05-09,2527.794,1246.221,146.3527,1626.67,1807.862,2961.12,
2013-05-10,2540.836,1257.337,146.4266,1633.7,1819.117,2981.02,
2013-05-13,2530.768,1252.926,146.4575,1633.77,1810.724,2982.09,
2013-05-14,2493.338,1248.02,146.462,1650.34,1785.575,2996.05,
2013-05-15,2506.925,1231.284,146.4732,1658.78,1789.431,3002.62,
2013-05-16,2552.709,1232.824,146.4828,1650.47,1821.453,2999.34,
2013-05-17,2592.048,1246.867,146.5492,1667.47,1843.809,3028.96,
2013-05-20,2609.607,1241.323,146.5905,1666.29,1861.252,3020.97,
2013-05-21,2614.853,1248.881,146.6415,1669.16,1851.084,3026.45,
2013-05-22,2618.034,1251.353,146.7126,1655.35,1858.198,2999.13,
2013-05-23,2582.849,1231.494,146.7441,1650.51,1823.737,2991.45,
2013-05-24,2597.228,1237.048,146.7694,1649.6,1829.141,2991.02,
2013-05-27,2599.587,1229.473,146.8271,,1827.263,,
2013-05-28,2644.359,1230.983,146.8641,1660.06,1870.094,3011.94,
2013-05-29,2642.561,1223.141,146.7766,1648.36,1861.702,2994.82,
