,CSI300,SP500,HSI,CR_GOV,CR_CORP,159934.SZ
2014-01-31,0.0,0.5,0.0,0.0,0.0,0.5
2014-02-28,6.268170624165904e-10,0.49999999622708285,0.49999999622708285,1.8158910380697026e-09,5.103126204552734e-09,0.0
2014-03-31,2.931172958652979e-08,0.49999998258316036,0.49999998258316036,0.0,5.521949741521484e-09,0.0
2014-04-30,0.3444709271570894,0.2388948441637422,0.41663418810905467,1.5471773275207994e-08,1.806006414825237e-08,7.038276380111552e-09
2014-05-30,2.1926535991547893e-07,0.5604662904712818,6.723420207800491e-06,7.251922905900398e-07,0.43952602431633725,1.733452269681745e-08
2014-06-30,0.13070495583025335,0.2328907498296852,0.1655162168390106,6.221058299736872e-09,0.4708880512279512,2.0052041416682314e-08
2014-07-31,5.501238269505374e-09,0.15157737625644235,0.23464243828212175,4.778030156624715e-10,0.6137801794150414,6.735331981763257e-11
2014-08-29,1.260520427788508e-09,1.6194695170528652e-09,1.2077532536235084e-10,1.7551324561297846e-09,0.8992446722812526,0.10075532296284968
2014-09-30,0.1173127203219751,1.0188231956475306e-08,1.0848842059154533e-09,0.5274092910187553,0.0005758385549803249,0.3547021388311732
2014-10-31,0.5,0.5,0.0,0.0,0.0,0.0
2014-11-28,0.4056800520975141,0.24075718289602574,1.1334463981733072e-07,1.9902614859538216e-07,0.25637592605050225,0.09718652658516944
2014-12-31,0.1062710904025634,3.515827222491235e-09,1.6054854425370727e-09,0.8937285871409757,3.130705194014086e-07,4.2646287090293485e-09
2015-01-30,3.8446939109887825e-08,0.6682741702051767,3.7681057958513236e-08,0.3317234240980512,2.20079467698964e-06,1.2877409798787324e-07
2015-02-27,0.541078543307196,2.1758607117009328e-09,0.45892056901848277,0.0,8.854984605671726e-07,0.0
2015-03-31,0.3705926718100114,0.26154129846052554,0.3678660256465098,4.0829534812410816e-09,0.0,0.0
2015-04-30,0.4288314729492364,1.2162422507917302e-07,7.690520524319978e-07,2.2712143306650074e-07,0.14233593630381666,0.4288314729492364
2015-05-29,4.286149650836734e-11,4.3886922934359995e-08,7.275857909642719e-10,5.537464187336072e-09,0.9999999481194153,1.685750365393318e-09
2015-06-30,7.805346641375746e-10,8.593301598082393e-09,1.8613150194220122e-09,6.944296509253642e-08,0.7125253079436128,0.28747461137827085
2015-07-31,2.824646706104163e-12,0.06744762474690916,1.3873124796122332e-10,0.11646872132222953,0.8160836537651222,2.4183291571099887e-11
2015-08-31,0.4842882410440926,3.527381649143739e-06,3.0552528735437366e-08,3.352848384296223e-05,0.031386431493793956,0.4842882410440926
2015-09-30,5.2354585835785264e-11,0.04773212723808629,1.6396463284648704e-12,0.8293272979125892,0.12294057478275261,1.2577823269092626e-11
2015-10-30,0.08573903776379635,0.09456340343442357,1.2673264073991357e-08,7.798000518961102e-09,0.8196975380586331,2.7188236453417395e-10
2015-11-30,1.5226103951724345e-12,2.0744742276897753e-09,3.755528724718181e-12,2.417698575827315e-10,0.9999999976643764,1.4101433869188621e-11
