指标名称,恒生指数,CRB现货指数:工业,南华铜指数,申万行业指数:房地产开发,市场价:生猪(外三元):全国均价,期货收盘价(连续):布伦特原油:ICE,现货价:螺纹钢,中债国债总指数(总值)净价指数,中债信用债总指数(3-5年)财富指数,中债3-5年期国债指数(总值)财富指数,美国:美元指数,市盈率(成份股计算):申万大盘指数,市盈率(成份股计算):申万小盘指数
2013-01-01,,,,,,,,,,,79.7400,,
2013-01-02,"23,311.98",528.52,,,,,,,,,79.8200,,
2013-01-03,"23,398.60",529.06,,,,,,,,,80.4400,,
2013-01-04,"23,331.09",530.32,"4,282.92","3,309.55",,,"3,731.76",115.25,130.45,121.02,80.5000,10.76,30.91
2013-01-05,,,,,,,,115.31,130.50,121.13,,,
2013-01-06,,,,,,,,115.34,130.54,121.18,,,
2013-01-07,"23,329.75",530.00,"4,272.94","3,295.45",,,"3,781.18",115.34,130.55,121.18,80.2200,10.80,31.26
2013-01-08,"23,111.19",529.30,"4,278.81","3,282.70",,,"3,787.65",115.39,130.63,121.31,80.3400,10.69,32.00
2013-01-09,"23,218.47",529.58,"4,281.74","3,278.14",,,"3,782.94",115.43,130.80,121.27,80.5400,10.69,32.17
2013-01-10,"23,354.31",532.50,"4,314.04","3,312.49",,,"3,792.94",115.34,130.88,121.21,79.7500,10.73,32.42
2013-01-11,"23,264.07",532.04,"4,289.08","3,207.69",,,"3,788.24",115.26,130.90,121.05,79.5500,10.57,31.71
2013-01-14,"23,413.26",532.04,"4,294.95","3,302.49",,,"3,800.62",115.25,130.98,121.06,79.4800,10.89,32.81
2013-01-15,"23,381.51",532.20,"4,234.77","3,309.07",,,"3,799.38",115.27,131.00,121.10,79.7300,10.92,33.43
2013-01-16,"23,356.99",532.68,"4,252.38","3,258.87",,,"3,800.00",115.26,131.06,121.10,79.7900,10.82,33.44
2013-01-17,"23,339.76",533.82,"4,237.71","3,250.25",,,"3,798.12",115.30,131.11,121.17,79.6600,10.71,33.04
2013-01-18,"23,601.78",534.84,"4,284.68","3,349.32",,,"3,793.75",115.38,131.19,121.28,80.0500,10.86,33.56
2013-01-21,"23,590.91",,"4,270.73","3,387.10",,,"3,788.00",115.41,131.32,121.34,80.0400,10.89,33.88
2013-01-22,"23,658.99",536.81,"4,307.43","3,367.48",,,"3,780.71",115.41,131.37,121.36,79.8600,10.86,33.30
2013-01-23,"23,635.10",536.50,"4,300.09","3,374.38",,,"3,780.00",115.40,131.50,121.27,79.9100,10.89,33.36
2013-01-24,"23,598.90",544.88,"4,288.35","3,336.04",,,"3,785.71",115.33,131.55,121.25,79.9700,10.85,32.63
2013-01-25,"23,580.43",541.19,"4,303.76","3,278.08",,,"3,787.86",115.33,131.63,121.26,79.7400,10.78,32.60
2013-01-28,"23,671.88",541.45,"4,289.82","3,391.13",,,"3,800.00",115.24,131.70,121.22,79.7900,11.04,33.44
2013-01-29,"23,655.17",542.37,"4,302.58","3,411.28",,,"3,796.92",115.22,131.69,121.23,79.5400,11.08,33.77
2013-01-30,"23,822.06",544.14,"4,333.95","3,493.44",,,"3,794.12",115.22,131.72,121.18,79.2600,11.23,33.81
2013-01-31,"23,729.53",545.05,"4,364.56","3,354.17",,,"3,789.38",115.22,131.75,121.23,79.2500,11.25,33.63
2013-02-01,"23,721.84",545.37,"4,363.10","3,361.27",,,"3,793.89",115.26,131.77,121.25,79.2100,11.44,33.84
2013-02-04,"23,685.01",542.44,"4,384.31","3,342.02",,,"3,793.89",115.26,131.85,121.27,79.5800,11.48,33.60
2013-02-05,"23,148.53",542.59,"4,369.68","3,439.09",,,"3,793.89",115.31,131.92,121.31,79.5200,11.48,33.91
2013-02-06,"23,256.93",540.21,"4,376.26","3,396.60",,,"3,793.89",115.31,131.98,121.33,79.7600,11.48,34.15
2013-02-07,"23,177.00",539.90,"4,366.02","3,377.65",,,"3,793.89",115.31,132.01,121.37,80.2200,11.38,34.27
2013-02-08,"23,215.16",538.11,"4,365.29","3,404.93",,,"3,793.89",115.35,132.04,121.39,80.2300,11.44,34.79
2013-02-11,,542.36,,,,,,,,,80.3600,,
2013-02-12,,542.89,,,,,,,,,80.0400,,
2013-02-13,,541.93,,,,,,,,,80.0600,,
2013-02-14,"23,413.25",542.57,,,,,,,,,80.3700,,
2013-02-15,"23,444.56",544.37,,,,,,,,,80.4700,,
2013-02-16,,,,,,,,115.34,132.32,121.50,,,
2013-02-17,,,,,,,,115.38,132.45,121.53,,,
2013-02-18,"23,381.94",,"4,307.52","3,374.78",,,"3,852.22",115.32,132.51,121.44,80.6500,11.36,35.06
2013-02-19,"23,143.91",544.95,"4,298.74","3,244.14",,,"3,868.89",115.31,132.59,121.42,80.4700,11.18,34.48
2013-02-20,"23,307.41",541.05,"4,289.96","3,290.47",,,"3,878.89",115.42,132.68,121.45,81.0400,11.22,35.20
2013-02-21,"22,906.67",538.70,"4,213.91","3,233.46",,,"3,890.56",115.41,132.83,121.42,81.3800,10.87,34.53
2013-02-22,"22,782.44",533.74,"4,213.91","3,232.91",,,"3,901.67",115.36,132.96,121.38,81.4700,10.80,34.48
2013-02-25,"22,820.08",533.22,"4,189.04","3,201.54",,,"3,892.78",115.28,133.03,121.32,81.8200,10.83,34.88
2013-02-26,"22,519.69",533.15,"4,176.61","3,146.49",,,"3,860.00",115.25,132.90,121.33,81.8400,10.68,34.42
2013-02-27,"22,577.01",536.51,"4,204.40","3,226.85",,,"3,851.67",115.28,132.87,121.38,81.5500,10.79,34.42
2013-02-28,"23,020.27",536.90,"4,215.37","3,333.56",,,"3,840.00",115.24,132.87,121.37,81.9600,11.04,35.08
2013-03-01,"22,880.22",535.27,"4,147.66","3,322.43",,,"3,846.11",115.26,132.93,121.35,82.2700,10.99,35.54
2013-03-04,"22,537.81",534.85,"4,118.41","3,034.04",,,"3,844.71",115.34,132.95,121.53,82.1800,10.58,34.37
2013-03-05,"22,560.50",534.68,"4,163.61","3,046.79",,,"3,835.88",115.35,132.99,121.56,82.0400,10.83,35.15
2013-03-06,"22,777.84",534.34,"4,146.79","3,070.34",,,"3,812.94",115.34,133.04,121.58,82.5900,10.91,35.79
2013-03-07,"22,771.44",534.75,"4,134.35","3,089.61",,,"3,803.53",115.32,133.05,121.55,82.0800,10.80,35.41
2013-03-08,"23,091.95",540.30,"4,149.71","3,052.64",,,"3,799.41",115.31,133.06,121.55,82.7400,10.78,35.08
2013-03-11,"23,090.82",540.43,"4,129.96","3,081.44",,,"3,768.82",115.27,133.10,121.50,82.5700,10.73,35.13
2013-03-12,"22,890.60",540.75,"4,120.46","3,067.64",,,"3,756.88",115.27,133.07,121.56,82.6000,10.65,34.22
2013-03-13,"22,556.65",542.40,"4,157.76","3,009.79",,,"3,744.38",115.27,133.06,121.61,82.9100,10.55,33.92
2013-03-14,"22,619.18",543.90,"4,151.90","3,006.12",,,"3,726.25",115.26,133.01,121.60,82.5800,10.59,34.09
2013-03-15,"22,533.11",544.13,"4,177.50","2,957.00",,,"3,706.67",115.24,132.98,121.56,82.1400,10.65,34.13
2013-03-18,"22,083.36",540.66,"4,044.40","2,961.07",,,"3,719.33",115.22,133.01,121.61,82.6300,10.45,33.74
2013-03-19,"22,041.86",540.13,"4,022.46","3,039.37",,,"3,728.00",115.23,132.94,121.62,83.0300,10.53,33.84
2013-03-20,"22,256.44",539.67,"4,052.44","3,118.66",,,"3,720.00",115.28,132.89,121.63,82.8200,10.83,34.71
2013-03-21,"22,225.88",539.93,"4,081.56","3,095.83",,,"3,717.33",115.25,132.91,121.60,82.8500,10.84,35.12
2013-03-22,"22,115.30",540.12,"4,070.58","3,115.97",,,"3,712.67",115.25,132.92,121.62,82.3700,10.86,35.24
2013-03-25,"22,251.15",540.54,"4,089.02","3,132.80",,,"3,698.00",115.26,132.96,121.67,82.9300,10.86,35.27
2013-03-26,"22,311.08",540.92,"4,079.51","3,126.94",,,"3,682.00",115.27,132.96,121.69,82.8900,10.71,35.10
2013-03-27,"22,464.82",539.84,"4,064.88","3,141.01",,,"3,684.00",115.29,132.99,121.69,83.2100,10.72,35.19
2013-03-28,"22,299.63",539.22,"4,045.85","3,036.13",,,"3,682.00",115.35,133.14,121.73,83.0000,10.43,34.17
2013-03-29,,,"4,011.47","3,027.51",,,"3,679.33",115.38,133.28,121.76,82.9900,10.42,34.26
2013-04-01,,538.78,"3,931.72","3,078.09",,,"3,661.43",115.47,133.42,121.89,82.7400,10.40,34.48
2013-04-02,"22,367.82",538.62,"3,985.86","3,115.51",,,"3,635.00",115.61,133.63,122.01,82.8900,10.39,33.97
2013-04-03,"22,337.49",537.28,"3,955.13","3,078.84",,,"3,641.33",115.69,133.76,122.11,82.7600,10.40,33.63
2013-04-04,,536.88,,,,,,,,,82.7400,,
2013-04-05,"21,726.90",533.83,,,,,,,,,82.5600,,
2013-04-07,,,,,,,,115.76,134.01,122.22,,,
2013-04-08,"21,718.05",534.22,"3,996.10","3,040.63",,,"3,654.67",115.70,134.12,122.10,82.7100,10.34,33.84
2013-04-09,"21,870.34",534.73,"4,031.22","3,087.85",,,"3,658.67",115.78,134.26,122.19,82.3800,10.40,34.46
2013-04-10,"22,034.56",529.92,"4,036.64","3,088.27",,,"3,660.67",115.85,134.31,122.28,82.4900,10.40,34.67
2013-04-11,"22,101.27",534.64,"4,019.22","3,079.01",,,"3,662.00",115.79,134.34,122.23,82.2500,10.38,34.55
2013-04-12,"22,089.05",533.44,"4,037.66","3,066.96",,,"3,660.00",115.82,134.41,122.29,82.1000,10.33,34.33
2013-04-15,"21,772.67",528.73,"3,909.71","3,082.65",,,"3,652.00",115.93,134.60,122.38,82.3000,10.23,33.82
2013-04-16,"21,672.03",527.76,"3,874.55","3,199.26",,,"3,640.00",116.14,134.72,122.55,81.8300,10.30,34.98
2013-04-17,"21,569.67",527.97,"3,825.48","3,203.37",,,"3,635.33",116.06,134.78,122.46,82.6400,10.28,36.13
2013-04-18,"21,512.52",528.50,"3,700.96","3,204.24",,,"3,611.33",115.91,134.63,122.38,82.5600,10.30,36.30
2013-04-19,"22,013.57",529.23,"3,712.68","3,251.13",,,"3,603.33",115.86,134.36,122.35,82.7500,10.51,37.26
2013-04-22,"22,044.37",529.14,"3,591.83","3,200.70",,,"3,588.67",115.74,133.91,122.33,82.6400,10.44,38.87
2013-04-23,"21,806.61",526.02,"3,594.76","3,089.77",,,"3,585.33",115.88,133.95,122.49,83.0100,10.16,38.84
2013-04-24,"22,183.05",525.33,"3,706.09","3,125.81",,,"3,578.67",115.94,133.96,122.49,82.9500,10.33,41.22
2013-04-25,"22,401.24",527.09,"3,755.90","3,062.11",,,"3,567.33",115.99,134.03,122.48,82.7700,10.25,40.54
2013-04-26,"22,547.71",527.13,"3,791.78","3,051.64",,,"3,567.33",116.04,134.12,122.66,82.4900,10.17,39.79
2013-04-27,,,,,,,,116.07,134.18,122.71,,,
2013-04-28,,,,,,,,116.07,134.19,122.76,,,
2013-04-29,"22,580.77",528.45,,,,,,,,,82.1400,,
2013-04-30,"22,737.01",528.68,,,,,,,,,81.7200,,
2013-05-01,,523.29,,,,,,,,,81.6200,,
2013-05-02,"22,668.30",523.87,"3,638.71","3,096.74",,,"3,557.33",116.16,134.34,122.82,82.2200,10.17,40.21
2013-05-03,"22,689.96",527.43,"3,749.30","3,141.50",,,"3,554.00",116.18,134.45,122.89,82.0800,10.31,41.05
