指标名称,制造业PMI,固定资产投资(不含农户)完成额:累计同比,社会消费品零售总额:当月同比,进出口金额(人民币计价):中国:当月同比,CPI:当月同比,PPI:当月同比,中债国债到期收益率:10年:月:平均值,中债中短期票据到期收益率(AA):3年:月:平均值,中债国开债到期收益率:3年:月:平均值,美国:美元指数:月:平均值,M2(货币和准货币):同比,社会融资规模增量:当月同比
2013-01,50.40,,,,2.03,-1.64,3.5935,5.1860,3.8891,79.8683,15.90,160.88
2013-02,50.10,21.20,,,3.22,-1.63,3.5874,4.9706,3.7735,80.6000,15.20,2.63
2013-03,50.90,20.90,12.60,,2.07,-1.92,3.5789,5.0226,3.8381,82.6390,15.70,36.36
2013-04,50.60,20.60,12.80,,2.39,-2.62,3.4602,4.8747,3.7670,82.5191,16.10,82.92
2013-05,50.80,20.40,12.89,,2.10,-2.87,3.4244,4.8805,3.7318,83.2130,15.80,3.84
2013-06,50.10,20.10,13.31,,2.67,-2.70,3.5146,5.1600,4.0043,81.8610,14.00,-41.72
2013-07,50.30,20.10,13.21,,2.67,-2.27,3.6344,5.3431,4.1166,82.8022,14.50,-22.15
2013-08,51.00,20.30,13.37,,2.57,-1.62,3.9130,5.7629,4.4116,81.4932,14.70,26.98
2013-09,51.10,20.20,13.30,,3.05,-1.34,4.0485,5.8750,4.7224,81.2248,14.20,-14.23
2013-10,51.40,20.10,13.32,,3.21,-1.51,4.1133,5.9738,4.8968,79.8787,14.30,-33.01
2013-11,51.40,19.90,13.72,,3.02,-1.42,4.4633,6.6612,5.3930,80.8000,14.20,9.67
2013-12,51.00,19.60,13.60,,2.50,-1.36,4.5492,7.1459,5.6138,80.3314,13.60,-23.03
2014-01,50.50,,,,2.49,-1.60,4.5624,7.1806,5.6831,80.7973,13.20,2.19
2014-02,50.20,17.90,,,1.95,-2.02,4.4823,6.8431,5.3443,80.4403,13.30,-12.47
2014-03,50.30,17.60,12.24,,2.38,-2.30,4.5048,6.6115,5.2257,79.8711,12.10,-17.92
2014-04,50.40,17.30,11.94,,1.80,-2.00,4.3862,6.5474,5.2131,79.8635,13.20,-13.44
2014-05,50.80,17.20,12.51,,2.48,-1.45,4.1830,6.2206,4.9102,79.9645,13.40,18.04
2014-06,51.00,17.30,12.43,,2.34,-1.11,4.0524,6.0200,4.6147,80.4256,14.70,89.62
2014-07,51.70,17.00,12.22,,2.29,-0.87,4.2070,6.0374,4.7762,80.5327,13.50,-66.59
2014-08,51.10,16.50,11.90,,1.99,-1.20,4.2466,5.8858,4.7214,81.8659,12.80,-39.54
2014-09,51.10,16.10,11.57,,1.63,-1.80,4.1561,5.7734,4.6228,84.3758,12.90,-19.58
2014-10,50.80,15.90,11.52,,1.60,-2.24,3.8414,5.5865,4.2488,85.6584,12.60,-21.26
2014-11,50.30,15.80,11.72,,1.44,-2.69,3.5851,5.0600,3.8064,87.7500,12.30,-6.91
2014-12,50.10,15.70,11.89,,1.51,-3.32,3.6827,5.6726,4.0586,89.1697,12.20,35.21
2015-01,49.80,,,,0.76,-4.32,3.5368,5.4184,3.8408,92.8467,10.80,-21.10
