,000300.SH,NHCI.SL,000905.SH,CBA00601.CB,CBA02001.CB,BRN0Y.ICE
,沪深300,南华商品,中证500,中债国债总指数(总值)财富指数,中债企业债总指数(总值)财富指数,布伦特原油连续
2013/1/4,2524.409,1381.294,3258.251,143.474,125.1711,111.4
2013/1/5,--,--,--,143.5678,125.2289,--
2013/1/6,--,--,--,143.6197,125.2587,--
2013/1/7,2535.985,1382.602,3288.369,143.6266,125.3129,110.59
2013/1/8,2525.33,1384.387,3327.04,143.7053,125.3475,110.83
2013/1/9,2526.126,1379.797,3334.987,143.7699,125.452,110.8
2013/1/10,2530.569,1383.418,3356.35,143.6709,125.491,110.99
2013/1/11,2483.23,1370.522,3271.179,143.5927,125.5006,109.84
2013/1/14,2577.725,1380.485,3384.745,143.6211,125.5621,111.14
2013/1/15,2595.856,1371.644,3450.682,143.6581,125.6025,109.62
2013/1/16,2577.092,1373.412,3450.56,143.6641,125.641,109.91
2013/1/17,2552.758,1373.255,3408.022,143.7232,125.6814,110.92
2013/1/18,2595.439,1386.461,3464.645,143.8406,125.7831,111.67
2013/1/21,2610.898,1380.496,3491.122,143.9186,125.9021,111.8
2013/1/22,2596.898,1387.315,3435.434,143.936,125.9446,112.46
2013/1/23,2607.456,1389.745,3441.745,143.9347,126.0902,112.79
2013/1/24,2582.755,1381.085,3369.732,143.8673,126.1563,113.36
2013/1/25,2571.674,1384.89,3364.061,143.8808,126.2221,113.4
2013/1/28,2651.863,1384.148,3449.794,143.8124,126.2817,113.4
2013/1/29,2675.866,1390.142,3482.519,143.8,126.2923,114.2
2013/1/30,2688.711,1398.878,3500.578,143.8142,126.3333,114.95
2013/1/31,2686.882,1406.434,3479.638,143.8321,126.3718,115.6
2013/2/1,2743.324,1408.694,3507.709,143.8923,126.3631,116.63
2013/2/4,2748.028,1416.644,3484.362,143.9366,126.4329,115.49
2013/2/5,2771.675,1410.401,3520.646,144.008,126.4659,115.59
2013/2/6,2775.844,1407.838,3544.385,144.0239,126.5397,115.97
2013/2/7,2759.87,1401.88,3557.667,144.0442,126.5659,116.7
2013/2/8,2771.725,1401.053,3608.589,144.108,126.6067,117.81
2013/2/16,--,--,--,144.2113,126.8088,--
2013/2/17,--,--,--,144.2698,126.8904,--
2013/2/18,2737.471,1384.54,3627.776,144.2113,126.9522,117.4
2013/2/19,2685.606,1386.906,3561.357,144.2088,127.0577,117.2
2013/2/20,2702.635,1386.171,3635.375,144.36,127.147,115.1
2013/2/21,2610.549,1365.923,3560.317,144.3672,127.3155,113.65
2013/2/22,2596.604,1367.987,3548.358,144.3214,127.4567,114.3
2013/2/25,2604.96,1357.232,3587.587,144.2673,127.5714,113.34
2013/2/26,2567.595,1343.033,3533.204,144.2363,127.4848,112.99
2013/2/27,2594.677,1350.952,3535.896,144.2863,127.4912,112
2013/2/28,2673.327,1358.202,3608.199,144.261,127.5198,111
2013/3/1,2668.836,1345.112,3648.422,144.2976,127.5748,110.51
2013/3/4,2545.715,1334.4,3518.717,144.4316,127.6267,110.04
2013/3/5,2622.807,1345.578,3597.922,144.4634,127.6863,110.94
2013/3/6,2650.202,1342.355,3653.934,144.4704,127.7212,109.98
2013/3/7,2619.479,1335.703,3609.64,144.4565,127.726,110.07
2013/3/8,2606.927,1339.572,3570.38,144.4542,127.7389,110.25
2013/3/11,2592.372,1333.718,3571.105,144.4461,127.829,109.48
2013/3/12,2555.615,1323.323,3481.175,144.4663,127.8416,109.13
2013/3/13,2527.486,1321.858,3449.35,144.487,127.8352,108.18
2013/3/14,2534.273,1312.492,3464.854,144.4782,127.7876,109.34
2013/3/15,2539.873,1325.052,3471.214,144.4692,127.8031,110.05
2013/3/18,2502.493,1304.287,3427.12,144.4906,127.8493,109.4
2013/3/19,2525.097,1308.9,3438.072,144.5229,127.7989,107.46
2013/3/20,2610.174,1316.102,3527.772,144.5939,127.8029,108.58
2013/3/21,2614.988,1321.365,3565.02,144.5672,127.8144,107.2
2013/3/22,2618.308,1315.83,3579.92,144.5843,127.8269,107.5
2013/3/25,2613.097,1318.4,3568.523,144.6472,127.8725,108.18
2013/3/26,2575.05,1313.559,3543.812,144.6722,127.8403,109.4
2013/3/27,2583.53,1310.239,3552.257,144.7159,127.8768,109.84
2013/3/28,2499.302,1300.001,3448.977,144.8005,127.9916,109.77
2013/3/29,2495.083,1293.574,3447.285,144.8508,128.0528,--
2013/4/1,2493.187,1275.267,3470.96,145.0057,128.1861,111.08
2013/4/2,2486.391,1285.43,3428.5,145.1998,128.3658,110.53
2013/4/3,2483.547,1278.716,3397.232,145.3059,128.4823,106.89
2013/4/7,--,--,--,145.4548,128.6526,--
2013/4/8,2472.299,1288.589,3411.13,145.3991,128.7536,104.9
2013/4/9,2489.43,1290.212,3444.371,145.5105,128.8878,106.15
2013/4/10,2485.309,1294.851,3437.267,145.6108,128.9684,105.65
2013/4/11,2477.876,1285.783,3423.217,145.5542,128.9559,104.41
2013/4/12,2462.112,1286.28,3394.517,145.6051,129.0218,102.85
2013/4/15,2436.818,1256.012,3346.851,145.7805,129.1765,99.31
2013/4/16,2459.592,1246.545,3383.081,146.0614,129.2998,100.1
2013/4/17,2458.473,1235.751,3412.416,145.9707,129.3357,97.37
2013/4/18,2464.851,1222.197,3423.012,145.8025,129.2479,99.6
2013/4/19,2533.827,1231.791,3495.242,145.7548,129.0339,99.53
2013/4/22,2530.67,1211.166,3511.624,145.6416,128.7021,100.37
2013/4/23,2449.471,1204.464,3416.449,145.8341,128.6824,100.31
2013/4/24,2495.579,1216.78,3484.568,145.9189,128.6876,101.82
2013/4/25,2467.875,1222.934,3431.401,146.0052,128.7492,103.11
2013/4/26,2447.306,1226.396,3367.766,146.0789,128.867,102.85
2013/4/27,--,--,--,146.1247,128.9297,--
2013/4/28,--,--,--,146.1452,128.94,--
2013/5/2,2449.639,1211.562,3383.398,146.31,129.0965,102.7
2013/5/3,2492.912,1227.631,3448.64,146.3487,129.1607,103.71
2013/5/6,2525.983,1242.848,3514.457,146.2687,129.2194,105.46
2013/5/7,2529.938,1236.215,3521.477,146.4096,129.3084,103.75
2013/5/8,2542.798,1250.983,3553.848,146.326,129.2846,104.02
2013/5/9,2527.794,1246.221,3555.769,146.3527,129.3777,104.1
2013/5/10,2540.836,1257.337,3577.327,146.4266,129.4986,103.38
2013/5/13,2530.768,1252.926,3590.758,146.4575,129.6292,102.64
2013/5/14,2493.338,1248.02,3549.303,146.462,129.6999,102.53
2013/5/15,2506.925,1231.284,3597.106,146.4732,129.7767,103.65
2013/5/16,2552.709,1232.824,3635.755,146.4828,129.8008,103.84
2013/5/17,2592.048,1246.867,3691.399,146.5492,129.8322,104.72
2013/5/20,2609.607,1241.323,3737.748,146.5905,129.8654,104.79
2013/5/21,2614.853,1248.881,3787.059,146.6415,129.8527,103.63
2013/5/22,2618.034,1251.353,3755.874,146.7126,129.8791,102.47
2013/5/23,2582.849,1231.494,3724.229,146.7441,130.0085,102.66
2013/5/24,2597.228,1237.048,3782.071,146.7694,130.0906,102.78
2013/5/27,2599.587,1229.473,3820.427,146.8271,130.209,102.62
2013/5/28,2644.359,1230.983,3827.782,146.8641,130.2693,104.35
2013/5/29,2642.561,1223.141,3856.319,146.7766,130.3208,102.18
2013/5/30,2634.323,1226.254,3865.134,146.7771,130.374,102.24
2013/5/31,2606.426,1226.496,3841.218,146.7588,130.3915,100.15
2013/6/3,2602.623,1235.639,3814.51,146.7144,130.4548,102.17
2013/6/4,2565.666,1235.723,3739.724,146.6627,130.4542,103.18
2013/6/5,2560.539,1238.466,3755.148,146.6277,130.4512,102.63
2013/6/6,2527.845,1223.957,3688.736,146.5797,130.3887,103.19
2013/6/7,2484.16,1229.209,3616.21,146.4589,130.3134,104.55
