,850531.SL,STIP.P,000300.SH,HSI.HK,SPX.GI,N225.GI,BRN0Y.ICE,CU00.SHF,CBA02001.CB,CBA00603.CB,
,黄金,美国国债0-5年期债券,沪深300,恒生指数,标普500,日经225,布伦特原油连续,沪铜连续,中债企业债总指数(总值)财富指数,中债国债总指数(总值)全价指数,
2013-01-02,--,76.4728,--,23311.98,1462.42,--,--,--,--,--,
2013-01-03,--,76.4282,--,23398.6,1459.37,--,--,--,--,--,
2013-01-04,7895.64,76.4134,2524.409,23331.09,1466.47,10688.11,111.4,57730,125.1711,116.911,
2013-01-05,--,--,--,--,--,--,--,--,125.2289,116.9875,
2013-01-06,--,--,--,--,--,--,--,--,125.2587,117.0297,
2013-01-07,7838.59,76.4579,2535.985,23329.75,1461.89,10599.01,110.59,57630,125.3129,117.0353,
2013-01-08,7838.94,76.4876,2525.33,23111.19,1457.15,10508.06,110.83,57660,125.3475,117.0995,
2013-01-09,7852.44,76.5544,2526.126,23218.47,1461.02,10578.57,110.8,57690,125.452,117.1521,
2013-01-10,7940.29,76.5321,2530.569,23354.31,1472.12,10652.64,110.99,58000,125.491,117.0715,
2013-01-11,7772.68,76.5024,2483.23,23264.07,1472.05,10801.57,109.84,57800,125.5006,117.0077,
2013-01-14,7921.7,76.5469,2577.725,23413.26,1470.68,--,111.14,57750,125.5621,117.0309,
2013-01-15,8044.69,76.5915,2595.856,23381.51,1472.34,10879.08,109.62,57150,125.6025,117.061,
2013-01-16,8208.97,76.5469,2577.092,23356.99,1472.63,10600.44,109.91,57650,125.641,117.0659,
2013-01-17,8022.45,76.5173,2552.758,23339.76,1480.94,10609.64,110.92,57420,125.6814,117.1141,
2013-01-18,8133.11,76.5395,2595.439,23601.78,1485.98,10913.3,111.67,57950,125.7831,117.2097,
2013-01-21,8096.47,--,2610.898,23590.91,--,10747.74,111.8,57840,125.9021,117.2504,
2013-01-22,7974.63,76.5692,2596.898,23658.99,1492.56,10709.93,112.46,58290,125.9446,117.2646,
2013-01-23,7938.07,76.5544,2607.456,23635.1,1494.81,10486.99,112.79,58170,126.0902,117.2543,
2013-01-24,7738.11,76.5544,2582.755,23598.9,1494.82,10620.87,113.36,58100,126.1563,117.1994,
2013-01-25,7753.7,76.4876,2571.674,23580.43,1502.96,10926.65,113.4,58260,126.2221,117.2104,
2013-01-28,7831.05,76.4876,2651.863,23671.88,1500.18,10824.31,113.4,58130,126.2817,117.1097,
2013-01-29,7950.53,76.495,2675.866,23655.17,1507.84,10866.72,114.2,58330,126.2923,117.0892,
2013-01-30,7869.39,76.5915,2688.711,23822.06,1501.96,11113.95,114.95,58620,126.3333,117.1008,
2013-01-31,7978.96,76.6582,2686.882,23729.53,1498.11,11138.66,115.6,58850,126.3718,117.1058,
2013-02-01,7929.32,76.6805,2743.324,23721.84,1513.17,11191.34,116.63,58970,126.3631,117.1548,
2013-02-04,8074.39,76.7102,2748.028,23685.01,1495.71,11260.35,115.49,59170,126.4329,117.1718,
2013-02-05,8100.88,76.6805,2771.675,23148.53,1511.29,11046.92,115.59,59010,126.4659,117.2206,
2013-02-06,8081.14,76.6953,2775.844,23256.93,1512.12,11463.75,115.97,58990,126.5397,117.2172,
