,000300.SH,000905.SH,399006.SZ,CBA00601.CB,NHMI.SL,NHECI.SL,NHCI.SL,000852.SH,HSI.HK,SPX.GI,CBA02001.CB
,沪深300,中证500,创业板指,中债国债总指数(总值)财富指数,南华金属,南华能化,南华商品,中证1000,恒生指数,标普500,中债企业债总指数(总值)财富指数
,收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元)
2017-01-03,3342.2272,6320.763,1963.255,170.6872,2218.67,1307.6,1292.61,8565.136,22150.4,2257.83,161.9947
2017-01-04,3368.3117,6394.669,1991.565,170.3652,2240.468,1313.386,1299.108,8669.949,22134.47,2270.75,162.1309
2017-01-05,3367.7892,6399.284,1983.971,170.0915,2255.439,1310.971,1300.712,8670.761,22456.69,2269,162.1702
2017-01-06,3347.6665,6371.617,1965.03,170.2016,2229.534,1307.357,1290.731,8609.899,22503.01,2276.98,162.1857
2017-01-09,3363.9014,6415.418,1961.619,170.3966,2303.407,1351.787,1322.411,8653.847,22558.69,2268.9,162.3007
2017-01-10,3358.2716,6393.928,1951.677,170.5206,2367.323,1379.072,1343.681,8609.553,22744.85,2268.9,162.4188
2017-01-11,3334.4954,6331.964,1937.547,170.218,2393.737,1380.455,1353.613,8519.845,22935.35,2275.32,162.5303
2017-01-12,3317.6241,6272.851,1930.145,170.3646,2400.799,1399.941,1361.66,8443.261,22829.02,2270.44,162.6024
2017-01-13,3319.9122,6194.658,1899.943,170.3729,2403.967,1411.224,1367.514,8286.241,22937.38,2274.64,162.6742
2017-01-16,3319.4455,6031.241,1830.848,170.3133,2496.475,1469.684,1410.208,7931.955,22718.15,--,162.7144
2017-01-17,3326.3563,6082.066,1867.868,170.0399,2438.437,1418.293,1384.388,8028.651,22840.97,2267.89,162.4934
2017-01-18,3339.3653,6068.593,1845.788,170.0551,2441.167,1422.736,1387.321,7989.141,23098.26,2271.89,162.2599
2017-01-19,3329.2891,6043.675,1844.14,170.0263,2433.895,1419.425,1384.726,7955.392,23049.96,2263.69,162.1288
2017-01-20,3354.8891,6121.998,1880.748,170.1576,2380.952,1382.477,1360.739,8087.772,22885.91,2271.31,162.23
2017-01-22,--,--,--,170.1777,--,--,--,--,--,--,162.3442
2017-01-23,3364.0808,6172.167,1887.325,170.2343,2398.042,1392.846,1368.453,8169.109,22898.52,2265.2,162.3865
2017-01-24,3364.4509,6165.264,1861.216,169.9578,2461.346,1414.066,1388.605,8123.586,22949.86,2280.07,162.3988
2017-01-25,3375.9042,6179.568,1870.703,169.5474,2467.148,1422.362,1389.242,8150.596,23049.12,2298.37,162.2001
2017-01-26,3387.9606,6223.706,1886.232,169.4988,2506.337,1457.158,1406.747,8205.871,23374.17,2296.68,162.2129
2017-01-27,--,--,--,--,--,--,--,--,23360.78,2294.69,--
2017-01-30,--,--,--,--,--,--,--,--,--,2280.9,--
2017-01-31,--,--,--,--,--,--,--,--,--,2278.87,--
2017-02-01,--,--,--,--,--,--,--,--,23318.39,2279.55,--
2017-02-02,--,--,--,--,--,--,--,--,23184.52,2280.85,--
2017-02-03,3364.4923,6207.092,1876.761,169.1088,2393.916,1406.059,1368.889,8182.279,23129.21,2297.42,162.0783
2017-02-04,--,--,--,169.1236,--,--,--,--,--,--,161.9802
2017-02-06,3373.2051,6259.247,1900.447,168.6163,2377.458,1405.953,1368.573,8280.008,23348.24,2292.56,161.7502
2017-02-07,3365.6849,6255.927,1889.134,168.5031,2420.585,1420.055,1381.599,8282.375,23331.57,2293.08,161.3305
2017-02-08,3383.2878,6291.598,1903.628,168.541,2467.842,1421.966,1393.834,8342.434,23485.13,2294.67,161.2009
2017-02-09,3396.2924,6331.177,1914.082,168.8268,2458.177,1405.834,1386.471,8410.261,23525.14,2307.87,161.3497
2017-02-10,3413.4868,6337.108,1904.685,168.7437,2534.95,1430.385,1411.07,8380.786,23574.98,2316.1,161.4222
2017-02-13,3436.275,6369.653,1913.681,168.7875,2622.33,1478.554,1448.177,8432.957,23710.98,2328.25,161.5161
2017-02-14,3435.8042,6374.885,1909.395,168.8228,2629.29,1483.488,1448.467,8423.836,23703.01,2337.58,161.5549
2017-02-15,3421.7131,6311.696,1892.357,168.788,2582.812,1452.144,1423.312,8344.074,23994.87,2349.25,161.5513
2017-02-16,3440.9331,6359.336,1897.63,168.9761,2566.893,1427.614,1409.255,8397.562,24107.7,2347.22,161.5779
2017-02-17,3421.4419,6307.163,1882.869,169.2713,2590.859,1436.342,1413.376,8324.417,24033.74,2351.16,161.6742
2017-02-20,3471.3926,6385.063,1894.962,169.6458,2622.139,1451.952,1424.264,8397.244,24146.08,--,161.7865
2017-02-21,3482.823,6434.438,1921.077,169.4807,2651.531,1435.545,1424.361,8479.608,23963.63,2365.38,161.8205
2017-02-22,3489.7567,6474.225,1919.973,169.6788,2619.185,1422.37,1411.943,8510.305,24201.96,2362.82,161.792
2017-02-23,3473.3236,6473.993,1925.951,169.8523,2588.501,1392.487,1392.663,8512.705,24114.86,2363.81,161.8692
2017-02-24,3473.8517,6476.166,1938.445,169.748,2573.28,1404.984,1395.997,8543.449,23965.7,2367.34,161.9976
2017-02-27,3446.2228,6424.255,1926.772,169.8468,2610.124,1413.927,1406.314,8476.906,23925.05,2369.73,162.0589
2017-02-28,3452.8103,6450.97,1927.16,169.798,2563.972,1399.751,1390.408,8508.086,23740.73,2363.64,162.0298
2017-03-01,3458.4376,6467.639,1931.968,169.7005,2607.128,1423.557,1407.68,8526.472,23776.49,2395.96,161.9849
2017-03-02,3435.0963,6434.626,1920.405,169.7009,2606.585,1424.181,1410.125,8471.44,23728.07,2381.92,161.9466
2017-03-03,3427.8628,6452.839,1928.289,169.7084,2592.437,1427.878,1406.255,8505.452,23552.72,2383.12,161.9035
2017-03-06,3446.484,6517.324,1962.77,169.6058,2531.983,1424.557,1397.574,8608.154,23596.28,2375.31,161.8955
2017-03-07,3453.9565,6523.187,1977.853,169.568,2534.753,1420.339,1394.049,8624.465,23681.07,2368.39,161.7861
2017-03-08,3448.7313,6497.088,1964.628,169.3632,2504.695,1381.895,1366.221,8589.87,23782.27,2362.98,161.7392
2017-03-09,3426.9438,6439.382,1953.943,169.3215,2470.291,1370.482,1354.353,8535.556,23501.56,2364.87,161.6404
2017-03-10,3427.8916,6447.917,1950.008,169.3043,2478.031,1358.132,1345.431,8537.78,23568.67,2372.6,161.5122
2017-03-13,3458.098,6507.896,1970.879,169.4712,2560.352,1386.183,1372.095,8598.518,23829.67,2373.47,161.4369
2017-03-14,3456.6934,6493.485,1958.023,169.5511,2554.198,1378.867,1364.075,8581.713,23827.95,2365.45,161.4121
2017-03-15,3463.6436,6486.062,1957.82,169.5427,2607.703,1387.285,1379.336,8574.03,23792.85,2385.26,161.5151
2017-03-16,3481.5066,6543.341,1966.727,169.8242,2624.053,1395.572,1387.791,8664.981,24288.28,2381.38,161.6572
2017-03-17,3445.8051,6483.246,1949.661,169.7582,2593.953,1400.014,1383.387,8603.865,24309.93,2378.25,161.6863
2017-03-20,3449.6126,6498.342,1953.816,169.6648,2598.767,1397.731,1385.486,8634.844,24501.99,2373.47,161.7277
2017-03-21,3466.3468,6515.946,1961.063,169.4893,2546.402,1385.592,1368.187,8639.566,24593.12,2344.02,161.634
