method,date,weights
sample_cov,2018-01-31,"[-5.43690035e-03 -1.66723107e-02  1.23872571e-02  8.52429757e-02
  1.55380906e-03 -2.54180768e-03 -2.08640273e-04 -4.52205817e-03
  1.30045627e-02  8.74223620e-03  9.08450876e-01]"
sample_cov,2018-02-28,"[-0.00560258 -0.01715265  0.00959623  0.0759761  -0.0011146  -0.00509529
  0.00722939 -0.00188742  0.01607233  0.00498259  0.91699591]"
sample_cov,2018-04-30,"[ 2.37503836e-03 -2.33836710e-02  9.96120376e-04 -1.34618683e-02
 -3.56885057e-03 -5.68356752e-03  1.18157688e-02  1.42618254e-02
  1.07250558e-02  5.92414860e-03  1.00000000e+00]"
sample_cov,2018-05-31,"[ 0.00247991 -0.02820381 -0.00219212 -0.00959169 -0.00170924 -0.00244856
  0.00614271  0.02355343  0.00910034  0.00632381  0.99654522]"
sample_cov,2018-07-31,"[ 0.00278631 -0.0156338  -0.00358973 -0.00338606  0.00485352  0.00151406
 -0.00489525  0.01342454  0.00732699  0.00563798  0.99196145]"
sample_cov,2018-08-31,"[ 3.21784594e-03 -1.13723612e-02 -3.31626096e-03 -8.80621161e-03
  9.59837292e-03  2.09835051e-04 -1.17932768e-02  1.12843965e-02
  6.15616273e-03  4.82149739e-03  1.00000000e+00]"
sample_cov,2018-09-30,"[ 0.0051457  -0.01450055 -0.00376014 -0.00945997  0.00895581 -0.00405329
 -0.00594835  0.0146777   0.00415418  0.00478889  1.        ]"
sample_cov,2018-10-31,"[ 0.00526767 -0.02010537 -0.00763921 -0.0037873   0.01938365  0.00454691
 -0.03016989  0.0269057   0.00107524  0.0045226   1.        ]"
sample_cov,2018-11-30,"[ 5.40371836e-03 -2.55524036e-03  9.72640296e-04 -6.94177149e-03
  1.10440674e-02 -4.95117294e-03 -7.81210432e-03  4.73212885e-04
 -2.52320378e-04  4.61897057e-03  1.00000000e+00]"
sample_cov,2018-12-31,"[ 4.96221917e-03  4.69802561e-03 -6.31620564e-04 -5.21832761e-03
  1.04317823e-02 -2.03998055e-03 -1.03176605e-02 -5.08152469e-03
 -3.85286364e-04  3.58237321e-03  1.00000000e+00]"
sample_cov,2019-01-31,"[ 6.65119361e-03  6.85169006e-03  4.98202239e-04 -2.16436671e-03
  1.30889245e-02 -1.61224954e-03 -1.53386181e-02 -9.86031176e-03
  6.14691061e-05  1.82406657e-03  1.00000000e+00]"
sample_cov,2019-02-28,"[ 0.00483904  0.01848254 -0.0017766   0.00140402  0.01599263  0.00649656
 -0.02858935 -0.01654418 -0.00199367  0.00168901  1.        ]"
sample_cov,2019-04-30,"[ 5.00457524e-03  6.83494303e-03 -1.50756173e-05  5.61202421e-03
  2.03409025e-02  1.45559933e-02 -4.43098964e-02 -6.86451658e-03
 -2.46268376e-03  1.30373413e-03  1.00000000e+00]"
sample_cov,2019-05-31,"[ 0.00609964  0.00267136  0.00372112  0.00608118  0.01746232  0.01541122
 -0.04433526 -0.00749099 -0.00102134  0.00140075  1.        ]"
sample_cov,2019-07-31,"[ 8.15149849e-03 -4.25242602e-03  1.74280058e-03  6.56247977e-03
  4.25227529e-03 -2.39309567e-03 -4.17521939e-03 -2.65096823e-03
  9.32197782e-04  1.13317053e-03  9.90697287e-01]"
sample_cov,2019-09-30,"[ 7.59639493e-03 -8.55578172e-03  3.35466122e-03 -2.95402880e-03
  2.48573929e-03 -4.03088043e-03  3.49480021e-04 -2.00661250e-03
  3.45107212e-03  3.09955854e-04  1.00000000e+00]"
sample_cov,2019-10-31,"[ 8.14015352e-03 -1.62381464e-02  2.48997606e-03 -5.43651511e-04
  9.99611243e-03  1.52703529e-04 -1.49265694e-02  5.79695445e-03
  4.69385548e-03  4.38611874e-04  1.00000000e+00]"
sample_cov,2019-12-31,"[ 0.00844511 -0.01917086  0.00117675  0.01242434  0.00677985 -0.001302
 -0.00715672  0.01082341  0.00334379  0.00220336  0.98243296]"
sample_cov,2020-01-31,"[ 0.01095654 -0.02330611  0.0027561   0.01287635  0.00487141 -0.0055383
  0.00218086  0.01248364  0.00159186  0.00197838  0.97914928]"
sample_cov,2020-03-31,"[ 1.28789827e-02  1.71234988e-02 -4.95295305e-03 -1.64796119e-02
  9.11491268e-03 -6.96982697e-03  1.29258980e-02 -1.57343453e-02
 -8.01962567e-03  1.13070733e-04  1.00000000e+00]"
sample_cov,2020-04-30,"[ 1.57556296e-02  2.27922302e-02 -8.71302218e-03 -1.31793669e-02
  1.53026495e-02 -4.50900518e-03 -7.09591056e-04 -1.76598505e-02
 -8.85753291e-03 -2.22140569e-04  1.00000000e+00]"
sample_cov,2020-06-30,"[ 1.42875765e-02  2.81079464e-02 -1.36759332e-02 -1.96680247e-02
  1.29503513e-02 -2.77313408e-03  1.29401152e-03 -1.70599948e-02
 -3.75966008e-03  2.96861102e-04  1.00000000e+00]"
sample_cov,2020-07-31,"[ 6.04133498e-03  2.96630346e-02 -4.33636293e-03 -1.86683588e-02
  1.99852595e-02 -2.02305925e-03 -4.32211686e-03 -2.16675287e-02
 -4.71255665e-03  4.03541226e-05  1.00000000e+00]"
sample_cov,2020-08-31,"[ 5.62545830e-03  2.60657630e-02  4.03206699e-04 -1.94719055e-02
  2.20518193e-02 -1.28276380e-03 -4.49639927e-03 -2.32131801e-02
 -5.70173453e-03  1.97358746e-05  1.00000000e+00]"
sample_cov,2020-09-30,"[ 3.46956355e-03  2.44809675e-02 -1.29786156e-03 -1.92839638e-02
  2.52017388e-02 -7.84649860e-04 -7.09845155e-03 -1.94837084e-02
 -5.11134797e-03 -9.22868344e-05  1.00000000e+00]"
sample_cov,2020-11-30,"[-3.38499421e-03  3.90790405e-02 -7.73779556e-03 -1.83444489e-02
  3.33339842e-02  6.64926198e-03 -2.36674277e-02 -2.25500469e-02
 -3.33117686e-03 -4.63965754e-05  1.00000000e+00]"
sample_cov,2020-12-31,"[-3.67626807e-03  4.53181940e-02 -1.02111946e-02 -1.70119008e-02
  2.55207887e-02  6.01304954e-03 -1.94967995e-02 -2.46306514e-02
 -1.90118757e-03  7.59697456e-05  1.00000000e+00]"
sample_cov,2021-03-31,"[-9.87638996e-03  1.71492315e-02  1.85584859e-03 -1.07334264e-02
  7.19567963e-03 -4.22279931e-03 -8.91876894e-04 -9.46761411e-03
  4.81887744e-03  4.17246953e-03  1.00000000e+00]"
sample_cov,2021-04-30,"[-0.00969855  0.0152761   0.00184298 -0.01138595  0.00572563 -0.00103513
 -0.00215327 -0.00820385  0.00507526  0.00455678  1.        ]"
sample_cov,2021-05-31,"[-7.17530611e-03  2.07301747e-02  2.90760744e-03 -9.92079912e-04
  5.96607091e-03 -2.57162101e-03 -5.75222930e-03 -1.34410631e-02
  9.11418025e-05  2.37304550e-04  1.00000000e+00]"
sample_cov,2021-06-30,"[-1.85362534e-03  1.29155006e-02 -4.49082762e-04  1.77177130e-03
  3.51925314e-03 -1.58492735e-03 -3.90185675e-03 -1.17014892e-02
  6.93518512e-04  5.90937832e-04  1.00000000e+00]"
sample_cov,2021-08-31,"[-1.12652106e-04  1.05006049e-02 -1.87523017e-03  5.87936943e-04
  1.48256308e-03 -4.66923109e-03  1.91011598e-03 -1.12983144e-02
  3.39645813e-03  7.77487302e-05  1.00000000e+00]"
sample_cov,2021-09-30,"[ 8.19535891e-04  7.95980840e-03 -8.78224939e-04  7.95566633e-04
 -9.82055983e-05 -3.79599344e-03  3.84272802e-03 -1.03820033e-02
  2.01055240e-03 -2.73764019e-04  1.00000000e+00]"
sample_cov,2021-11-30,"[ 9.15233631e-04  6.74659813e-03 -3.24850731e-04  3.29624067e-03
  3.49900968e-03  3.30825408e-03 -8.51353480e-03 -1.02651264e-02
  2.23060266e-03 -8.92426930e-04  1.00000000e+00]"
sample_cov,2021-12-31,"[ 3.66591925e-04  7.72435370e-03  7.07626781e-04  3.31682121e-03
  3.66495437e-03  3.93283993e-03 -9.50964415e-03 -1.12557536e-02
  2.14366338e-03 -1.09145356e-03  1.00000000e+00]"
sample_cov,2022-01-31,"[-1.69485910e-03  7.70273348e-03  1.44962381e-03 -7.18040505e-04
  3.21221080e-03  3.73633874e-03 -8.51730032e-03 -8.61848735e-03
  2.46996902e-03  9.77811441e-04  1.00000000e+00]"
sample_cov,2022-02-28,"[-1.89786735e-03  5.52412288e-03  1.30090057e-03 -5.37759375e-04
  8.36172426e-04  2.01896938e-03 -4.08509901e-03 -7.14897963e-03
  3.07129811e-03  9.18241983e-04  1.00000000e+00]"
sample_cov,2022-03-31,"[-2.31015813e-04 -1.97142388e-03  2.03211413e-03 -1.42088869e-03
  2.84647026e-03  2.12805771e-03 -4.34748454e-03 -3.48174177e-03
  2.80791307e-03  1.63799952e-03  1.00000000e+00]"
sample_cov,2022-05-31,"[-0.00105365 -0.00381009  0.00220455 -0.00301136  0.00334415  0.00277978
 -0.00454374 -0.00137058  0.00286309  0.00259784  1.        ]"
