date,CBCE
2008-01-02,103.2974
2008-01-03,103.2915
2008-01-04,103.2912
2008-01-07,103.3342
2008-01-08,103.368
2008-01-09,103.3793
2008-01-10,103.3783
2008-01-11,103.4102
2008-01-14,103.4032
2008-01-15,103.4045
2008-01-16,103.4123
2008-01-17,103.4301
2008-01-18,103.4605
2008-01-21,103.5209
2008-01-22,103.5234
2008-01-23,103.7
2008-01-24,103.844
2008-01-25,103.9136
2008-01-28,104.0127
2008-01-29,104.0247
2008-01-30,104.1155
2008-01-31,104.224
2008-02-01,104.5124
2008-02-02,104.5684
2008-02-03,104.6179
2008-02-04,104.6464
2008-02-05,104.6737
2008-02-13,104.7392
2008-02-14,104.7468
2008-02-15,104.7361
2008-02-18,104.7276
2008-02-19,104.6095
2008-02-20,104.6403
2008-02-21,104.6818
2008-02-22,104.7509
2008-02-25,104.8004
2008-02-26,104.8651
2008-02-27,104.9118
2008-02-28,104.9543
2008-02-29,104.8421
2008-03-03,104.8559
2008-03-04,104.8126
2008-03-05,104.7855
2008-03-06,104.7895
2008-03-07,104.7777
2008-03-10,104.7967
2008-03-11,104.7778
2008-03-12,104.8091
2008-03-13,104.8424
2008-03-14,104.8817
2008-03-17,104.9132
2008-03-18,104.9257
2008-03-19,105.0045
2008-03-20,105.0497
2008-03-21,105.0876
2008-03-24,105.1224
2008-03-25,105.238
2008-03-26,105.2951
2008-03-27,105.3514
2008-03-28,105.3633
2008-03-31,105.3527
2008-04-01,105.3307
2008-04-02,105.3284
2008-04-03,105.3501
2008-04-07,105.376
2008-04-08,105.3875
2008-04-09,105.3976
2008-04-10,105.4128
2008-04-11,105.4137
2008-04-14,105.4452
2008-04-15,105.4735
2008-04-16,105.4717
2008-04-17,105.4767
2008-04-18,105.4988
2008-04-21,105.4858
2008-04-22,105.4974
2008-04-23,105.4896
2008-04-24,105.378
2008-04-25,105.3439
2008-04-28,105.3631
2008-04-29,105.3502
2008-04-30,105.3382
2008-05-04,105.4053
2008-05-05,105.4225
2008-05-06,105.4181
2008-05-07,105.1201
2008-05-08,105.1544
2008-05-09,105.1688
2008-05-12,105.1674
2008-05-13,105.1755
2008-05-14,105.1699
2008-05-15,105.1719
2008-05-16,105.1717
2008-05-19,105.1561
2008-05-20,105.1537
2008-05-21,105.1462
2008-05-22,105.1543
2008-05-23,105.1671
2008-05-26,105.1407
2008-05-27,105.1464
2008-05-28,105.1728
2008-05-29,105.1763
2008-05-30,105.1925
2008-06-02,105.2083
2008-06-03,105.2309
2008-06-04,105.2399
2008-06-05,105.2553
2008-06-06,105.2494
2008-06-10,105.1319
2008-06-11,104.758
2008-06-12,104.7626
2008-06-13,104.7375
2008-06-16,104.7675
2008-06-17,104.7526
2008-06-18,104.7636
2008-06-19,104.7734
2008-06-20,104.6125
2008-06-23,104.542
2008-06-24,104.5588
2008-06-25,104.5496
2008-06-26,104.3866
2008-06-27,104.236
2008-06-30,104.2187
