date,NHCI
2008-01-02,1358.553
2008-01-03,1368.572
2008-01-04,1386.936
2008-01-07,1379.613
2008-01-08,1379.875
2008-01-09,1391.806
2008-01-10,1384.382
2008-01-11,1395.822
2008-01-14,1401.363
2008-01-15,1388.729
2008-01-16,1363.813
2008-01-17,1371.733
2008-01-18,1354.827
2008-01-21,1357.002
2008-01-22,1324.956
2008-01-23,1337.181
2008-01-24,1340.664
2008-01-25,1354.076
2008-01-28,1348.829
2008-01-29,1364.691
2008-01-30,1363.04
2008-01-31,1367.362
2008-02-01,1377.339
2008-02-04,1384.961
2008-02-05,1392.242
2008-02-13,1402.569
2008-02-14,1419.067
2008-02-15,1425.316
2008-02-18,1453.518
2008-02-19,1456.744
2008-02-20,1455.948
2008-02-21,1479.414
2008-02-22,1473.52
2008-02-25,1489.755
2008-02-26,1463.13
2008-02-27,1475.045
2008-02-28,1480.199
2008-02-29,1496.847
2008-03-03,1531.472
2008-03-04,1510.608
2008-03-05,1489.028
2008-03-06,1500.026
2008-03-07,1479.512
2008-03-10,1456.571
2008-03-11,1463.725
2008-03-12,1428.613
2008-03-13,1436.256
2008-03-14,1443.128
2008-03-17,1427.73
2008-03-18,1382.357
2008-03-19,1385.541
2008-03-20,1361.333
2008-03-21,1367.335
2008-03-24,1370.238
2008-03-25,1389.305
2008-03-26,1388.316
2008-03-27,1385.661
2008-03-28,1381.511
2008-03-31,1385.539
2008-04-01,1340.505
2008-04-02,1347.719
2008-04-03,1355.62
2008-04-07,1371.004
2008-04-08,1354.939
2008-04-09,1360.046
2008-04-10,1367.492
2008-04-11,1359.324
2008-04-14,1370.689
2008-04-15,1381.366
2008-04-16,1380.311
2008-04-17,1380.681
2008-04-18,1378.721
2008-04-21,1358.727
2008-04-22,1354.537
2008-04-23,1368.239
2008-04-24,1371.71
2008-04-25,1359.818
2008-04-28,1381.06
2008-04-29,1369.727
2008-04-30,1370.06
2008-05-05,1376.567
2008-05-06,1390.455
2008-05-07,1380.699
2008-05-08,1386.506
2008-05-09,1384.366
2008-05-12,1402.964
2008-05-13,1404.741
2008-05-14,1406.502
2008-05-15,1400.879
2008-05-16,1415.841
2008-05-19,1405.19
2008-05-20,1404.931
2008-05-21,1392.902
2008-05-22,1406.042
2008-05-23,1405.662
2008-05-26,1423.148
2008-05-27,1427.143
2008-05-28,1422.359
2008-05-29,1413.856
2008-05-30,1393.336
2008-06-02,1390.08
2008-06-03,1403.248
2008-06-04,1390.993
2008-06-05,1399.812
2008-06-06,1416.844
2008-06-10,1423.001
2008-06-11,1430.616
2008-06-12,1436.322
2008-06-13,1441.273
2008-06-16,1455.916
2008-06-17,1454.178
2008-06-18,1461.926
2008-06-19,1465.304
2008-06-20,1456.345
2008-06-23,1463.601
2008-06-24,1451.471
2008-06-25,1461.873
2008-06-26,1458.422
2008-06-27,1467.795
2008-06-30,1473.95
2008-07-01,1472.68
2008-07-02,1484.104
2008-07-03,1464.018
2008-07-04,1463.57
2008-07-07,1456.039
2008-07-08,1440.903
2008-07-09,1434.637
2008-07-10,1432.839
2008-07-11,1461.77
