,CSI300,SPX,HSI,CBCE,NHCI,GC
2008-01-02,5385.103,96.20174416587484,97.17724890869718,103.2974,1358.553,97.79558535392418
2008-01-03,5422.034,94.7456198288425,94.90442210234387,103.2915,1368.572,98.40127530412362
2008-01-04,5483.65,95.72259899019173,94.07882076010657,103.2912,1386.936,97.85308309376848
2008-01-07,5556.593,95.02603356256067,93.78372830831275,103.3342,1379.613,96.25537799955039
2008-01-08,5528.054,94.3054686285301,94.19603975932789,103.368,1379.875,99.7762065254904
2008-01-09,5613.758,92.83583791490356,94.00186485372006,103.3793,1391.806,100.4523959552873
2008-01-10,5672.154,92.92435583165108,97.04803871413098,103.3783,1384.382,101.13086961362987
2008-01-11,5699.147,92.2283232950827,96.9328624766661,103.4102,1395.822,99.69085258902719
2008-01-14,5731.757,94.4431330289157,97.59616496738829,103.4032,1401.363,98.77290480397355
2008-01-15,5696.45,94.99489700359507,97.28797262228679,103.4045,1388.729,99.66906790940952
2008-01-16,5505.717,95.13808024713232,96.3610579824691,103.4123,1363.813,99.5119313362697
2008-01-17,5365.624,95.5769802422269,96.3666285269255,103.4301,1371.733,101.0103531322321
2008-01-18,5414.468,96.42436007088193,97.96295369449425,103.4605,1354.827,103.43273544379366
2008-01-21,5145.734,97.71344932404517,96.36563320154315,103.5209,1357.002,101.65981866638465
2008-01-22,4753.868,94.35766617945228,93.08674596080493,103.5234,1324.956,99.62526539521384
2008-01-23,4975.111,92.71244940382446,91.68991745296401,103.7,1337.181,101.23678366162723
2008-01-24,5027.213,95.3571036350962,92.96937723427504,103.844,1340.664,101.20850343663392
2008-01-25,5077.429,96.1497314025722,91.49906498537794,103.9136,1354.076,102.25893194295847
2008-01-28,4731.883,97.62224624507543,92.04425910214982,104.0127,1348.829,104.28269429333324
2008-01-29,4762.083,97.10522349182729,94.39330449638605,104.0247,1364.691,106.23786857846942
2008-01-30,4710.652,97.37928015475144,95.45842591451496,104.1155,1363.04,103.63048807402579
2008-01-31,4620.401,97.8487006988739,92.41964586864117,104.224,1367.362,104.58194693029836
2008-02-01,4571.945,98.75346055550492,92.95134611319192,104.5124,1377.339,106.88648404927706
2008-02-04,4950.124,99.3500260980241,92.01915810086365,104.6464,1384.961,106.62251793346584
2008-02-05,4921.829,96.29888114956165,91.71541298474524,104.6737,1392.242,105.42670851915767
2008-02-13,4816.084,93.8693763663651,86.9123342762698,104.7392,1402.569,102.05606862697307
2008-02-14,4880.252,94.32085676434147,89.54378285441699,104.7468,1419.067,100.6644223749494
2008-02-15,4813.311,95.32609088823841,89.26359806196942,104.7361,1425.316,97.92934946850748
2008-02-18,4910.992,94.71577070183939,88.19381519795144,104.7276,1453.518,99.1752332481435
2008-02-19,5020.753,96.0494810044892,89.3850595618238,104.6095,1456.744,98.0768483750873
2008-02-20,4908.717,96.77541050471699,88.24899523320504,104.6403,1455.948,97.45214485588643
2008-02-21,4876.03,97.48779685229741,87.65704260603971,104.6818,1479.414,97.55305981326376
2008-02-22,4702.241,100.09075684386634,85.96858081575031,104.7509,1473.52,97.20681835836461
2008-02-25,4519.783,98.66089065757934,86.48614156510978,104.8004,1489.755,97.48744944142149
2008-02-26,4515.533,96.23102700569724,86.51703298638547,104.8651,1463.13,98.51591873890462
2008-02-27,4639.768,95.65075284862665,88.67491503274327,104.9118,1475.045,101.09166623614301
2008-02-28,4622.056,97.00860275884509,88.4816766120301,104.9543,1480.199,102.70219311235518
2008-02-29,4674.55,98.01405931492275,87.60227173091656,104.8421,1496.847,103.17112283957988
2008-03-03,4790.744,98.30596959282644,85.85356996599077,104.8559,1531.472,101.96437435197896
2008-03-04,4671.148,97.13809769794874,86.56682629597782,104.8126,1510.608,102.14589613915986
2008-03-05,4628.724,95.61135438114276,85.34035887694043,104.7855,1489.028,102.54898464766435
2008-03-06,4685.03,95.11245855843028,85.14991670230319,104.7895,1500.026,105.15195287682286
2008-03-07,4621.685,96.7803236716804,84.15639213530987,104.7777,1479.512,104.61601608847171
2008-03-10,4431.589,94.47927530825343,86.41789660456631,104.7967,1456.571,101.49803765637999
2008-03-11,4441.184,95.41544351460338,84.80583075039968,104.7778,1463.725,100.62360616261653
2008-03-12,4309.648,98.54032252760281,82.35377043480385,104.8091,1428.613,99.87524486835255
2008-03-13,4198.96,96.9557580532412,82.34800736975127,104.8424,1436.256,96.58612474746059
2008-03-14,4157.871,97.81853467360673,81.83240111806268,104.8817,1443.128,96.00704215635182
2008-03-17,3965.279,97.9236808581263,81.1379864422212,104.9132,1427.73,95.59229780905292
2008-03-18,3763.948,98.0167824910188,82.2773520261617,104.9257,1382.357,96.02990461556197
2008-03-19,3888.861,97.32894168676745,83.22422977787441,105.0045,1385.541,95.3715739307228
2008-03-20,4001.832,99.31240267215685,83.99193320515988,105.0497,1361.333,96.09739066463735
2008-03-21,4037.83,99.51170360981874,86.71131900388704,105.0876,1367.335,94.58602209005133
2008-03-24,3857.091,100.30606932710174,85.71571328801387,105.1224,1370.238,94.87439810752585
2008-03-25,3905.774,102.24625277193589,87.32688285939373,105.238,1389.305,95.79493070035647
2008-03-26,3914.37,104.19255067813484,86.43353918715775,105.2951,1388.316,95.36270306668351
2008-03-27,3748.92,105.78026897945298,87.11970300950036,105.3514,1385.661,94.00711653082698
2008-03-28,3918.156,105.75604866946435,82.93561110805317,105.3633,1381.511,92.98293239578814
2008-03-31,3790.53,103.54553689474054,81.98527092614196,105.3527,1385.539,94.53309749914767
2008-04-01,3582.855,100.92079014254942,82.8069508010453,105.3307,1340.505,96.85601403639045
2008-04-02,3547.977,102.84820887076881,84.23603338760577,105.3284,1347.719,97.67512798527433
2008-04-03,3650.698,103.47263995405275,84.09894634105066,105.3501,1355.62,100.2383333807802
2008-04-07,3845.822,100.56691011459323,83.96457462766146,105.376,1371.004,101.5781769884554
2008-04-08,3891.059,101.31010674004888,86.44076916309297,105.3875,1354.939,101.47197233832419
2008-04-09,3688.125,101.2194710454087,83.62063416136283,105.3976,1360.046,103.0502130710602
2008-04-10,3754.715,100.3558812260177,83.74410802249848,105.4128,1367.492,103.80657114044583
2008-04-11,3783.728,98.67548604907986,84.49410433420229,105.4137,1359.324,103.2515961355398
