基金代码,DEPI,DEPI_Rank,调仓日期,区间,超额收益R,volatility,fee_rate,timing_alpha,timing_beta
159960,0.0,1,2019-09-30,2018-09~2019-09,-0.30670413516394657,0.15084607310265893,0.017499999999999998,0.0001666931926010723,-2.3616981305427074
006491,0.0,1,2019-09-30,2018-09~2019-09,-0.44042929985906865,0.014433183239531348,0.017499999999999998,-0.00012320638631449442,0.2277845294952151
159971,0.0,1,2019-09-30,2018-09~2019-09,0.4401042079576697,0.2216747654615376,0.017499999999999998,0.0017119240051189743,-0.13111913081369328
006837,0.0,1,2019-09-30,2018-09~2019-09,-0.46711797067119154,0.06284271295409805,0.017499999999999998,-0.0004650175495756396,0.5903349568019985
005008,0.0,1,2019-09-30,2018-09~2019-09,-0.3749954724176603,0.05179461672208659,0.017499999999999998,-0.00015292136114717793,0.2420541850474432
000167,0.0,1,2019-09-30,2018-09~2019-09,0.5679143004643379,0.2581002772371485,0.017499999999999998,0.0012861046402845996,0.04069909520000227
004390,0.0,1,2019-09-30,2018-09~2019-09,0.21499619180394314,0.24896149881283622,0.017499999999999998,0.0005731016550502583,-0.07823052519432483
519943,0.0,1,2019-09-30,2018-09~2019-09,-0.0073920446741169155,0.01957235379668449,0.017499999999999998,0.00014126756331188058,0.17853865229983432
630008,0.0,1,2019-09-30,2018-09~2019-09,-0.354308426956377,0.32566500982262386,0.017499999999999998,-0.0005350803542209391,0.3838629385798102
675043,0.0,1,2019-09-30,2018-09~2019-09,-0.46806618559732094,0.04922744702877863,0.017499999999999998,-0.00025025599176474147,0.36604717292154937
159960,0.0,1,2019-12-31,2018-12~2019-12,-0.21926852971417476,0.14973984366348944,0.017499999999999998,0.0003349852470955008,-2.5282937566396453
006491,0.0,1,2019-12-31,2018-12~2019-12,-0.41412073238455416,0.014814752850956568,0.017499999999999998,-0.00011243289086391859,0.23138484866060915
159971,0.0,1,2019-12-31,2018-12~2019-12,0.32244906057856904,0.19819143060905542,0.017499999999999998,0.0011065850682506532,-1.5897182190680255
006837,0.0,1,2019-12-31,2018-12~2019-12,-0.4475958487345646,0.05665443412309463,0.017499999999999998,-0.0004225546917133506,0.5790151537036067
005008,0.0,1,2019-12-31,2018-12~2019-12,-0.3594103541598499,0.05028882053866547,0.017499999999999998,-0.0001675741111125214,0.267014592925858
000167,0.0,1,2019-12-31,2018-12~2019-12,0.38267211115834754,0.2360440889302861,0.017499999999999998,0.0008828292387270183,0.3637034596037694
004390,0.0,1,2019-12-31,2018-12~2019-12,0.27402317712386615,0.2299920402553729,0.017499999999999998,0.0007301618410289465,-0.17166140545358294
519943,0.0,1,2019-12-31,2018-12~2019-12,-0.10114741263666938,0.017085346883486334,0.017499999999999998,8.897350990661807e-05,0.2154674533628103
630008,0.0,1,2019-12-31,2018-12~2019-12,-0.24532111811469837,0.29131809866570835,0.017499999999999998,-0.00015030605108271676,-0.14395421684095344
675043,0.0,1,2019-12-31,2018-12~2019-12,-0.45532687443608555,0.052671447714861375,0.017499999999999998,-0.0002925673657843998,0.4238167409661454
008339,0.0,1,2020-03-31,2019-03~2020-03,0.16413102853063,0.0015804285275738887,0.017499999999999998,-4.2559754401919186e-05,0.08655374604971657
006491,0.0,1,2020-03-31,2019-03~2020-03,0.06712530179601328,0.017602096766198994,0.017499999999999998,-0.00015395560349756025,0.48903401745191505
510530,0.0,1,2020-03-31,2019-03~2020-03,1990143.8596824904,7.977607756656696,0.017499999999999998,0.04280866388969546,75.6134969850774
159971,0.0,1,2020-03-31,2019-03~2020-03,0.43402608243275287,0.27322350508780746,0.017499999999999998,0.0012562474550150329,1.974465256321585
005008,0.0,1,2020-03-31,2019-03~2020-03,0.024226252956603522,0.05048217224014475,0.017499999999999998,-0.00023324676910993784,0.34780558682445645
000167,0.0,1,2020-03-31,2019-03~2020-03,0.3521240160123601,0.2465051185352263,0.017499999999999998,0.0009298669192180684,1.8251295517917558
007377,0.0,1,2020-03-31,2019-03~2020-03,0.5822894830339137,0.022500208754482155,0.017499999999999998,0.0,0.0
004390,0.0,1,2020-03-31,2019-03~2020-03,0.23842243323894896,0.28521545279366567,0.017499999999999998,0.001026251217214008,-0.5729798793878504
519943,0.0,1,2020-03-31,2019-03~2020-03,0.13143986847883293,0.014587289000579809,0.017499999999999998,4.880251732215204e-05,0.2504788235085269
675043,0.0,1,2020-03-31,2019-03~2020-03,0.0812603410706555,0.03211210984824687,0.017499999999999998,-9.620499090246375e-05,0.4524751501583266
159960,0.0,11,2020-03-31,2019-03~2020-03,-0.0193140024552807,0.21394422739423335,0.017499999999999998,-9.93147824404088e-05,-0.40761563779107773
006837,0.0,15,2020-03-31,2019-03~2020-03,-0.003415566791677205,0.057313771901915216,0.017499999999999998,-0.00048133107876198895,0.7316591814273486
630008,0.0,21,2020-03-31,2019-03~2020-03,-0.06851583653753157,0.3081533249056246,0.017499999999999998,0.0004222895718083918,-4.685031866457885
510530,0.0,1,2020-06-30,2019-06~2020-06,4106.574635346615,5.8949232258685536,0.017499999999999998,0.018665889152304674,63.07598093989323
159971,0.0,1,2020-06-30,2019-06~2020-06,0.5641503485427595,0.25965614397646464,0.017499999999999998,0.0012211053375368976,2.350690949883653
009322,0.0,1,2020-06-30,2019-06~2020-06,0.5998759087903944,0.14313181717532775,0.017499999999999998,0.0,0.0
000167,0.0,1,2020-06-30,2019-06~2020-06,0.416901037310619,0.2177902853898843,0.017499999999999998,0.001156129034487795,0.8299921506253602
007377,0.0,1,2020-06-30,2019-06~2020-06,0.05680540030087822,0.019068429845552615,0.017499999999999998,0.00044384103494369767,0.11004505241773642
004390,0.0,1,2020-06-30,2019-06~2020-06,0.5085346130157216,0.2755276182183933,0.017499999999999998,0.0015319199907529444,-0.5026790345070868
630008,0.0,1,2020-06-30,2019-06~2020-06,0.17879610686631509,0.20577825513148423,0.017499999999999998,0.0007581062582953258,-0.8684270955852407
008339,0.0,7,2020-06-30,2019-06~2020-06,-0.13920241066633765,0.0014586894880289922,0.017499999999999998,-3.371922776147478e-05,0.08452352917898187
