period,date,selected_return,all_etf_return,benchmark_return,excess_return,selected_cumret,all_etf_cumret,benchmark_cumret
1,2023-01-02,-0.0001309784549842874,0.0037042858384594966,0.0019279757672456203,-0.0020589542222299076,-0.0001309784549843318,0.003704285838459498,0.001927975767245682
2,2023-03-20,0.002782560294561476,-0.001063888157345381,-0.0003760219186551894,0.0031585822132166653,0.002651217384128879,0.0026364567352792356,0.0015512288874433011
3,2023-06-05,-0.004244913041813407,0.0031970568746496108,0.0014044600469728353,-0.005649373088786242,-0.0016049498449350885,0.005841942512059051,0.0029578675734123205
4,2023-08-22,0.004204943511348591,-0.0018764930342251855,0.0028796394086479772,0.0013253041027006139,0.00259324494297708,0.003954487113403626,0.005846024574090114
5,2023-11-07,0.0058217543304054835,-0.0007259653359303432,-0.0002727001311715976,0.006094454461577081,0.008430096508359242,0.003225650956907522,0.005571730231250349
6,2024-01-24,-0.0026157413719053607,-0.00017454654224277366,0.0010990257265289514,-0.003714767098434312,0.00579230418424781,0.0030505413884436283,0.006676879432644611
7,2024-04-10,0.0006152852423475047,-0.00025262515881174856,0.001447411578889518,-0.0008321263365420132,0.00641115334587905,0.0027971455861290906,0.008133955204135956
8,2024-06-27,-0.003186579811523456,-0.00024713210878869117,0.0004654473731747669,-0.003652027184698223,0.003204143882534982,0.0025493222128532,0.008603188505393877
9,2024-09-12,0.000928909794821467,0.0027110557683580816,-0.0002013048713665611,0.0011302146661880282,0.004136030037992899,0.005267289335901815,0.008400151770271869
10,2024-11-29,0.0016850476993769514,0.0015544874131722547,-0.0008141983491200091,0.0024992460484969605,0.005828047145270077,0.006829964684048395,0.007579114031448064
