index_code,cluster
深证100价格指数收益率*95%+银行活期存款利率(税后)*5%,4
沪深300指数*80%+中信标普全债指数*20%,0
沪深300指数收益率*90%+中国债券总指数收益率*10%,0
沪深300指数收益率*70%+中证全债指数收益率*30%,5
沪深300指数收益率*95%+银行同业存款利率*5%,0
沪深300指数收益率*80%+中证全债指数收益率*20%,4
中证100指数收益率*95%+活期存款利率(税后)*5%,0
沪深300指数*80%+中证国债指数*20%,1
深证100价格指数收益率*95%+商业银行活期存款利率(税后)*5%,1
中债综合指数,1
深证成指增长率*95%+银行同业存款利率*5%,2
中国债券总指数,2
中证500指数收益率*95%+金融同业存款利率*5%,1
中证等权重90指数收益率*95%+商业银行人民币活期存款利率(税后)*5%,5
中国债券总指数收益率*90%+沪深300指数收益率*10%,4
中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,3
沪深300指数收益率*95%+商业银行活期存款利率*5%,2
中国债券总指数*90%+沪深300指数*10%,4
中证全债指数收益率,2
中证全债指数*90%+沪深300指数*10%,2
中证内地消费主题指数收益率*80%+中国债券总指数收益率*20%,1
中证内地消费主题指数*80%+上证国债指数*20%,5
沪深300指数收益率*95%+金融同业存款利率*5%,0
中证500指数收益率*95%+1年期定期存款利率(税后)*5%,0
中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,0
中小板300(价格)指数收益率*95%+活期存款利率(税后)*5%,4
中证内地资源主题指数收益率*95%+商业银行人民币活期存款利率(税后)*5%,3
中债总指数收益率,5
中信标普全债指数,0
中证200指数收益率*95%+一年期银行定期存款利率(税后)*5%,5
