ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,index_code,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,etf_type,mgmt_fee,custody_fee,scale,avg_daily_volume,fee_score,liquidity_score,scale_score,tracking_error_score,info_ratio_score,comprehensive_score
150008.SZ,瑞和小康(退市),国投瑞银基金,中国工商银行,股票型,20091014.0,20200827.0,20091119.0,20090917.0,20200903.0,14.7937,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,D,被动指数型,契约型封闭式,,20091119.0,,E,规模风格,0.005,0.001,187.8955193048339,10.252692233629155,0.4878048780487805,0.4878048780487805,0.4330188248266883,0.5,0.5,0.479286691794606
150009.SZ,瑞和远见(退市),国投瑞银基金,中国工商银行,股票型,20091014.0,20200827.0,20091119.0,20090917.0,20200903.0,14.7937,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,D,被动指数型,契约型封闭式,,20091119.0,,E,规模风格,0.005,0.001,475.4064388985482,25.940990620456176,0.4878048780487805,0.9512195121951219,0.3091719838398241,0.5,0.5,0.5472002504265014
150010.SZ,国泰优先(退市),国泰基金,中国工商银行,股票型,20100210.0,20130218.0,20100311.0,20100118.0,20130219.0,4.2155,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,D,稳健增长型,契约型封闭式,,20100311.0,,E,规模风格,0.005,0.001,366.2649769638911,19.985586131384878,0.4878048780487805,0.8048780487804879,0.33621831477939884,0.5,0.5,0.5233412239314895
150011.SZ,国泰进取(退市),国泰基金,中国工商银行,股票型,20100210.0,20130218.0,20100311.0,20100118.0,20130219.0,4.2155,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,D,积极成长型,契约型封闭式,,20100311.0,,E,规模风格,0.005,0.001,299.7305836143213,16.355075619542074,0.4878048780487805,0.6585365853658537,0.3604397012357663,0.5,0.5,0.4989172085398362
150012.SZ,中证100A(退市),国联安基金,中国建设银行,股票型,20100416.0,20201203.0,20100618.0,20100318.0,20201202.0,2.6308,1.0,0.22,,1.0,0.1,,中证100指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20100618.0,,E,规模风格,0.005,0.001,78.85330158077582,4.302703096403422,0.4878048780487805,0.21951219512195122,0.6904334154520614,0.5,0.5,0.4771110733343147
150013.SZ,中证100B(退市),国联安基金,中国建设银行,股票型,20100416.0,20201203.0,20100618.0,20100318.0,20201202.0,3.9462,1.0,0.22,,1.0,0.1,,中证100指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20100618.0,,E,规模风格,0.005,0.001,78.84126564776513,4.302046344622647,0.4878048780487805,0.1951219512195122,0.6905052789614617,0.5,0.5,0.47224739725570697
150027.SZ,添利B(退市),天弘基金,中国工商银行,债券型,20101203.0,20151202.0,20101220.0,20101125.0,20151203.0,9.9998,0.7,0.2,5.0,1.0,0.1,,中国债券总指数,D,债券型,契约型封闭式,,20101220.0,,E,规模风格,0.005,0.001,29.983722471931532,1.6360894589749577,0.4878048780487805,0.07317073170731707,0.6673947286023881,0.5,0.5,0.44323504328145324
150028.SZ,中证500A(退市),中信保诚基金,中国建设银行,股票型,20110211.0,20201231.0,20110314.0,20110106.0,20210104.0,0.1013,1.0,0.22,,1.0,0.1,,中证500指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20110314.0,,E,规模风格,0.005,0.001,433.22189674169266,23.639152187315492,0.4878048780487805,0.9024390243902439,0.31829596526800613,0.5,0.5,0.5392689491511622
150029.SZ,中证500B(退市),中信保诚基金,中国建设银行,股票型,20110211.0,20201231.0,20110314.0,20110106.0,20210104.0,0.152,1.0,0.22,,1.0,0.1,,中证500指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20110314.0,,E,规模风格,0.005,0.001,300.9563908598612,16.421962921978935,0.4878048780487805,0.6829268292682927,0.3599119978040203,0.5,0.5,0.5036897166339748
150034.SZ,聚利A(退市),宏利基金,中国银行,债券型,20110513.0,20160512.0,20110708.0,20110406.0,20160513.0,11.0747,0.7,0.2,5.0,1.0,0.1,,中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,D,债券型,契约型封闭式,,20110708.0,,E,规模风格,0.005,0.001,354.3282163202267,19.334245782244153,0.4878048780487805,0.7804878048780488,0.3399953977902763,0.5,0.5,0.5192185917531773
150035.SZ,聚利B(退市),宏利基金,中国银行,债券型,20110513.0,20160512.0,20110708.0,20110406.0,20160513.0,4.7463,0.7,0.2,5.0,1.0,0.1,,中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,D,债券型,契约型封闭式,,20110708.0,,E,规模风格,0.005,0.001,11.271662653605421,0.6150486641526582,0.4878048780487805,0.024390243902439025,0.41245058346822866,0.5,0.5,0.38249011669364574
