ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,index_code,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,etf_type,mgmt_fee,custody_fee,scale,avg_daily_volume,fee_score,liquidity_score,scale_score,tracking_error_score,info_ratio_score,comprehensive_score
150009.SZ,瑞和远见(退市),国投瑞银基金,中国工商银行,股票型,20091014.0,20200827.0,20091119.0,20090917.0,20200903.0,14.7937,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,D,被动指数型,契约型封闭式,,20091119.0,,E,规模风格,0.005,0.001,475.4064388985482,25.940990620456176,0.4878048780487805,0.9512195121951219,0.3091719838398241,0.5,0.5,0.5472002504265014
160615.SZ,鹏华300LOF,鹏华基金,中国工商银行,股票型,20090403.0,,20090508.0,20090302.0,,19.9443,0.15,0.05,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,L,被动指数型,契约型开放式,,20090508.0,20090508.0,E,规模风格,0.005,0.001,304.1648810988177,16.59703714980688,0.4878048780487805,0.7073170731707317,0.35854803357502063,0.5,0.5,0.5082949725686626
150010.SZ,国泰优先(退市),国泰基金,中国工商银行,股票型,20100210.0,20130218.0,20100311.0,20100118.0,20130219.0,4.2155,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,D,稳健增长型,契约型封闭式,,20100311.0,,E,规模风格,0.005,0.001,366.2649769638911,19.985586131384878,0.4878048780487805,0.8048780487804879,0.33621831477939884,0.5,0.5,0.5233412239314895
150011.SZ,国泰进取(退市),国泰基金,中国工商银行,股票型,20100210.0,20130218.0,20100311.0,20100118.0,20130219.0,4.2155,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,D,积极成长型,契约型封闭式,,20100311.0,,E,规模风格,0.005,0.001,299.7305836143213,16.355075619542074,0.4878048780487805,0.6585365853658537,0.3604397012357663,0.5,0.5,0.4989172085398362
150012.SZ,中证100A(退市),国联安基金,中国建设银行,股票型,20100416.0,20201203.0,20100618.0,20100318.0,20201202.0,2.6308,1.0,0.22,,1.0,0.1,,中证100指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20100618.0,,E,规模风格,0.005,0.001,78.85330158077582,4.302703096403422,0.4878048780487805,0.21951219512195122,0.6904334154520614,0.5,0.5,0.4771110733343147
150013.SZ,中证100B(退市),国联安基金,中国建设银行,股票型,20100416.0,20201203.0,20100618.0,20100318.0,20201202.0,3.9462,1.0,0.22,,1.0,0.1,,中证100指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20100618.0,,E,规模风格,0.005,0.001,78.84126564776513,4.302046344622647,0.4878048780487805,0.1951219512195122,0.6905052789614617,0.5,0.5,0.47224739725570697
161908.SZ,万家添利LOF,万家基金,中国邮政储蓄银行,债券型,20140603.0,,20140616.0,20140603.0,,12.0617,0.4,0.15,,1.0,,,中国债券总指数,L,债券型,契约型开放式,,20140606.0,20140606.0,E,规模风格,0.005,0.001,482.8503845042051,26.34717637507685,0.4878048780487805,0.975609756097561,0.30769703171477375,0.5,0.5,0.5517833087819792
166008.SZ,中欧强债LOF,中欧基金,广发银行,债券型,20101202.0,,20110218.0,20101101.0,,23.7429,0.3,0.08,,1.0,0.1,,中国债券总指数,L,债券型,契约型开放式,,20111202.0,20111202.0,E,规模风格,0.005,0.001,61.897079187544634,3.3774711894055334,0.4878048780487805,0.14634146341463414,0.8266689390824176,0.5,0.5,0.48972403171892254
150028.SZ,中证500A(退市),中信保诚基金,中国建设银行,股票型,20110211.0,20201231.0,20110314.0,20110106.0,20210104.0,0.1013,1.0,0.22,,1.0,0.1,,中证500指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20110314.0,,E,规模风格,0.005,0.001,433.22189674169266,23.639152187315492,0.4878048780487805,0.9024390243902439,0.31829596526800613,0.5,0.5,0.5392689491511622
165511.SZ,中信保诚500LOF,中信保诚基金,中国建设银行,股票型,20110211.0,,20210203.0,20110106.0,,3.4892,1.0,0.2,,1.0,0.1,,中证500指数收益率*95%+金融同业存款利率*5%,L,被动指数型,契约型开放式,,20110314.0,20110314.0,E,规模风格,0.005,0.001,49.738384889185554,2.7140208257935354,0.4878048780487805,0.12195121951219512,0.9948834040179542,0.5,0.5,0.518488875925542
162215.SZ,宏利聚利债券LOF,宏利基金,中国银行,债券型,20160513.0,,20160525.0,20160513.0,,24.0694,0.3,0.1,,1.0,,,中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,L,债券型,契约型开放式,,20160525.0,20160525.0,E,规模风格,0.005,0.001,404.3902767101141,22.06592826013317,0.4878048780487805,0.8536585365853658,0.325412297255141,0.5,0.5,0.5309361179876135
150034.SZ,聚利A(退市),宏利基金,中国银行,债券型,20110513.0,20160512.0,20110708.0,20110406.0,20160513.0,11.0747,0.7,0.2,5.0,1.0,0.1,,中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,D,债券型,契约型封闭式,,20110708.0,,E,规模风格,0.005,0.001,354.3282163202267,19.334245782244153,0.4878048780487805,0.7804878048780488,0.3399953977902763,0.5,0.5,0.5192185917531773
150036.SZ,建信稳健(退市),建信基金,招商银行,股票型,20110506.0,20200506.0,20110608.0,20110401.0,20200506.0,0.3734,1.5,0.25,,1.0,0.1,,沪深300指数收益率*95%+商业银行活期存款利率*5%,D,股票型,契约型封闭式,,20110608.0,,E,规模风格,0.005,0.001,484.98501622883515,26.46365452306965,0.4878048780487805,1.0,0.30728081991960887,0.5,0.5,0.556578115203434
150037.SZ,建信进取(退市),建信基金,招商银行,股票型,20110506.0,20200506.0,20110608.0,20110401.0,20200506.0,0.5602,1.5,0.25,,1.0,0.1,,沪深300指数收益率*95%+商业银行活期存款利率*5%,D,股票型,契约型封闭式,,20110608.0,,E,规模风格,0.005,0.001,416.38887775941043,22.72064298801849,0.4878048780487805,0.8780487804878049,0.3223526362941888,0.5,0.5,0.535202234575911
150048.SZ,消费B(退市),银华基金,中国建设银行,混合型,20110928.0,20191226.0,20111021.0,20110905.0,20191226.0,0.761,2.0,0.35,,1.0,0.1,,中证内地消费主题指数收益率*80%+中国债券总指数收益率*20%,D,混合型,契约型封闭式,,20111021.0,,E,规模风格,0.005,0.001,92.51885041686347,5.048376367050868,0.4878048780487805,0.2926829268292683,0.6225342228778773,0.5,0.5,0.4781653811609413
150047.SZ,消费A(退市),银华基金,中国建设银行,混合型,20110928.0,20191226.0,20111021.0,20110905.0,20191226.0,0.1903,2.0,0.35,,1.0,0.1,,中证内地消费主题指数收益率*80%+中国债券总指数收益率*20%,D,混合型,契约型封闭式,,20111021.0,,E,规模风格,0.005,0.001,91.73065863634321,5.005367955904885,0.4878048780487805,0.2682926829268293,0.625831763741652,0.5,0.5,0.47394684055320846
150077.SZ,浙商进取(退市),浙商基金,华夏银行,股票型,20120507.0,20180819.0,20120713.0,20120328.0,20180813.0,0.0914,1.0,0.22,,1.0,5.0,,沪深300指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20120713.0,,E,规模风格,0.005,0.001,392.8028047351138,21.433647169210825,0.4878048780487805,0.8292682926829268,0.3285124508211562,0.5,0.5,0.5266780999203288
