ts_code,name,management,found_date,issue_date
159001.SZ,货币ETF易方达,易方达基金,20130329,20130325
159003.SZ,招商快线ETF,招商基金,20130517,20130513
159005.SZ,汇添富快钱ETF,汇添富基金,20141223,20141215
159100.SZ,巴西ETF华夏,华夏基金,20251105,20251031
159101.SZ,港股通科技ETF华夏,华夏基金,20250826,20250818
159102.SZ,港股通生物科技ETF华安,华安基金,20250905,20250901
159103.SZ,金融科技ETF汇添富,汇添富基金,20250829,20250820
159105.SZ,恒生生物科技ETF易方达,易方达基金,20251020,20250922
159106.SZ,民企300ETF前海开源,前海开源基金,20250926,20250910
159107.SZ,创业板软件ETF富国,富国基金,20250910,20250901
159108.SZ,工业软件ETF博时,博时基金,20251112,20251027
159109.SZ,恒生50ETF景顺,景顺长城基金,20250925,20250918
159110.SZ,科创债ETF万家,万家基金,20250917,20250912
159111.SZ,科创债ETF天弘,天弘基金,20250917,20250912
159112.SZ,科创债ETF银华,银华基金,20250917,20250912
159113.SZ,科创债ETF大成,大成基金,20250917,20250912
159115.SZ,科创债ETF华安,华安基金,20250917,20250912
159116.SZ,科创债ETF工银,工银瑞信基金,20250917,20250912
159117.SZ,港股通红利低波ETF,鹏华基金,20250930,20250919
159118.SZ,港股通红利低波ETF华夏,华夏基金,20251117,20251110
159119.SZ,800现金流ETF招商,招商基金,20251103,20250923
159120.SZ,港股通科技ETF国联安,国联安基金,20251105,20251015
159121.SZ,港股通汽车ETF易方达,易方达基金,20251114,20251103
159122.SZ,创业板新能源ETF富国,富国基金,20251022,20251009
159123.SZ,光伏ETF嘉实,嘉实基金,20251119,20251110
159125.SZ,港股通科技ETF招商,招商基金,20251024,20251013
159126.SZ,港股通50ETF南方,南方基金,20251022,20251015
159127.SZ,港股通红利ETF南方,南方基金,20251112,20251103
159128.SZ,港股科技ETF天弘,天弘基金,20251031,20251020
159129.SZ,化工ETF嘉实,嘉实基金,20251106,20251020
159130.SZ,恒生生物科技ETF鹏华,鹏华基金,20251119,20251110
159131.SZ,港股通信息技术ETF华宝,华宝基金,20251105,20251027
159132.SZ,恒生生物科技ETF富国,富国基金,20251224,20251201
159133.SZ,化工ETF天弘,天弘基金,20251117,20251110
159135.SZ,港股通科技ETF前海开源,前海开源基金,20260128,20260112
159136.SZ,A50ETF广发,广发基金,20251216,20251127
159137.SZ,港股通医疗ETF华宝,华宝基金,20251231,20251215
159138.SZ,工程机械ETF易方达,易方达基金,20251231,20251211
159139.SZ,科创创业人工智能ETF华泰柏瑞,华泰柏瑞基金,20251210,20251128
159140.SZ,科创创业人工智能ETF易方达,易方达基金,20251210,20251128
159141.SZ,科创创业人工智能ETF永赢,永赢基金,20251203,20251128
159142.SZ,科创创业人工智能ETF景顺,景顺长城基金,20251205,20251128
159143.SZ,港股通央企红利ETF平安,平安基金,20251229,20251215
159145.SZ,工业软件ETF广发,广发基金,20260108,20251215
159146.SZ,电力ETF华宝,华宝基金,20260112,20251222
159147.SZ,电池ETF南方,南方基金,20260114,20260105
159148.SZ,石油ETF富国,富国基金,20260203,20260119
159149.SZ,创业板新能源ETF工银,工银瑞信基金,20260107,20251222
159150.SZ,深证50ETF易方达,易方达基金,20231129,20231120
159151.SZ,食品ETF华夏,华夏基金,20251231,20251222
159152.SZ,港股通科技ETF平安,平安基金,20260121,20260112
159153.SZ,消费电子ETF鹏华,鹏华基金,20260129,20260112
159155.SZ,电池ETF大成,大成基金,20260113,20260105
159156.SZ,电池ETF万家,万家基金,20260204,20260126
159157.SZ,有色金属ETF天弘,天弘基金,20260128,20260119
159158.SZ,电力ETF景顺,景顺长城基金,20260116,20260107
159159.SZ,公用事业ETF国投瑞银,国投瑞银基金,20260204,20260119
159162.SZ,工业有色ETF鹏华,鹏华基金,20260121,20260115
159163.SZ,有色ETF泰康,泰康基金,20260127,20260114
159165.SZ,养殖ETF永赢,永赢基金,20260204,20260119
159166.SZ,现金流ETF长城,长城基金,20260311,20260302
