trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
2017-01-03,SZSE,394745974498.0,11949189614.0,11228817903.0,620476395.0,11236155.0,395366450893.0,
2017-01-03,SSE,541086585301.0,16133800643.0,16791289476.0,2751779090.0,60364739.0,543838364391.0,
2017-01-04,SZSE,394327908532.0,15111669330.0,15529735296.0,615399668.0,10668831.0,394943308200.0,
2017-01-04,SSE,540266946445.0,19600153246.0,20419792102.0,2827996656.0,77535673.0,543094943101.0,
2017-01-05,SZSE,393350744378.0,14060627375.0,15037791529.0,648842890.0,10984438.0,393999587268.0,
2017-01-05,SSE,539549321455.0,19822922714.0,20540547704.0,2988885418.0,73640617.0,542538206873.0,
2017-01-06,SZSE,391952345803.0,13797467633.0,15195866208.0,584344284.0,8052902.0,392536690087.0,
2017-01-06,SSE,537500878600.0,19869471573.0,21917914428.0,2858333974.0,58039504.0,540359212574.0,
2017-01-09,SZSE,391750039175.0,13112550223.0,13314856851.0,596182624.0,11537817.0,392346221799.0,
2017-01-09,SSE,537718895628.0,20095812115.0,19877795087.0,3151701673.0,91852042.0,540870597301.0,
2017-01-10,SZSE,391175614544.0,13157783401.0,13732208032.0,620521071.0,10468762.0,391796135615.0,
2017-01-10,SSE,536648846867.0,20212691796.0,21282740557.0,3159415794.0,93465888.0,539808262661.0,
2017-01-11,SZSE,390542979631.0,12361362225.0,12993997138.0,618242435.0,11533943.0,391161222066.0,
2017-01-11,SSE,535042445743.0,18902724719.0,20509125843.0,3257103313.0,89826296.0,538299549056.0,
2017-01-12,SSE,533756166491.0,15745649736.0,17031928988.0,3147374871.0,63277969.0,536903541362.0,
2017-01-12,SZSE,389794524910.0,11647984852.0,12396439573.0,621970210.0,15121077.0,390416495120.0,
2017-01-13,SSE,528892909817.0,14808474716.0,19671731390.0,3147160699.0,52882035.0,532040070516.0,
2017-01-13,SZSE,387631682716.0,11116147615.0,13278989809.0,604390844.0,12087177.0,388236073560.0,
2017-01-16,SZSE,382711116602.0,15356043369.0,20276609483.0,607145568.0,15134330.0,383318262170.0,
2017-01-16,SSE,516166619858.0,18744123693.0,31470413652.0,3366270199.0,89447836.0,519532890057.0,
2017-01-17,SZSE,381769300899.0,11794213852.0,12736029555.0,598972706.0,14018872.0,382368273605.0,
2017-01-17,SSE,515589498006.0,14304069471.0,14881191323.0,3276346000.0,62246078.0,518865844006.0,
2017-01-18,SSE,514074153163.0,13462077516.0,14977422359.0,3357240293.0,97458732.0,517431393456.0,
2017-01-18,SZSE,380029756794.0,8958561038.0,10698105143.0,586710731.0,11299985.0,380616467525.0,
2017-01-19,SSE,513286356018.0,12150234652.0,12938031797.0,3181768033.0,73466992.0,516468124051.0,
2017-01-19,SZSE,378943281451.0,8125307205.0,9211782548.0,586261822.0,12779028.0,379529543273.0,
2017-01-20,SSE,511151354556.0,12168333608.0,14303335070.0,2875530522.0,39181012.0,514026885078.0,
2017-01-20,SZSE,377584695992.0,10530790003.0,11889375462.0,528149026.0,8345394.0,378112845018.0,
2017-01-23,SZSE,375924758504.0,10335613172.0,11995550660.0,529214385.0,8791749.0,376453972889.0,
2017-01-23,SSE,510210195581.0,14558396547.0,15499555522.0,2895853009.0,57943826.0,513106048590.0,
2017-01-24,SZSE,374204949990.0,9041047244.0,10760855758.0,527599929.0,7776468.0,374732549919.0,
2017-01-24,SSE,507524064123.0,12326827603.0,15012959061.0,2878112906.0,49957366.0,510402177029.0,
2017-01-25,SSE,505982240630.0,12266684836.0,13808508329.0,2796884705.0,29154433.0,508779125335.0,
2017-01-25,SZSE,372231791023.0,7911966894.0,9885125861.0,467743400.0,4710581.0,372699534423.0,
2017-01-26,SZSE,366636429032.0,7435725013.0,13031087004.0,422630091.0,3537499.0,367059059123.0,
2017-01-26,SSE,498374008721.0,10368831308.0,17977063217.0,2547782617.0,6634730.0,500921791338.0,
2017-02-03,SZSE,368121106596.0,8695866266.0,7211188702.0,439800132.0,6937670.0,368560906728.0,
2017-02-03,SSE,501587053948.0,13012665745.0,9799620518.0,2591392792.0,36738999.0,504178446740.0,
2017-02-06,SSE,505094124703.0,15607866098.0,12100795343.0,2729574011.0,52236915.0,507823698714.0,
