code,trade_date,ts_code,name,vol,ratio,exchange
72651,2021-11-04,002651.SZ,利君股份,17976722,1.73,SZ
1108,2021-11-04,01108.HK,洛陽玻璃股份,76592000,30.63,HK
1099,2021-11-04,01099.HK,國藥控股,35641912,2.65,HK
1098,2021-11-04,01098.HK,路勁,4198000,0.56,HK
1097,2021-11-04,01097.HK,有線寬頻,67068,0.0,HK
1093,2021-11-04,01093.HK,石藥集團,512750269,4.27,HK
1088,2021-11-04,01088.HK,中國神華,1025811076,30.36,HK
1086,2021-11-04,01086.HK,好孩子國際,18170000,1.08,HK
1083,2021-11-04,01083.HK,港華燃氣,88904634,2.91,HK
1076,2021-11-04,01076.HK,博華太平洋,19115000,0.26,HK
1072,2021-11-04,01072.HK,東方電氣,82324610,24.2,HK
1071,2021-11-04,01071.HK,華電國際電力股份,834020000,48.56,HK
1070,2021-11-04,01070.HK,TCL電子,108241666,4.36,HK
1068,2021-11-04,01068.HK,雨潤食品,15427000,0.84,HK
1066,2021-11-04,01066.HK,威高股份,557858756,12.33,HK
1065,2021-11-04,01065.HK,天津創業環保股份,156438100,46.0,HK
1109,2021-11-04,01109.HK,華潤置地,177792051,2.48,HK
1060,2021-11-04,01060.HK,阿里影業,4155898620,15.48,HK
1112,2021-11-04,01112.HK,H&H國際控股,22809500,3.52,HK
1114,2021-11-04,01114.HK,BRILLIANCECHI,98802592,1.94,HK
1177,2021-11-04,01177.HK,中國生物製藥,609252252,3.22,HK
1176,2021-11-04,01176.HK,珠光控股,363460000,5.03,HK
1171,2021-11-04,01171.HK,兗州煤業股份,527161120,27.73,HK
1167,2021-11-04,01167.HK,加科思-B,5049300,0.65,HK
1165,2021-11-04,01165.HK,順風清潔能源,306814000,6.15,HK
1157,2021-11-04,01157.HK,中聯重科,40548324,2.56,HK
1141,2021-11-04,01141.HK,民銀資本,3773530000,7.99,HK
1140,2021-11-04,01140.HK,華科資本,87344000,2.5,HK
1138,2021-11-04,01138.HK,中遠海能,215634003,16.63,HK
1137,2021-11-04,01137.HK,香港科技探索,1196000,0.13,HK
1131,2021-11-04,01131.HK,鴻寶資源,583090000,9.14,HK
1128,2021-11-04,01128.HK,永利澳門,38256800,0.72,HK
1119,2021-11-04,01119.HK,創夢天地,142791700,10.85,HK
1117,2021-11-04,01117.HK,現代牧業,661119000,9.29,HK
1115,2021-11-04,01115.HK,西藏水資源,160331000,6.16,HK
1113,2021-11-04,01113.HK,長實集團,10031255,0.27,HK
1057,2021-11-04,01057.HK,浙江世寶,64023000,29.52,HK
1055,2021-11-04,01055.HK,中國南方航空股份,311967498,7.28,HK
1053,2021-11-04,01053.HK,重慶鋼鐵股份,56676000,10.53,HK
960,2021-11-04,00960.HK,龍湖集團,94235649,1.54,HK
956,2021-11-04,00956.HK,新天綠色能源,371962000,20.22,HK
951,2021-11-04,00951.HK,超威動力,97517000,8.83,HK
950,2021-11-04,00950.HK,李氏大藥廠,926000,0.15,HK
941,2021-11-04,00941.HK,中國移動,1691733413,8.25,HK
939,2021-11-04,00939.HK,建設銀行,25795022678,10.72,HK
934,2021-11-04,00934.HK,中石化冠德,125422000,5.04,HK
931,2021-11-04,00931.HK,中國天然氣,108931000,1.92,HK
921,2021-11-04,00921.HK,海信家電,42686959,9.28,HK
916,2021-11-04,00916.HK,龍源電力,362992014,10.86,HK
914,2021-11-04,00914.HK,海螺水泥,91047609,7.0,HK
911,2021-11-04,00911.HK,前海健康,87137750,5.14,HK
909,2021-11-04,00909.HK,明源雲,59095000,2.99,HK
906,2021-11-04,00906.HK,中糧包裝,6889000,0.61,HK
902,2021-11-04,00902.HK,華能國際電力股份,2223966896,47.3,HK
966,2021-11-04,00966.HK,中國太平,330290880,9.18,HK
967,2021-11-04,00967.HK,桑德國際,289000,0.01,HK
968,2021-11-04,00968.HK,信義光能,454411998,5.1,HK
976,2021-11-04,00976.HK,齊合環保,132462000,8.25,HK
1052,2021-11-04,01052.HK,越秀交通基建,65245425,3.89,HK
1044,2021-11-04,01044.HK,恆安國際,18955605,1.62,HK
1038,2021-11-04,01038.HK,長江基建集團,8957500,0.33,HK
1033,2021-11-04,01033.HK,中石化油服,380710000,7.02,HK
1031,2021-11-04,01031.HK,金利豐金融,546000,0.0,HK
1030,2021-11-04,01030.HK,新城發展,383456000,6.16,HK
1028,2021-11-04,01028.HK,千百度,140364000,6.75,HK
1186,2021-11-04,01186.HK,中國鐵建,560489458,26.99,HK
1024,2021-11-04,01024.HK,快手-W,84243500,2.0,HK
996,2021-11-04,00996.HK,嘉年華國際,223151700,23.53,HK
995,2021-11-04,00995.HK,安徽皖通高速公路,132294000,26.83,HK
992,2021-11-04,00992.HK,聯想集團,250919470,2.08,HK
991,2021-11-04,00991.HK,大唐發電,346830000,5.67,HK
989,2021-11-04,00989.HK,華音國際控股,118665000,1.75,HK
981,2021-11-04,00981.HK,中芯國際,1518985263,19.2,HK
978,2021-11-04,00978.HK,招商局置地,209792000,4.27,HK
998,2021-11-04,00998.HK,中信銀行,2797812317,18.79,HK
895,2021-11-04,00895.HK,東江環保,68118800,34.03,HK
1188,2021-11-04,01188.HK,正道集團,99342000,0.48,HK
1196,2021-11-04,01196.HK,偉祿集團,121656000,8.45,HK
1513,2021-11-04,01513.HK,麗珠醫藥,39902502,12.73,HK
1508,2021-11-04,01508.HK,中國再保險,1237648000,18.51,HK
1478,2021-11-04,01478.HK,丘鈦科技,117708000,9.95,HK
1477,2021-11-04,01477.HK,歐康維視生物-B,11674000,1.82,HK
1475,2021-11-04,01475.HK,日清食品,6305000,0.59,HK
1458,2021-11-04,01458.HK,周黑鴨,405758194,17.02,HK
1456,2021-11-04,01456.HK,國聯證券,128550000,29.03,HK
1448,2021-11-04,01448.HK,福壽園,249366267,10.74,HK
1432,2021-11-04,01432.HK,中國聖牧,84615000,1.0,HK
1398,2021-11-04,01398.HK,工商銀行,23659688938,27.25,HK
1387,2021-11-04,01387.HK,中國地利,128717620,1.44,HK
1385,2021-11-04,01385.HK,上海復旦,30698000,10.78,HK
1383,2021-11-04,01383.HK,太陽城集團,84500000,1.26,HK
1382,2021-11-04,01382.HK,互太紡織,36266000,2.56,HK
1381,2021-11-04,01381.HK,粵豐環保,51294000,2.1,HK
1515,2021-11-04,01515.HK,華潤醫療,92267100,7.11,HK
1378,2021-11-04,01378.HK,中國宏橋,690909228,7.57,HK
1516,2021-11-04,01516.HK,融創服務,120437887,3.88,HK
1528,2021-11-04,01528.HK,紅星美凱龍,165099857,22.26,HK
1610,2021-11-04,01610.HK,中糧家佳康,1087324000,27.86,HK
1608,2021-11-04,01608.HK,偉能集團,14540676,0.53,HK
1606,2021-11-04,01606.HK,國銀租賃,302000,0.01,HK
1600,2021-11-04,01600.HK,天倫燃氣,9262500,0.92,HK
1589,2021-11-04,01589.HK,中國物流資產,13455000,0.38,HK
1585,2021-11-04,01585.HK,雅迪控股,277240396,9.25,HK
1583,2021-11-04,01583.HK,親親食品,7400,0.0,HK
1579,2021-11-04,01579.HK,頤海國際,126434588,12.07,HK
1578,2021-11-04,01578.HK,天津銀行,33500,0.0,HK
1569,2021-11-04,01569.HK,民生教育,121130000,2.87,HK
1558,2021-11-04,01558.HK,東陽光藥,137719000,21.06,HK
1551,2021-11-04,01551.HK,廣州農商銀行,2414000,0.13,HK
1548,2021-11-04,01548.HK,金斯瑞生物科技,364906261,17.36,HK
1533,2021-11-04,01533.HK,莊園牧場,8517000,24.23,HK
1530,2021-11-04,01530.HK,三生製藥,373306000,14.79,HK
1521,2021-11-04,01521.HK,方達控股,193238675,9.42,HK
1375,2021-11-04,01375.HK,中州證券,505536000,42.28,HK
1368,2021-11-04,01368.HK,特步國際,412258765,15.67,HK
1361,2021-11-04,01361.HK,361度,13203000,0.63,HK
1269,2021-11-04,01269.HK,首控集團,353953200,30.93,HK
1268,2021-11-04,01268.HK,美東汽車,69298193,5.56,HK
1257,2021-11-04,01257.HK,中國光大綠色環保,203410100,9.84,HK
1253,2021-11-04,01253.HK,中國綠地博大綠澤,6428000,0.19,HK
1250,2021-11-04,01250.HK,北控清潔能源集團,662180000,1.04,HK
1238,2021-11-04,01238.HK,寶龍地產,62809386,1.5,HK
1234,2021-11-04,01234.HK,中國利郎,72192000,6.02,HK
1233,2021-11-04,01233.HK,時代中國控股,70929918,3.57,HK
1230,2021-11-04,01230.HK,雅士利國際,70724000,1.48,HK
1212,2021-11-04,01212.HK,利福國際,4712500,0.3,HK
1211,2021-11-04,01211.HK,比亞迪股份,68298866,6.51,HK
1209,2021-11-04,01209.HK,華潤萬象生活,61980000,2.7,HK
1208,2021-11-04,01208.HK,五礦資源,363560993,4.2,HK
1205,2021-11-04,01205.HK,中信資源,118968100,1.5,HK
1199,2021-11-04,01199.HK,中遠海運港口,9109197,0.27,HK
1282,2021-11-04,01282.HK,寶新金融,4822200000,15.36,HK
1286,2021-11-04,01286.HK,鷹普精密,818000,0.04,HK
1288,2021-11-04,01288.HK,農業銀行,6660558505,21.66,HK
1293,2021-11-04,01293.HK,廣匯寶信,20584908,0.72,HK
1359,2021-11-04,01359.HK,中國信達,2551155707,18.8,HK
1357,2021-11-04,01357.HK,美圖公司,398293600,9.14,HK
1349,2021-11-04,01349.HK,復旦張江,34659100,10.19,HK
1347,2021-11-04,01347.HK,華虹半導體,109650430,8.43,HK
1339,2021-11-04,01339.HK,中國人民保險集團,1751919987,20.07,HK
1336,2021-11-04,01336.HK,新華保險,291700925,28.2,HK
1333,2021-11-04,01333.HK,中國忠旺,359026826,6.58,HK
1193,2021-11-04,01193.HK,華潤燃氣,4388000,0.18,HK
1330,2021-11-04,01330.HK,綠色動力環保,171498200,42.4,HK
1316,2021-11-04,01316.HK,耐世特,140448800,5.58,HK
1315,2021-11-04,01315.HK,允升國際,798540912,10.64,HK
1313,2021-11-04,01313.HK,華潤水泥控股,79364263,1.13,HK
1310,2021-11-04,01310.HK,香港寬頻,2188370,0.16,HK
1308,2021-11-04,01308.HK,海豐國際,36526561,1.35,HK
1302,2021-11-04,01302.HK,先健科技,923894000,19.95,HK
1299,2021-11-04,01299.HK,友邦保險,73536642,0.6,HK
1317,2021-11-04,01317.HK,楓葉教育,590892200,19.72,HK
885,2021-11-04,00885.HK,仁天科技控股,1110000,0.01,HK
884,2021-11-04,00884.HK,旭輝控股集團,424491559,5.06,HK
883,2021-11-04,00883.HK,中國海洋石油,5556718865,12.44,HK
506,2021-11-04,00506.HK,中國食品,30434100,1.08,HK
496,2021-11-04,00496.HK,卡森國際,115300000,7.71,HK
493,2021-11-04,00493.HK,國美零售,3332022000,9.86,HK
489,2021-11-04,00489.HK,東風集團股份,176179571,6.16,HK
488,2021-11-04,00488.HK,麗新發展,450,0.0,HK
480,2021-11-04,00480.HK,香港興業國際,44400,0.0,HK
468,2021-11-04,00468.HK,紛美包裝,2349000,0.17,HK
467,2021-11-04,00467.HK,聯合能源集團,116416000,0.43,HK
460,2021-11-04,00460.HK,四環醫藥,668055007,7.06,HK
451,2021-11-04,00451.HK,協鑫新能源,260908000,1.23,HK
440,2021-11-04,00440.HK,大新金融,1453600,0.45,HK
439,2021-11-04,00439.HK,光啟科學,258532000,4.19,HK
