date,industry_code,hold_mv,config_ratio,float_ratio,indicator_name
2017-01-26,交通运输,104.41,9.08,0.7146,north_hold_mv_M_orig
2017-02-28,交通运输,108.26,8.08,0.7002,north_hold_mv_M_orig
2017-03-31,交通运输,129.85,8.72,0.8236,north_hold_mv_M_orig
2017-04-28,交通运输,151.61,9.42,0.9666,north_hold_mv_M_orig
2017-05-31,交通运输,163.49,8.58,1.0522,north_hold_mv_M_orig
2017-06-30,交通运输,164.32,7.1,1.0383,north_hold_mv_M_orig
2017-07-31,交通运输,173.8,7.01,1.0552,north_hold_mv_M_orig
2017-08-31,交通运输,187.6,6.79,1.1221,north_hold_mv_M_orig
2017-09-29,交通运输,183.64,6.11,1.1154,north_hold_mv_M_orig
2017-10-31,交通运输,214.57,6.13,1.229,north_hold_mv_M_orig
2017-11-30,交通运输,214.97,6.0,1.2862,north_hold_mv_M_orig
2017-12-29,交通运输,234.96,6.14,1.4146,north_hold_mv_M_orig
2018-01-31,交通运输,270.66,6.12,1.5312,north_hold_mv_M_orig
2018-02-28,交通运输,274.62,6.56,1.6044,north_hold_mv_M_orig
2018-03-30,交通运输,266.0,6.51,1.5737,north_hold_mv_M_orig
2018-04-27,交通运输,268.75,6.43,1.6263,north_hold_mv_M_orig
2018-05-31,交通运输,291.23,5.82,1.7503,north_hold_mv_M_orig
2018-06-29,交通运输,280.81,5.66,1.8931,north_hold_mv_M_orig
2018-07-31,交通运输,314.87,6.13,2.1664,north_hold_mv_M_orig
2018-08-31,交通运输,295.86,6.05,2.1416,north_hold_mv_M_orig
2018-09-28,交通运输,315.71,6.03,2.2537,north_hold_mv_M_orig
2018-10-31,交通运输,262.87,6.06,2.0367,north_hold_mv_M_orig
2018-11-30,交通运输,291.97,6.12,2.2021,north_hold_mv_M_orig
2018-12-28,交通运输,302.25,6.49,2.4005,north_hold_mv_M_orig
2019-01-31,交通运输,302.52,5.41,2.3567,north_hold_mv_M_orig
2019-02-28,交通运输,374.48,5.36,2.534,north_hold_mv_M_orig
2019-03-29,交通运输,417.01,5.36,2.5533,north_hold_mv_M_orig
2019-04-30,交通运输,436.77,5.46,2.6333,north_hold_mv_M_orig
2019-05-31,交通运输,391.14,5.57,2.5366,north_hold_mv_M_orig
2019-06-28,交通运输,448.29,5.59,2.8703,north_hold_mv_M_orig
2019-07-31,交通运输,438.02,5.33,2.7598,north_hold_mv_M_orig
2019-08-30,交通运输,428.17,5.01,2.8369,north_hold_mv_M_orig
2019-09-30,交通运输,426.72,4.71,2.778,north_hold_mv_M_orig
2019-10-31,交通运输,407.68,4.28,2.6576,north_hold_mv_M_orig
2019-11-29,交通运输,408.97,4.16,2.7208,north_hold_mv_M_orig
2019-12-31,交通运输,455.8,4.04,2.7258,north_hold_mv_M_orig
2020-01-23,交通运输,398.39,3.56,2.3672,north_hold_mv_M_orig
2020-02-28,交通运输,389.94,3.5,2.4053,north_hold_mv_M_orig
2020-03-31,交通运输,338.06,3.41,2.1076,north_hold_mv_M_orig
2020-04-30,交通运输,379.4,3.35,2.2974,north_hold_mv_M_orig
2020-05-29,交通运输,379.05,3.17,2.334,north_hold_mv_M_orig
2020-06-30,交通运输,414.44,2.99,2.4703,north_hold_mv_M_orig
2020-07-31,交通运输,447.34,2.77,2.4054,north_hold_mv_M_orig
2020-08-31,交通运输,504.3,3.01,2.5437,north_hold_mv_M_orig
2020-09-30,交通运输,464.8,2.98,2.4707,north_hold_mv_M_orig
2020-10-30,交通运输,436.75,2.71,2.3464,north_hold_mv_M_orig
2020-11-30,交通运输,518.77,2.98,2.6013,north_hold_mv_M_orig
2020-12-31,交通运输,543.49,2.8,2.6934,north_hold_mv_M_orig
2021-01-29,交通运输,573.1,2.8,2.6765,north_hold_mv_M_orig
2021-02-26,交通运输,520.76,2.56,2.3262,north_hold_mv_M_orig
2021-03-31,交通运输,524.51,2.7,2.3622,north_hold_mv_M_orig
2021-04-30,交通运输,461.48,2.26,2.1402,north_hold_mv_M_orig
2021-05-31,交通运输,484.95,2.21,2.1889,north_hold_mv_M_orig
2021-06-30,交通运输,504.34,2.27,2.2216,north_hold_mv_M_orig
2021-07-30,交通运输,448.63,2.19,2.2099,north_hold_mv_M_orig
2021-08-31,交通运输,497.21,2.39,2.2909,north_hold_mv_M_orig
2021-09-30,交通运输,534.2,2.5,2.3684,north_hold_mv_M_orig
2021-10-29,交通运输,548.68,2.48,2.4782,north_hold_mv_M_orig
2021-11-30,交通运输,497.04,2.26,2.2831,north_hold_mv_M_orig
2021-12-31,交通运输,543.58,2.34,2.2975,north_hold_mv_M_orig
2022-01-28,交通运输,534.72,2.52,2.2685,north_hold_mv_M_orig
2022-02-28,交通运输,565.37,2.65,2.3511,north_hold_mv_M_orig
2022-03-31,交通运输,491.74,2.6,2.2109,north_hold_mv_M_orig
2022-04-29,交通运输,500.55,2.78,2.2584,north_hold_mv_M_orig
2022-05-31,交通运输,549.99,2.91,2.3074,north_hold_mv_M_orig
2022-06-30,交通运输,604.88,2.71,2.4668,north_hold_mv_M_orig
2022-07-29,交通运输,562.3,2.7,2.4023,north_hold_mv_M_orig
2022-08-31,交通运输,599.76,2.94,2.5111,north_hold_mv_M_orig
2022-09-30,交通运输,601.57,3.17,2.5804,north_hold_mv_M_orig
2022-10-31,交通运输,567.5,3.34,2.5117,north_hold_mv_M_orig
2022-11-30,交通运输,624.56,3.25,2.5609,north_hold_mv_M_orig
2022-12-30,交通运输,615.06,3.13,2.5567,north_hold_mv_M_orig
2023-01-31,交通运输,620.82,2.76,2.4303,north_hold_mv_M_orig
2023-02-28,交通运输,592.54,2.69,2.3184,north_hold_mv_M_orig
2023-03-31,交通运输,614.66,2.78,2.3408,north_hold_mv_M_orig
2023-04-28,交通运输,637.44,2.9,2.3765,north_hold_mv_M_orig
2023-05-31,交通运输,580.11,2.79,2.3064,north_hold_mv_M_orig
2023-06-30,交通运输,571.35,2.62,2.3219,north_hold_mv_M_orig
2023-07-31,交通运输,626.63,2.7,2.3946,north_hold_mv_M_orig
2023-08-31,交通运输,540.65,2.58,2.2155,north_hold_mv_M_orig
2023-09-28,交通运输,526.44,2.61,2.1563,north_hold_mv_M_orig
2023-10-31,交通运输,499.5,2.63,2.0966,north_hold_mv_M_orig
2023-11-30,交通运输,496.53,2.63,2.07,north_hold_mv_M_orig
2023-12-29,交通运输,479.35,2.61,2.0215,north_hold_mv_M_orig
2024-01-31,交通运输,491.67,2.95,2.0782,north_hold_mv_M_orig
2024-02-29,交通运输,536.68,2.82,2.1614,north_hold_mv_M_orig
2024-03-29,交通运输,537.66,2.75,2.1439,north_hold_mv_M_orig
2024-04-30,交通运输,545.35,2.68,2.1178,north_hold_mv_M_orig
2024-05-31,交通运输,580.0,2.86,2.1902,north_hold_mv_M_orig
2024-06-28,交通运输,551.02,2.85,2.1318,north_hold_mv_M_orig
2024-07-31,交通运输,561.27,2.96,2.1514,north_hold_mv_M_orig
2024-08-30,交通运输,561.27,2.96,2.1514,north_hold_mv_M_orig
2024-09-30,交通运输,672.28,2.94,2.3211,north_hold_mv_M_orig
2017-01-26,传媒,21.33,1.88,0.203,north_hold_mv_M_orig
2017-02-28,传媒,21.66,1.63,0.195,north_hold_mv_M_orig
2017-03-31,传媒,24.55,1.66,0.2277,north_hold_mv_M_orig
2017-04-28,传媒,25.27,1.58,0.2421,north_hold_mv_M_orig
2017-05-31,传媒,26.2,1.38,0.2543,north_hold_mv_M_orig
2017-06-30,传媒,31.59,1.37,0.3015,north_hold_mv_M_orig
2017-07-31,传媒,33.17,1.35,0.3278,north_hold_mv_M_orig
2017-08-31,传媒,34.82,1.27,0.3303,north_hold_mv_M_orig
2017-09-29,传媒,28.26,0.94,0.2682,north_hold_mv_M_orig
2017-10-31,传媒,26.59,0.77,0.2549,north_hold_mv_M_orig
2017-11-30,传媒,25.84,0.73,0.2608,north_hold_mv_M_orig
2017-12-29,传媒,28.13,0.74,0.2763,north_hold_mv_M_orig
2018-01-31,传媒,37.93,0.87,0.3554,north_hold_mv_M_orig
2018-02-28,传媒,40.01,0.97,0.3791,north_hold_mv_M_orig
2018-03-30,传媒,42.34,1.05,0.3942,north_hold_mv_M_orig
2018-04-27,传媒,47.39,1.15,0.4596,north_hold_mv_M_orig
2018-05-31,传媒,56.1,1.14,0.5322,north_hold_mv_M_orig
2018-06-29,传媒,63.31,1.3,0.6607,north_hold_mv_M_orig
2018-07-31,传媒,75.6,1.5,0.8141,north_hold_mv_M_orig
2018-08-31,传媒,74.61,1.56,0.875,north_hold_mv_M_orig
2018-09-28,传媒,88.23,1.73,1.0301,north_hold_mv_M_orig
2018-10-31,传媒,69.47,1.65,0.8893,north_hold_mv_M_orig
2018-11-30,传媒,64.5,1.4,0.7924,north_hold_mv_M_orig
2018-12-28,传媒,65.59,1.45,0.8302,north_hold_mv_M_orig
2019-01-31,传媒,68.73,1.27,0.8476,north_hold_mv_M_orig
2019-02-28,传媒,92.79,1.36,0.9065,north_hold_mv_M_orig
2019-03-29,传媒,92.85,1.23,0.8371,north_hold_mv_M_orig
2019-04-30,传媒,88.81,1.15,0.8569,north_hold_mv_M_orig
2019-05-31,传媒,85.37,1.27,0.8583,north_hold_mv_M_orig
2019-06-28,传媒,93.2,1.21,0.9318,north_hold_mv_M_orig
2019-07-31,传媒,100.77,1.27,0.9919,north_hold_mv_M_orig
2019-08-30,传媒,112.29,1.36,1.0682,north_hold_mv_M_orig
