date,industry_code,hold_mv,config_ratio,float_ratio,hold_mv_change,hold_mv_yoy,config_ratio_yoy,float_ratio_yoy,period
2017-01-26,交通运输,104.41,9.08,0.7146,,,,,2017-01
2017-02-28,交通运输,108.26,8.08,0.7002,3.8500000000000085,,,,2017-02
2017-03-31,交通运输,129.85,8.72,0.8236,21.58999999999999,,,,2017-03
2017-04-28,交通运输,151.61,9.42,0.9666,21.76000000000002,,,,2017-04
2017-05-31,交通运输,163.49,8.58,1.0522,11.879999999999995,,,,2017-05
2017-06-30,交通运输,164.32,7.1,1.0383,0.8299999999999841,,,,2017-06
2017-07-31,交通运输,173.8,7.01,1.0552,9.480000000000018,,,,2017-07
2017-08-31,交通运输,187.6,6.79,1.1221,13.799999999999983,,,,2017-08
2017-09-29,交通运输,183.64,6.11,1.1154,-3.960000000000008,,,,2017-09
2017-10-31,交通运输,214.57,6.13,1.229,30.930000000000007,,,,2017-10
2017-11-30,交通运输,214.97,6.0,1.2862,0.4000000000000057,,,,2017-11
2017-12-29,交通运输,234.96,6.14,1.4146,19.99000000000001,,,,2017-12
2018-01-31,交通运输,270.66,6.12,1.5312,35.70000000000002,1.5922804329087255,-0.32599118942731276,1.142737195633921,2018-01
2018-02-28,交通运输,274.62,6.56,1.6044,3.9599999999999795,1.536670977276926,-0.18811881188118817,1.2913453299057411,2018-02
2018-03-30,交通运输,266.0,6.51,1.5737,-8.620000000000005,1.0485175202156336,-0.2534403669724772,0.9107576493443421,2018-03
2018-04-27,交通运输,268.75,6.43,1.6263,2.75,0.7726403271552007,-0.3174097664543525,0.6824953445065178,2018-04
2018-05-31,交通运输,291.23,5.82,1.7503,22.480000000000018,0.78133219157135,-0.32167832167832167,0.6634670214788063,2018-05
2018-06-29,交通运输,280.81,5.66,1.8931,-10.420000000000016,0.7089216163583254,-0.20281690140845066,0.8232688047770393,2018-06
2018-07-31,交通运输,314.87,6.13,2.1664,34.06,0.8116800920598388,-0.12553495007132665,1.0530705079605762,2018-07
2018-08-31,交通运输,295.86,6.05,2.1416,-19.00999999999999,0.5770788912579958,-0.10898379970544925,0.9085642990820781,2018-08
2018-09-28,交通运输,315.71,6.03,2.2537,19.849999999999966,0.7191788281420171,-0.013093289689034338,1.0205307512999822,2018-09
2018-10-31,交通运输,262.87,6.06,2.0367,-52.839999999999975,0.22510136552174131,-0.011419249592169667,0.6572009764035802,2018-10
2018-11-30,交通运输,291.97,6.12,2.2021,29.100000000000023,0.358189514816021,0.020000000000000018,0.7120976519981341,2018-11
2018-12-28,交通运输,302.25,6.49,2.4005,10.279999999999973,0.28638917262512753,0.05700325732899025,0.6969461331825251,2018-12
2019-01-31,交通运输,302.52,5.41,2.3567,0.2699999999999818,0.11771225892263337,-0.11601307189542487,0.539119644723093,2019-01
2019-02-28,交通运输,374.48,5.36,2.534,71.96000000000004,0.36362974291748595,-0.18292682926829262,0.5794066317626525,2019-02
2019-03-29,交通运输,417.01,5.36,2.5533,42.52999999999997,0.5677067669172933,-0.1766513056835637,0.6224820486750968,2019-03
2019-04-30,交通运输,436.77,5.46,2.6333,19.75999999999999,0.6251906976744186,-0.15085536547433898,0.6191969501322019,2019-04
2019-05-31,交通运输,391.14,5.57,2.5366,-45.629999999999995,0.34306218452769266,-0.04295532646048106,0.44923727361023835,2019-05
2019-06-28,交通运输,448.29,5.59,2.8703,57.150000000000034,0.5964175064990564,-0.012367491166077826,0.5161903755744546,2019-06
2019-07-31,交通运输,438.02,5.33,2.7598,-10.270000000000039,0.3911137929939339,-0.13050570962479602,0.27391063515509595,2019-07
2019-08-30,交通运输,428.17,5.01,2.8369,-9.849999999999966,0.4472047590076387,-0.17190082644628102,0.3246638027642883,2019-08
2019-09-30,交通运输,426.72,4.71,2.778,-1.4499999999999886,0.351620157739698,-0.21890547263681592,0.232639659227049,2019-09
2019-10-31,交通运输,407.68,4.28,2.6576,-19.04000000000002,0.5508806634458097,-0.2937293729372936,0.3048558943388815,2019-10
2019-11-29,交通运输,408.97,4.16,2.7208,1.2900000000000205,0.4007261019967805,-0.3202614379084967,0.23554788610871435,2019-11
2019-12-31,交通运输,455.8,4.04,2.7258,46.829999999999984,0.5080231596360629,-0.37750385208012327,0.135513434701104,2019-12
2020-01-23,交通运输,398.39,3.56,2.3672,-57.410000000000025,0.3169046674600027,-0.3419593345656192,0.004455382526413976,2020-01
2020-02-28,交通运输,389.94,3.5,2.4053,-8.449999999999989,0.04128391369365514,-0.3470149253731344,-0.05078926598263611,2020-02
2020-03-31,交通运输,338.06,3.41,2.1076,-51.879999999999995,-0.1893239970264502,-0.36380597014925375,-0.17455841460071275,2020-03
2020-04-30,交通运输,379.4,3.35,2.2974,41.339999999999975,-0.13135059642374702,-0.3864468864468864,-0.12755857669084425,2020-04
2020-05-29,交通运输,379.05,3.17,2.334,-0.3499999999999659,-0.030909648719128602,-0.4308797127468582,-0.07987069305369388,2020-05
2020-06-30,交通运输,414.44,2.99,2.4703,35.389999999999986,-0.07550915701889405,-0.4651162790697674,-0.1393582552346444,2020-06
2020-07-31,交通运输,447.34,2.77,2.4054,32.89999999999998,0.021277567234372796,-0.4803001876172608,-0.1284151025436624,2020-07
2020-08-31,交通运输,504.3,3.01,2.5437,56.960000000000036,0.17780320900576863,-0.3992015968063872,-0.10335225069618248,2020-08
2020-09-30,交通运输,464.8,2.98,2.4707,-39.5,0.08923884514435687,-0.36730360934182593,-0.11061915046796256,2020-09
2020-10-30,交通运输,436.75,2.71,2.3464,-28.05000000000001,0.07130592621664045,-0.3668224299065421,-0.11709813365442501,2020-10
2020-11-30,交通运输,518.77,2.98,2.6013,82.01999999999998,0.26847935056361094,-0.28365384615384615,-0.043920905615995265,2020-11
2020-12-31,交通运输,543.49,2.8,2.6934,24.720000000000027,0.19238701184730145,-0.306930693069307,-0.011886418666079646,2020-12
2021-01-29,交通运输,573.1,2.8,2.6765,29.610000000000014,0.4385401239990965,-0.2134831460674158,0.1306606961811423,2021-01
