trade_date,沪深300,中证500,中证1000,上证指数
2016-05-03,3213.5397,6167.4537,8558.5784,2992.643
2016-05-04,3209.4614,6169.7826,8565.1143,2991.272
2016-05-05,3213.9199,6203.8166,8628.7405,2997.842
2016-05-06,3130.3544,5961.489,8276.0331,2913.248
2016-05-09,3065.6154,5743.6473,7918.1483,2832.113
2016-05-10,3069.1124,5738.8961,7898.6624,2832.591
2016-05-11,3082.8086,5723.4104,7823.9797,2837.037
2016-05-12,3090.1372,5726.4555,7821.9121,2835.862
2016-05-13,3074.9351,5714.3107,7806.9568,2827.109
2016-05-16,3095.3085,5812.5423,7961.1464,2850.862
2016-05-17,3086.0249,5790.3416,7961.502,2843.684
2016-05-18,3068.0358,5631.1927,7711.9546,2807.514
2016-05-19,3062.5002,5666.7331,7767.3154,2806.906
2016-05-20,3078.2183,5732.9018,7860.1279,2825.483
2016-05-23,3087.2225,5809.4761,7995.5813,2843.645
2016-05-24,3063.5556,5743.1782,7913.6754,2821.666
2016-05-25,3059.2259,5715.1834,7889.7299,2815.0863
2016-05-26,3064.2111,5744.3876,7929.4676,2822.443
2016-05-27,3062.4993,5739.5897,7912.8637,2821.046
2016-05-30,3066.7095,5711.3152,7867.5968,2822.451
2016-05-31,3169.5598,5947.3224,8197.5567,2916.616
2016-06-01,3160.547,5973.7799,8270.5166,2913.508
2016-06-02,3167.0997,6013.8942,8369.432,2925.229
2016-06-03,3189.3255,6032.603,8391.7632,2938.682
2016-06-06,3178.7883,6051.8595,8422.4718,2934.098
2016-06-07,3177.0536,6045.3571,8434.6689,2936.045
2016-06-08,3163.9864,6023.8776,8431.8915,2927.159
2016-06-13,3066.3413,5746.4438,8000.8185,2833.071
2016-06-14,3075.9834,5762.7612,8038.589,2842.189
2016-06-15,3116.3682,5952.846,8340.5394,2887.21
2016-06-16,3094.6748,5930.5454,8358.0342,2872.817
2016-06-17,3110.3572,5964.2724,8414.5075,2885.105
2016-06-20,3112.6744,5985.5691,8457.9315,2888.809
2016-06-21,3106.3175,5916.8032,8350.7618,2878.558
2016-06-22,3133.9611,6008.8857,8513.5431,2905.55
2016-06-23,3117.3168,5978.1737,8495.78,2891.96
2016-06-24,3077.1554,5903.6202,8428.8227,2854.286
2016-06-27,3120.5443,6044.2191,8646.161,2895.703
2016-06-28,3136.4013,6107.5105,8730.197,2912.557
2016-06-29,3151.3898,6120.2021,8745.815,2931.592
2016-06-30,3153.921,6123.4939,8741.0992,2929.606
2016-07-01,3154.2003,6111.5385,8710.5174,2932.476
2016-07-04,3204.6962,6231.8811,8874.0708,2988.604
2016-07-05,3207.3827,6269.5046,8914.8403,3006.392
2016-07-06,3216.8035,6297.3969,8947.1372,3017.292
2016-07-07,3209.9542,6319.7926,8954.2756,3016.847
2016-07-08,3192.2804,6299.8533,8939.2585,2988.094
2016-07-11,3203.3298,6312.4988,8874.9964,2994.917
2016-07-12,3273.1823,6395.1448,8943.0645,3049.381
2016-07-13,3282.8681,6446.5634,9023.2366,3060.689
2016-07-14,3276.7637,6455.5827,9042.763,3054.018
2016-07-15,3276.2775,6441.0159,8982.8857,3054.296
2016-07-18,3262.0222,6412.0731,8937.8551,3043.564
2016-07-19,3248.2341,6431.9383,8996.8328,3036.598
2016-07-20,3237.6051,6417.9223,8997.8904,3027.9
