date,selected_str
石油石化,"货币,信用,增长,通胀"
煤炭,"通胀,增长,信用,货币"
有色金属,"通胀,增长,信用,货币"
电力及公用事业,"通胀,增长,信用,货币"
钢铁,"增长,通胀,信用,货币"
基础化工,"通胀,增长,信用,货币"
建筑,"通胀,信用,增长,货币"
建材,"通胀,信用,增长,货币"
轻工制造,"货币,信用,增长,通胀"
机械,"通胀,货币,增长,信用"
电力设备及新能源,"通胀,增长,信用,货币"
国防军工,"通胀,增长,信用,货币"
汽车,"货币,通胀,增长,信用"
商贸零售,"通胀,增长,信用,货币"
消费者服务,"货币,信用,增长,通胀"
家电,"货币,信用,增长,通胀"
纺织服装,"通胀,增长,信用,货币"
医药,"信用,货币,增长,通胀"
食品饮料,"货币,信用,增长,通胀"
农林牧渔,"货币,信用,通胀,增长"
银行,"货币,增长,信用,通胀"
非银行金融,"货币,增长,信用,通胀"
房地产,"信用,增长,货币,通胀"
交通运输,"增长,信用,货币,通胀"
电子,"货币,通胀,增长,信用"
通信,"货币,通胀,增长,信用"
计算机,"货币,增长,信用,通胀"
传媒,"货币,增长,信用,通胀"
综合,"通胀,增长,信用,货币"
综合金融,"货币,增长,通胀,信用"
