trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2015-01-05,000985.SH,4310.693,4243.09,4330.562,4218.596,4219.002,91.691,2.1733,743101184.0,819835388.514
2015-01-06,000985.SH,4338.934,4280.133,4348.266,4255.393,4310.693,28.241,0.6551,705519610.0,809027860.532
2015-01-07,000985.SH,4341.894,4322.457,4355.395,4299.121,4338.934,2.96,0.0682,553145153.0,655086510.062
2015-01-08,000985.SH,4277.761,4344.203,4351.56,4263.701,4341.894,-64.133,-1.4771,527785309.0,611211096.587
2015-01-09,000985.SH,4257.059,4264.036,4375.972,4253.511,4277.761,-20.702,-0.4839,564661470.0,674590175.602
2015-01-12,000985.SH,4209.383,4238.436,4254.431,4167.461,4257.059,-47.676,-1.1199,455053535.0,547138435.683
2015-01-13,000985.SH,4236.69,4204.236,4252.942,4202.853,4209.383,27.307,0.6487,349753601.0,451407033.224
2015-01-14,000985.SH,4220.656,4242.146,4260.34,4191.827,4236.69,-16.034,-0.3785,355255784.0,435312743.143
2015-01-15,000985.SH,4304.687,4219.933,4304.687,4211.029,4220.656,84.031,1.9909,396275874.0,492341231.216
2015-01-16,000985.SH,4349.651,4315.204,4365.769,4308.692,4304.687,44.964,1.0445,476926987.0,591233455.783
2015-01-19,000985.SH,4102.099,4158.213,4244.645,4064.532,4349.651,-247.552,-5.6913,584057057.0,662536910.093
2015-01-20,000985.SH,4196.971,4096.624,4197.626,4096.624,4102.099,94.872,2.3128,525707242.0,666592817.131
2015-01-21,000985.SH,4342.22,4218.969,4347.107,4215.296,4196.971,145.249,3.4608,610217898.0,765908666.102
2015-01-22,000985.SH,4385.058,4345.708,4390.163,4327.677,4342.22,42.838,0.9865,535267762.0,676299539.36
2015-01-23,000985.SH,4368.623,4397.304,4421.363,4347.055,4385.058,-16.435,-0.3748,538873999.0,676054675.508
2015-01-26,000985.SH,4435.868,4376.606,4436.849,4370.445,4368.623,67.245,1.5393,490876278.0,613945196.779
2015-01-27,000985.SH,4425.595,4443.05,4451.141,4350.414,4435.868,-10.273,-0.2316,569662569.0,698668427.227
2015-01-28,000985.SH,4383.216,4402.647,4437.592,4370.17,4425.595,-42.379,-0.9576,462176312.0,580572959.242
2015-01-29,000985.SH,4342.749,4335.368,4368.127,4315.314,4383.216,-40.467,-0.9232,424497002.0,504235416.961
2015-01-30,000985.SH,4287.844,4354.427,4372.579,4287.778,4342.749,-54.905,-1.2643,406608538.0,485609747.103
2015-02-02,000985.SH,4227.981,4218.589,4274.214,4203.896,4287.844,-59.863,-1.3961,377278606.0,441701019.473
2015-02-03,000985.SH,4317.458,4255.151,4318.583,4244.735,4227.981,89.477,2.1163,388008849.0,492069800.376
2015-02-04,000985.SH,4290.962,4326.768,4354.006,4288.922,4317.458,-26.496,-0.6137,399052502.0,508873840.751
2015-02-05,000985.SH,4261.616,4362.555,4363.659,4261.616,4290.962,-29.346,-0.6839,475653155.0,604736714.736
2015-02-06,000985.SH,4184.678,4246.732,4259.057,4160.421,4261.616,-76.938,-1.8054,388740734.0,467719638.382
2015-02-09,000985.SH,4192.663,4175.8,4220.654,4168.543,4184.678,7.985,0.1908,319722430.0,410226687.396
2015-02-10,000985.SH,4257.965,4190.521,4258.277,4186.52,4192.663,65.302,1.5575,294515268.0,374550945.941
2015-02-11,000985.SH,4300.678,4266.479,4307.676,4265.13,4257.965,42.713,1.0031,294634795.0,389438081.733
2015-02-12,000985.SH,4323.557,4303.293,4331.153,4285.809,4300.678,22.879,0.532,321011010.0,414848660.751
2015-02-13,000985.SH,4376.232,4343.351,4405.299,4343.351,4323.557,52.675,1.2183,419738398.0,533927469.251
2015-02-16,000985.SH,4436.61,4384.127,4437.575,4383.464,4376.232,60.378,1.3797,383140300.0,517079922.347
2015-02-17,000985.SH,4468.303,4451.68,4476.742,4451.084,4436.61,31.693,0.7144,370423737.0,489184078.053
2015-02-25,000985.SH,4436.94,4478.624,4478.624,4421.305,4468.303,-31.363,-0.7019,379291261.0,495517870.077
2015-02-26,000985.SH,4512.461,4432.061,4514.122,4422.449,4436.94,75.521,1.7021,459318232.0,573854723.684
2015-02-27,000985.SH,4540.135,4512.463,4549.662,4509.316,4512.461,27.674,0.6133,472914033.0,597660121.388
2015-03-02,000985.SH,4607.945,4574.928,4608.109,4547.203,4540.135,67.81,1.4936,578145473.0,765180199.706
2015-03-03,000985.SH,4537.468,4589.022,4598.501,4534.208,4607.945,-70.477,-1.5295,623282530.0,810131178.3
2015-03-04,000985.SH,4589.902,4540.6,4590.232,4536.881,4537.468,52.434,1.1556,501751740.0,661423499.603
2015-03-05,000985.SH,4575.789,4580.059,4586.35,4546.284,4589.902,-14.113,-0.3075,533199370.0,704842587.655
2015-03-06,000985.SH,4535.455,4580.137,4593.33,4530.542,4575.789,-40.334,-0.8815,472117550.0,618698144.9
2015-03-09,000985.SH,4604.999,4508.981,4606.424,4480.802,4535.455,69.544,1.5333,493659244.0,620697405.095
2015-03-10,000985.SH,4624.647,4597.768,4649.964,4593.066,4604.999,19.648,0.4267,469590983.0,618933089.261
2015-03-11,000985.SH,4625.728,4628.554,4655.943,4610.878,4624.647,1.081,0.0234,465307371.0,612327784.615
2015-03-12,000985.SH,4661.811,4649.263,4664.261,4636.409,4625.728,36.083,0.7801,542720831.0,699024813.557
2015-03-13,000985.SH,4710.852,4674.08,4711.142,4673.974,4661.811,49.041,1.052,496765971.0,641605051.762
2015-03-16,000985.SH,4841.606,4741.938,4841.606,4734.419,4710.852,130.754,2.7756,638597215.0,868010132.952
2015-03-17,000985.SH,4908.645,4872.132,4919.018,4851.135,4841.606,67.039,1.3846,818511015.0,999999999.999
2015-03-18,000985.SH,5012.041,4917.841,5012.061,4909.136,4908.645,103.396,2.1064,850517680.0,1071445606.364
2015-03-19,000985.SH,5027.449,5016.048,5034.687,4979.343,5012.041,15.408,0.3074,831452844.0,1054317452.527
2015-03-20,000985.SH,5089.961,5037.037,5097.507,5027.657,5027.449,62.512,1.2434,797941921.0,1112234492.015
2015-03-23,000985.SH,5208.891,5123.678,5209.12,5123.678,5089.961,118.93,2.3366,843901236.0,1175429168.961
2015-03-24,000985.SH,5231.421,5223.731,5238.985,5077.38,5208.891,22.53,0.4325,1008766549.0,1375269279.882
2015-03-25,000985.SH,5241.517,5225.61,5275.584,5193.827,5231.421,10.096,0.193,837842876.0,1199268996.82
2015-03-26,000985.SH,5212.772,5217.507,5278.027,5166.463,5241.517,-28.745,-0.5484,779374802.0,1143749959.084
2015-03-27,000985.SH,5256.351,5213.546,5270.222,5195.74,5212.772,43.579,0.836,631771426.0,901554741.972
2015-03-30,000985.SH,5350.514,5279.644,5362.047,5279.644,5256.351,94.163,1.7914,842313130.0,1157275251.032
