ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000001.SZ,20150105,437408,69802.5,446317,71297.53,842852,134542.82,841904,134452.01,880731,140501.41,849612,135592.18,699446,111691.52,722603,115196.53,83968,13784.39
000002.SZ,20150105,886336,131456.05,889748,132066.7,1602194,237498.22,1551139,229998.26,1696346,251000.65,1635364,242093.57,2375960,350115.45,2484585,365911.85,209604,32490.99
000004.SZ,20150105,11530,1794.87,10651,1662.48,13406,2088.61,12478,1944.26,3159,491.16,4966,767.91,0,0.0,0,0.0,-4239,-657.06
000006.SZ,20150105,259197,18619.92,250237,17978.12,361131,25953.65,336194,24151.85,323838,23278.88,320682,23046.56,134469,9681.16,171521,12357.09,-72330,-5173.63
000007.SZ,20150105,9647,1399.12,9759,1418.33,12056,1749.93,10920,1585.11,6654,965.67,7737,1119.8,58,8.53,0,0.0,-2069,-297.29
000008.SZ,20150105,6849,1517.59,5113,1140.04,9465,2106.89,8132,1813.09,5707,1287.83,9156,2045.87,880,200.99,500,114.3,-4431,-975.5
000011.SZ,20150105,71158,7252.91,69865,7125.9,78311,7983.89,78900,8051.92,42936,4381.71,46156,4697.91,7484,759.89,4967,502.67,11614,1188.56
000012.SZ,20150105,204476,18552.41,224941,20415.27,289443,26247.47,299305,27154.74,212213,19275.9,190692,17318.95,68712,6238.84,59905,5425.65,26961,2449.58
000014.SZ,20150105,22025,3135.34,20647,2943.82,26799,3820.6,26238,3746.18,10541,1508.83,13148,1870.75,669,95.97,0,0.0,-6044,-859.28
000016.SZ,20150105,36235,2207.8,37374,2280.61,44064,2683.66,44707,2727.55,57608,3512.02,53494,3257.96,7939,485.82,10271,623.18,-39,4.3
000017.SZ,20150105,12699,874.1,12234,843.44,13236,910.56,14567,1001.15,6263,430.57,5420,372.27,24,1.63,0,0.0,-414,-26.96
000018.SZ,20150105,8592,2070.32,7083,1710.16,9271,2233.57,8870,2139.79,6052,1464.46,6810,1646.49,930,226.62,2082,498.52,-4143,-989.77
000019.SZ,20150105,13853,1068.78,10758,830.72,14429,1114.09,13671,1054.75,6269,484.21,8816,680.84,1419,109.52,2724,210.29,-3732,-287.43
000021.SZ,20150105,96466,7107.23,99559,7342.05,82622,6088.63,85449,6300.14,51928,3832.39,56926,4194.57,11187,828.13,268,19.62,7175,536.98
000022.SZ,20150105,32720,7111.88,24385,5306.08,46781,10170.37,39952,8694.27,29611,6439.56,38109,8282.86,5079,1109.94,11745,2548.55,-13222,-2872.18
000023.SZ,20150105,8831,1447.72,11314,1855.03,21984,3598.42,24863,4071.9,13664,2242.78,10107,1661.06,2917,481.89,1112,182.81,5034,830.84
000024.SZ,20150105,131431,37363.56,113397,32288.01,224679,63952.5,210224,59895.38,309491,88091.18,324033,92319.47,411645,117985.46,429592,122889.82,-32845,-9264.93
000025.SZ,20150105,7396,748.1,5687,576.68,8126,822.28,5584,565.21,3478,351.58,8149,822.35,1920,193.34,1500,151.06,-3358,-338.69
000026.SZ,20150105,15444,1606.9,15665,1635.2,22303,2324.88,20403,2125.7,10587,1103.62,11945,1241.4,4842,503.04,5161,536.14,-4357,-444.05
000027.SZ,20150105,136162,15548.39,120320,13744.8,168111,19185.13,143485,16385.83,128295,14651.42,117711,13430.1,44576,5098.32,95626,10922.52,-4292,-440.52
000028.SZ,20150105,4721,2275.05,4908,2375.18,9987,4814.77,8600,4158.92,8819,4254.89,9033,4343.83,2662,1278.28,3648,1745.05,950,474.95
000029.SZ,20150105,97922,6932.64,100576,7124.94,74759,5294.08,81187,5745.88,52631,3729.37,46698,3308.43,6235,441.64,3086,218.49,-15044,-1048.41
000030.SZ,20150105,59418,5071.87,59440,5079.09,64470,5502.39,66095,5641.63,23504,2007.32,23208,1977.7,1356,117.35,6,0.51,-8195,-688.71
000031.SZ,20150105,239822,21822.88,283749,25953.15,342227,31203.36,397382,36385.27,333530,30502.18,367508,33689.57,506903,47042.74,373843,34543.18,-147196,-13558.23
000032.SZ,20150105,24294,2877.87,31589,3735.53,31595,3725.35,48706,5751.68,39795,4686.88,35276,4166.4,38004,4544.69,18118,2181.18,7438,840.99
000034.SZ,20150105,28566,1944.57,24743,1687.74,17763,1211.72,20068,1368.75,7122,486.85,8640,586.65,0,0.0,0,0.0,-333,-20.24
