排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,先进封装,BK1101,2830.73,104.19,3.82,1812251104000,6.61,23,8,鸿仕达,29.99
2,2026—季报扭亏,BK1682,1149.12,39.03,3.52,534010336000,6.95,8,3,鸿仕达,29.99
3,PLC概念,BK1119,1538.91,50.73,3.41,377097552000,2.33,9,1,英杰电气,12.88
4,彩票概念,BK0671,3236.04,104.93,3.35,191956469000,3.51,14,5,中体产业,10.03
5,汽车芯片,BK0969,1602.17,46.69,3.0,2028379552000,3.52,53,16,盛景微,9.99
6,昨日首板,BK1630,2109.27,60.86,2.97,1929336992000,7.04,57,28,光莆股份,20.01
7,昨日涨停_含一字,BK1050,43620.04,1119.85,2.63,2310198512000,8.17,73,43,永杉锂业,9.98
8,AI芯片,BK1127,1987.13,49.68,2.56,3121212032000,4.0,28,11,寒武纪,20.0
9,昨日连板_含一字,BK1051,9088.96,224.11,2.53,155112550000,12.81,11,7,永杉锂业,9.98
10,昨日涨停,BK0815,67211.2,1489.44,2.27,2242209152000,8.3,64,41,永杉锂业,9.98
11,卫星互联网,BK0921,2267.23,49.15,2.22,2845900960000,1.94,64,22,上海沪工,10.01
12,高带宽内存,BK1152,2010.41,40.91,2.08,1601592784000,5.8,21,7,中巨芯-U,10.62
13,中芯概念,BK0935,2178.79,44.16,2.07,3754356928000,3.76,50,15,芯源微,13.22
14,第四代半导体,BK1121,2355.87,47.01,2.04,202515760000,2.49,3,2,衢州发展,9.9
15,EDA概念,BK0946,1540.52,29.45,1.95,258873016000,2.49,9,3,安路科技,6.82
16,微盘精选,BK1644,1003.29,18.68,1.9,130953025000,4.52,46,3,奥福科技,16.31
17,东方财富热股,BK1637,1569.12,29.17,1.89,7567032576000,7.4,56,42,永杉锂业,9.98
18,空间站概念,BK0994,2728.81,50.22,1.87,408166592000,4.53,17,3,中国卫星,4.97
19,基金重仓,BK0536,14924.41,271.93,1.86,8551294208000,3.79,58,42,芯原股份,20.0
20,氮化镓,BK0916,1936.49,35.2,1.85,1344697824000,4.25,34,11,芯朋微,7.85
21,拼多多概念,BK0957,1739.35,31.2,1.83,224277900000,3.0,23,6,跨境通,9.94
22,百元股,BK1059,964.78,17.28,1.82,23332078080000,4.02,161,89,芯原股份,20.0
23,航天航空,BK0480,62853.69,1097.93,1.78,1535333680000,2.7,38,10,航宇科技,13.47
24,历史新高,BK1675,1136.48,19.93,1.78,2118692912000,7.25,21,20,越剑智能,10.02
25,昨日连板,BK0816,8141.25,138.79,1.73,91356671000,14.14,5,6,永杉锂业,9.98
26,北斗导航,BK0629,7746.7,129.14,1.7,1555478288000,2.8,52,20,中国长城,9.99
27,半导体概念,BK0917,2697.75,44.29,1.67,16678224384000,4.39,317,157,明微电子,20.0
28,国产芯片,BK0891,4927.31,79.18,1.63,15709788928000,4.07,256,116,明微电子,20.0
29,铜缆高速连接,BK1168,2764.49,43.68,1.61,1248829888000,3.43,20,18,瑞可达,13.61
30,虚拟机器人,BK1190,1348.45,21.26,1.6,660460784000,3.4,11,4,大胜达,9.99
31,TOPCon电池,BK1097,1062.04,16.22,1.55,839592576000,3.97,30,13,福达合金,9.99
32,存储芯片,BK1137,2593.19,37.79,1.48,6203467008000,4.68,77,36,联芸科技,14.14
33,大飞机,BK0814,2034.29,29.53,1.47,2310015072000,2.87,65,33,润贝航科,10.0
34,MLCC,BK0890,3759.27,53.78,1.45,549611424000,6.16,10,7,博迁新材,10.0
35,人形机器人,BK1184,1833.68,25.51,1.41,5669076992000,2.8,158,76,光莆股份,20.01
36,百日新高,BK1676,1094.24,15.15,1.4,4554573568000,6.82,70,71,永杉锂业,9.98
37,微盘股,BK1158,3955.0,54.78,1.4,1020590496000,3.57,319,65,华神科技,10.12
38,机器视觉,BK0998,2090.61,28.73,1.39,919854256000,2.71,60,26,凌云光,20.01
39,钙钛矿电池,BK1094,1177.77,16.05,1.38,853435168000,3.06,27,15,大胜达,9.99
40,次新股,BK0501,28581.46,381.33,1.35,3201971680000,7.91,80,46,鸿仕达,29.99
41,第三代半导体,BK0952,2339.74,31.02,1.34,2945516272000,5.26,69,39,光莆股份,20.01
42,轮毂电机,BK1099,1166.44,15.23,1.32,71498945000,3.48,7,2,圣龙股份,10.01
43,商业航天,BK0963,2765.14,35.68,1.31,6499359744000,3.88,187,106,派克新材,10.0
44,最近多板,BK1638,1511.05,19.25,1.29,3273640352000,7.61,92,83,永杉锂业,9.98
45,噪声防治,BK1082,1917.18,23.88,1.26,52049489000,3.28,6,3,恒大高新,10.0
46,军民融合,BK0808,2241.87,27.66,1.25,3821692560000,3.7,118,54,中国长城,9.99
47,复合集流体,BK1113,1886.93,23.28,1.25,481108992000,5.06,12,16,光莆股份,20.01
48,玻璃基板,BK1175,2390.93,29.3,1.24,998820064000,3.07,21,14,金瑞矿业,10.0
49,WiFi,BK0915,1698.22,20.41,1.22,831709584000,2.09,21,10,信维通信,6.77
50,同步磁阻电机,BK1131,2393.31,28.9,1.22,111816219000,2.4,6,1,伟创电气,3.82
51,华为海思,BK1180,2075.77,24.88,1.21,1120883488000,5.31,27,13,陕西华达,10.62
52,工业母机,BK1004,2308.28,27.67,1.21,1847642112000,2.99,60,23,创世纪,20.02
