指数代码,指数名称,股票代码,股票名称,股票权重
000300,沪深300,300750,宁德时代,4.34
000300,沪深300,300308,中际旭创,3.7
000300,沪深300,600519,贵州茅台,3.23
000300,沪深300,601318,中国平安,2.41
000300,沪深300,601899,紫金矿业,2.15
000300,沪深300,300502,新易盛,2.06
000300,沪深300,600036,招商银行,1.77
000300,沪深300,000333,美的集团,1.49
000300,沪深300,688256,寒武纪,1.4
000300,沪深300,002475,立讯精密,1.37
000300,沪深300,600900,长江电力,1.24
000300,沪深300,688041,海光信息,1.13
000300,沪深300,601166,兴业银行,1.13
000300,沪深300,002384,东山精密,1.02
000300,沪深300,002594,比亚迪,1.02
000300,沪深300,600030,中信证券,0.99
000300,沪深300,603259,药明康德,0.99
000300,沪深300,300059,东方财富,0.97
000300,沪深300,601138,工业富联,0.94
000300,沪深300,601398,工商银行,0.91
000300,沪深300,688008,澜起科技,0.91
000300,沪深300,688981,中芯国际,0.9
000300,沪深300,600276,恒瑞医药,0.89
000300,沪深300,002371,北方华创,0.88
000300,沪深300,603986,兆易创新,0.84
000300,沪深300,300476,胜宏科技,0.82
000300,沪深300,300274,阳光电源,0.76
000300,沪深300,601288,农业银行,0.75
000300,沪深300,600150,中国船舶,0.7
000300,沪深300,601211,国泰海通,0.69
000300,沪深300,000651,格力电器,0.67
000300,沪深300,601328,交通银行,0.67
000300,沪深300,000858,五粮液,0.67
000300,沪深300,000338,潍柴动力,0.67
000300,沪深300,603993,洛阳钼业,0.66
000300,沪深300,600887,伊利股份,0.65
000300,沪深300,600919,江苏银行,0.62
000300,沪深300,688012,中微公司,0.61
000300,沪深300,601088,中国神华,0.61
000300,沪深300,600309,万华化学,0.59
000300,沪深300,000725,京东方A,0.58
000300,沪深300,300394,天孚通信,0.57
000300,沪深300,002463,沪电股份,0.55
000300,沪深300,601816,京沪高铁,0.54
000300,沪深300,603019,中科曙光,0.53
000300,沪深300,300124,汇川技术,0.53
000300,沪深300,600089,特变电工,0.52
000300,沪深300,600111,北方稀土,0.52
000300,沪深300,002415,海康威视,0.49
000300,沪深300,601601,中国太保,0.47
000300,沪深300,601857,中国石油,0.47
000300,沪深300,000063,中兴通讯,0.47
000300,沪深300,600031,三一重工,0.46
000300,沪深300,002028,思源电气,0.46
000300,沪深300,600000,浦发银行,0.45
000300,沪深300,002714,牧原股份,0.45
000300,沪深300,000792,盐湖股份,0.45
000300,沪深300,002050,三花智控,0.44
