股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,trade_date,return,log_return,ma5,ma10,ma20,vol_ma5,vol_ratio
沪深300,000300,2017-12-01,4003.56,3998.14,4027.11,3984.38,97386913,136010928128.0,1.07,-0.2,-7.96,0.29,20171201,-0.002,,,,,,
沪深300,000300,2017-12-04,3989.05,4018.86,4032.99,3982.32,102647219,138223054848.0,1.27,0.52,20.72,0.31,20171204,0.0052,0.005169027350509301,,,,,
沪深300,000300,2017-12-05,4007.94,4040.17,4045.93,4006.54,154087076,196337659904.0,0.98,0.53,21.31,0.47,20171205,0.0053,0.005288489971301242,,,,,
沪深300,000300,2017-12-06,4027.12,4015.82,4031.75,3964.81,109286205,144114954240.0,1.66,-0.6,-24.35,0.33,20171206,-0.006,-0.006045209627856189,,,,,
沪深300,000300,2017-12-07,4003.58,3971.06,4017.95,3955.99,90254044,119651201024.0,1.54,-1.11,-44.76,0.27,20171207,-0.0111,-0.011208499088656478,4008.81,,,110732291.4,0.8150652610806535
沪深300,000300,2017-12-08,3962.83,4003.38,4014.14,3955.44,89282862,124371230720.0,1.48,0.81,32.32,0.27,20171208,0.008100000000000001,0.008105942729218546,4009.858,,,109111481.2,0.8182719271892718
沪深300,000300,2017-12-11,4006.88,4069.5,4069.5,4005.27,97148946,148476588032.0,1.6,1.65,66.12,0.29,20171211,0.0165,0.016381137476578718,4019.986,,,108011826.6,0.8994287853289578
沪深300,000300,2017-12-12,4068.51,4016.02,4070.15,4015.45,84338719,123515183104.0,1.34,-1.31,-53.48,0.26,20171212,-0.0131,-0.01322877932825025,4015.156,,,94062155.2,0.8966275418703142
沪深300,000300,2017-12-13,4013.83,4050.09,4052.69,4004.74,77546130,115006382080.0,1.19,0.85,34.07,0.23,20171213,0.0085,0.008447740637051284,4022.0099999999998,,,87714140.2,0.8840778672992111
沪深300,000300,2017-12-14,4050.9,4026.15,4057.62,4013.85,80768863,115086946304.0,1.08,-0.59,-23.94,0.24,20171214,-0.0059,-0.005928518746072736,4033.028,4020.9190000000003,,85817104.0,0.9411744190295678
沪深300,000300,2017-12-15,4018.73,3980.86,4020.27,3974.93,89044388,118474145792.0,1.13,-1.12,-45.29,0.27,20171215,-0.011200000000000002,-0.011312707991338534,4028.524,4019.1910000000003,,85769409.2,1.038183529891914
沪深300,000300,2017-12-18,3983.3,3985.29,4008.07,3967.93,77853376,111724351488.0,1.01,0.11,4.43,0.24,20171218,0.0011,0.0011122061363795282,4011.682,4015.8340000000003,,81910295.2,0.95047119302776
沪深300,000300,2017-12-19,3985.82,4035.33,4035.63,3985.82,77528986,115998203904.0,1.25,1.26,50.04,0.23,20171219,0.0126,0.012478000271640153,4015.5440000000003,4015.35,,80548348.6,0.9625149037506152
沪深300,000300,2017-12-20,4036.02,4030.49,4044.85,4015.63,90604503,126812876800.0,0.72,-0.12,-4.84,0.27,20171220,-0.0012,-0.0012001261076796657,4011.624,4016.8170000000005,,83160023.2,1.089519934140663
沪深300,000300,2017-12-21,4023.08,4067.85,4080.78,4014.65,96836088,137819521024.0,1.64,0.93,37.36,0.29,20171221,0.009300000000000001,0.009226647693450883,4019.964,4026.496,,86373468.2,1.1211323340145787
沪深300,000300,2017-12-22,4064.91,4054.6,4076.8,4048.49,73473684,104426496000.0,0.7,-0.33,-13.25,0.22,20171222,-0.0033,-0.003262565298183421,4034.7119999999995,4031.618,,83259327.4,0.8824679023289828
