trade_date,hsgt_north_money,hsgt_south_money,north_holding_value,north_flow,north_flow_ma5,north_flow_ma10,north_flow_ma20,north_flow_ratio,cumulative_flow,cumulative_flow_ma52,yoy_change,qoq_change
20171201,496714153.0112327,38002695.70620575,4270873638.356523,,,,,,496714153.0112327,,,
20171204,358449851.840048,307380691.9293903,-2705157039.5159216,-138264301.17118466,,,,,358449851.840048,,,
20171205,1006138389.9407406,-152956104.6102928,10425381087.70141,647688538.1006925,,,,,1006138389.9407406,,,
20171206,2529168246.348766,-68275692.59225379,7861880767.710646,1523029856.4080253,,,,,2529168246.348766,,,
20171207,2295014871.62543,-775132941.0447439,6954962750.468929,-234153374.72333574,,,,,2295014871.62543,,,3.6203935557550553
20171208,2060877914.6762495,-830745971.719094,8541559429.768209,-234136956.9491806,312832752.33300334,,,,2060877914.6762495,,,4.7494176775274
20171211,3640090730.183641,-1282699792.451489,24933544524.515785,1579212815.5073915,656328175.6687186,,,,3640090730.183641,,,2.617882755073121
20171212,4407525459.33655,-1650464763.7463722,-6019853802.055298,767434729.1529088,680277413.8791618,,,,4407525459.33655,,,0.742677841104274
20171213,3938051073.4015975,-1032418176.1411536,9461982056.19646,-469474385.93495226,281776565.41056633,,,,3938051073.4015975,,,0.7159152744890482
20171214,4480611116.987562,-486763115.84401906,-3887077959.4303093,542560043.5859647,437119249.07242644,,,,4480611116.987562,,,1.1741273876921703
20171215,4017193424.1751,-182194055.39043057,10375758572.432602,-463417692.81246233,391263101.8997701,352047927.1163867,,,4017193424.1751,,,0.10359705895914151
20171218,3551463670.604843,-728350437.7267201,-4925108710.135132,-465729753.5702567,-17725411.915759563,319301381.8764795,,,3551463670.604843,,,-0.19422730432975577
20171219,3793425942.1708775,-886554662.574121,378442994.55420923,241962271.56603432,-122819903.43313447,278728755.2230137,,,3793425942.1708775,,,-0.036725052198420594
