股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,trade_date,return,north_flow,flow_ma,flow_std,flow_zscore,price_ma10,price_ma20,flow_signal,ma_signal,combined_signal,position,strategy_return
沪深300,000300,2017-12-04,3989.05,4018.86,4032.99,3982.32,102647219,138223054848.0,1.27,0.52,20.72,0.31,20171204,0.0052,2842065.5375236287,,,,,,0,0,0,0.0,0.0
沪深300,000300,2017-12-05,4007.94,4040.17,4045.93,4006.54,154087076,196337659904.0,0.98,0.53,21.31,0.47,20171205,0.0053,5701132.785151287,,,,,,0,0,0,0.0,0.0
沪深300,000300,2017-12-06,4027.12,4015.82,4031.75,3964.81,109286205,144114954240.0,1.66,-0.6,-24.35,0.33,20171206,-0.006,-6620046.599298607,,,,,,0,0,0,0.0,-0.0
沪深300,000300,2017-12-07,4003.58,3971.06,4017.95,3955.99,90254044,119651201024.0,1.54,-1.11,-44.76,0.27,20171207,-0.0111,-12409708.564502057,,,,,,0,0,0,0.0,-0.0
沪深300,000300,2017-12-08,3962.83,4003.38,4014.14,3955.44,89282862,124371230720.0,1.48,0.81,32.32,0.27,20171208,0.008100000000000001,11452204.646532264,,,,,,0,0,0,0.0,0.0
沪深300,000300,2017-12-11,4006.88,4069.5,4069.5,4005.27,97148946,148476588032.0,1.6,1.65,66.12,0.29,20171211,0.0165,9777366.402223898,,,,,,0,0,0,0.0,0.0
沪深300,000300,2017-12-12,4068.51,4016.02,4070.15,4015.45,84338719,123515183104.0,1.34,-1.31,-53.48,0.26,20171212,-0.0131,-12722489.027501956,,,,,,0,0,0,0.0,-0.0
沪深300,000300,2017-12-13,4013.83,4050.09,4052.69,4004.74,77546130,115006382080.0,1.19,0.85,34.07,0.23,20171213,0.0085,6770279.762682456,,,,,,0,0,0,0.0,0.0
沪深300,000300,2017-12-14,4050.9,4026.15,4057.62,4013.85,80768863,115086946304.0,1.08,-0.59,-23.94,0.24,20171214,-0.0059,-4386406.023311435,,,,4020.9190000000003,,0,1,1,0.0,-0.0
沪深300,000300,2017-12-15,4018.73,3980.86,4020.27,3974.93,89044388,118474145792.0,1.13,-1.12,-45.29,0.27,20171215,-0.011200000000000002,-9364645.842587804,,,,4019.1910000000003,,0,-1,-1,1.0,-0.011200000000000002
