ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000001.SZ,20220930,11.84,0.2768,0.6246,0.68,6.3234,5.6259,0.6715,1.3565,1.3001,1.5203,1.9257,1940591.8198,1940554.695,860090.6226,22976607.1464,22976167.5888
000002.SZ,20220930,17.83,0.8859,1.3297,1.41,9.2069,8.7501,0.8853,0.458,0.421,7.0107,5.4336,1163070.9471,971736.074,647454.9949,20737554.9868,17326054.1994
000004.SZ,20220930,8.44,0.7707,1.0856,0.65,,,1.229,3.8805,5.1293,0.0,,13284.8008,11632.8474,8258.1731,112123.7188,98181.2321
000005.SZ,20220930,1.68,0.3334,0.4058,0.65,12.7904,,1.2852,4.6367,5.75,0.0,,105853.6842,105794.6242,86921.9742,177834.1895,177734.9687
000006.SZ,20220930,4.13,0.832,1.3205,0.97,10.2927,14.8132,0.7236,1.8052,1.8778,4.6731,2.9298,134999.5046,134999.5046,85060.6898,557547.954,557547.954
000007.SZ,20220930,8.06,3.9263,5.0074,1.41,69.8607,86.5454,30.5763,13.7864,10.4662,0.0,,34644.8044,30894.8044,24224.3017,279237.1235,249012.1235
000008.SZ,20220930,2.2,0.4257,0.7028,0.72,,,1.1945,2.7622,2.6976,0.0,,278079.5346,269449.1711,163207.3254,611774.9761,592788.1764
000009.SZ,20220930,11.22,1.5638,2.4401,1.0,27.944,37.1791,3.4836,1.6486,1.2558,0.2674,0.3119,257921.3965,255143.0324,163510.7623,2893878.0687,2862704.8235
000010.SZ,20220930,3.15,1.1521,1.3369,0.44,142.1599,133.9216,2.666,1.8982,2.0477,0.0,,105869.2292,52217.1273,44997.6609,333488.072,164483.951
000011.SZ,20220930,9.19,0.5488,1.5448,0.71,5.4554,9.4694,1.4673,1.2193,1.3903,4.4614,7.3993,59597.9092,52647.5543,18702.6342,547704.7855,483831.024
000012.SZ,20220930,6.94,3.6959,3.793,0.79,13.9346,18.0907,1.8033,1.5636,1.5747,1.4409,2.8818,307069.2107,195677.4751,190667.0204,2131060.3223,1358001.6772
000014.SZ,20220930,8.26,7.6443,11.5853,0.82,56.44,19.8492,2.0787,3.1155,2.0274,0.0807,0.5044,24204.6224,24204.6224,15971.0154,199930.181,199930.181
000016.SZ,20220930,4.81,0.4297,0.6395,0.76,12.793,11.6671,1.2476,0.2359,0.2621,2.079,1.0395,240794.5408,159656.78,107282.0868,1158221.7412,767949.1118
000017.SZ,20220930,3.76,5.0382,6.3743,0.55,,,278.8191,12.5453,9.519,0.0,,55134.7947,30298.1008,23947.2261,207306.8281,113920.859
000019.SZ,20220930,6.88,0.9666,1.4862,0.74,18.4956,18.7723,1.7314,0.782,0.8605,2.907,3.6337,115253.5254,41618.4832,27068.4852,792944.2548,286335.1644
000020.SZ,20220930,8.1,5.2029,15.2337,1.68,318.4722,254.2991,6.5112,2.9958,3.15,0.0,,28316.1227,18116.5391,6187.5497,229360.5939,146743.9667
000021.SZ,20220930,10.5,0.3875,0.6597,0.79,21.1327,17.1051,1.6141,0.9938,1.0187,1.5238,1.4286,156058.7588,155999.8402,91642.0244,1638616.9674,1637998.3221
000023.SZ,20220930,10.04,1.6928,2.5767,0.94,,,4.0034,0.9414,1.566,0.0,,13875.624,13875.2021,9115.8305,139311.265,139307.0291
000025.SZ,20220930,17.16,2.6495,7.6844,0.52,56.4564,56.918,5.047,14.5461,14.5311,0.1166,0.1457,43105.832,39277.832,13542.6867,739696.0771,674007.5971
000026.SZ,20220930,8.9,0.3452,0.6316,0.73,9.7668,12.8411,1.2673,0.7224,0.8147,4.6009,3.3748,42561.5177,35943.7883,19646.0556,378797.5075,319899.7159
000027.SZ,20220930,5.61,0.2151,0.7987,0.78,12.5388,17.3364,0.9508,0.8454,0.7716,4.6346,3.1194,475738.9916,475738.9916,128150.6055,2668895.7429,2668895.7429
000028.SZ,20220930,29.87,0.6035,1.735,1.4,9.5689,10.0758,0.8335,0.1871,0.1793,2.6783,2.0087,42812.6983,36773.3625,12791.6361,1278815.2982,1098420.3379
000029.SZ,20220930,7.95,0.5778,2.0673,1.16,36.4193,34.4415,2.0123,6.0893,8.1045,1.0943,1.1069,101166.0,89166.0,24922.6438,804269.7,708869.7
