trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20220930,600009.SH,上海机场,57.78,-1.47,10,1,412378882,-32450340,189964271,222414611
20220930,600036.SH,招商银行,33.65,0.5,3,1,704727388,16181920,360454654,344272734
20220930,600048.SH,保利发展,18.0,0.72,9,1,424061560,-163753250,130154155,293907405
20220930,600438.SH,通威股份,46.96,-1.02,8,1,536813634,-60464802,238174416,298639218
20220930,600519.SH,贵州茅台,1872.5,-7.85,1,1,1783204448,440945272,1112074860,671129588
20220930,600887.SH,伊利股份,32.98,-0.32,7,1,554308107,-13303459,270502324,283805783
20220930,600900.SH,长江电力,22.74,0.34,5,1,697479159,14818503,356148831,341330328
20220930,601012.SH,隆基绿能,47.91,-2.17,2,1,1053586476,-611060220,221263128,832323348
20220930,601318.SH,中国平安,41.58,0.26,6,1,658157901,-171128797,243514552,414643349
20220930,601888.SH,中国中免,198.25,1.0,4,1,699526650,-70021156,314752747,384773903
