trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20220930,600009.SH,上海机场,57.78,-1.47,10,1,412378882.0,-32450340.0,189964271.0,222414611.0
20220930,600036.SH,招商银行,33.65,0.5,3,1,704727388.0,16181920.0,360454654.0,344272734.0
20220930,600048.SH,保利发展,18.0,0.72,9,1,424061560.0,-163753250.0,130154155.0,293907405.0
20220930,600438.SH,通威股份,46.96,-1.02,8,1,536813634.0,-60464802.0,238174416.0,298639218.0
20220930,600519.SH,贵州茅台,1872.5,-7.85,1,1,1783204448.0,440945272.0,1112074860.0,671129588.0
20220930,600887.SH,伊利股份,32.98,-0.32,7,1,554308107.0,-13303459.0,270502324.0,283805783.0
20220930,600900.SH,长江电力,22.74,0.34,5,1,697479159.0,14818503.0,356148831.0,341330328.0
20220930,601012.SH,隆基绿能,47.91,-2.17,2,1,1053586476.0,-611060220.0,221263128.0,832323348.0
20220930,601318.SH,中国平安,41.58,0.26,6,1,658157901.0,-171128797.0,243514552.0,414643349.0
20220930,601888.SH,中国中免,198.25,1.0,4,1,699526650.0,-70021156.0,314752747.0,384773903.0
