,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2017-01-26,1.62,0.29,1.47,5.25,0.93,1.22,2.78,2.06,0.28,1.97,1.06,2.26,10.32,1.37,1.02,5.06,0.55,6.99,14.44,0.72,8.39,9.81,2.32,9.08,2.88,2.31,1.11,1.88,0.55,0.00
2017-02-28,1.28,0.26,1.23,4.67,0.91,1.21,2.74,2.21,0.34,2.64,1.02,1.77,9.12,1.25,1.01,5.70,0.45,6.75,13.95,0.60,9.51,12.23,2.13,8.08,3.75,1.95,0.97,1.63,0.61,0.00
2017-03-31,1.17,0.27,1.03,4.55,0.75,1.24,2.53,2.07,0.41,2.57,0.97,1.46,8.79,1.08,1.08,7.01,0.40,7.14,15.22,0.42,7.53,11.76,1.98,8.72,4.74,2.10,0.92,1.66,0.47,0.00
2017-04-28,1.10,0.25,1.07,4.79,0.59,1.38,2.15,2.17,0.64,2.13,0.99,1.25,7.70,1.02,0.96,7.59,0.40,7.25,15.72,0.44,6.27,12.00,1.80,9.42,6.00,2.02,0.96,1.58,0.37,0.00
2017-05-31,0.94,0.19,0.87,4.40,0.60,1.26,1.59,1.62,0.69,1.79,0.78,0.79,7.27,0.86,0.87,8.51,0.33,7.83,16.18,0.47,6.55,12.87,1.57,8.58,8.39,1.62,0.92,1.38,0.32,0.00
2017-06-30,0.69,0.17,0.77,4.13,0.55,1.16,1.34,1.30,0.66,1.72,0.79,0.68,7.30,0.80,1.29,10.38,0.28,7.41,15.91,0.51,6.07,12.74,1.59,7.10,10.65,1.47,0.89,1.37,0.28,0.00
2017-07-31,0.74,0.18,1.05,4.31,0.74,1.23,1.48,1.13,0.69,1.85,0.95,0.63,6.50,0.79,1.36,10.26,0.36,7.18,15.93,0.51,6.92,12.46,1.57,7.01,10.20,1.52,0.88,1.35,0.27,0.00
2017-08-31,0.67,0.17,1.11,4.33,0.70,1.14,1.34,0.96,0.66,1.72,0.88,0.57,5.95,0.77,1.44,10.46,0.36,7.01,15.58,0.49,7.32,13.09,1.67,6.79,10.85,1.52,1.00,1.27,0.23,0.00
2017-09-29,0.64,0.23,1.08,4.25,0.58,1.21,1.18,1.06,0.72,1.71,0.81,0.55,6.82,0.84,1.57,11.72,0.33,6.96,16.93,0.42,6.29,11.77,1.89,6.11,10.47,1.63,1.08,0.94,0.21,0.00
