,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2010-01-04,2489.6211,3323.3747,5588.8271,2091.6585,2449.5604,3516.9125,2734.4469,4279.8679,2232.6586,4005.4868,4606.8988,4599.2246,4251.2425,4714.1762,2803.525,3863.1054,2753.9161,4201.6856,5611.1319,3430.9065,4237.0064,6966.9709,4403.5179,1864.5906,1949.0315,2601.4327,2128.3719,2094.1765,2708.4168,
2010-01-05,2529.684,3433.6868,5760.3075,2104.172,2442.0744,3551.3954,2738.6738,4302.8929,2248.5812,4023.9525,4641.6732,4688.5908,4211.3212,4719.186,2826.1688,3814.097,2775.0592,4226.4534,5628.3267,3471.0077,4263.0367,7203.6659,4310.556,1889.9401,2020.195,2661.3996,2171.9551,2138.1419,2714.8674,
2010-01-06,2507.6191,3440.4171,5776.1558,2104.5986,2459.8692,3554.1022,2737.923,4302.6953,2245.5937,4041.9484,4637.9918,4733.7685,4190.0071,4692.3734,2804.2424,3754.0735,2775.6965,4227.8456,5563.1278,3429.4126,4191.4563,7102.3413,4318.8762,1881.0117,2039.2643,2626.03,2173.2493,2127.1025,2689.9241,
2010-01-07,2463.0561,3371.4651,5710.6456,2064.0819,2398.3513,3498.4291,2696.8482,4198.7984,2206.0748,3947.8503,4596.5597,4630.7597,4050.9642,4591.3575,2801.9688,3629.8814,2708.9211,4130.2482,5434.9918,3342.3326,4109.3408,6954.2796,4290.9278,1846.9441,2013.8811,2544.4582,2105.0318,2099.0904,2623.6122,
2010-01-08,2465.5222,3331.6292,5647.1686,2081.6031,2402.7335,3520.8942,2711.585,4233.3245,2226.9044,3951.3768,4619.6159,4682.955,4040.8924,4642.6814,2827.847,3687.4367,2726.873,4153.3657,5448.2926,3380.9019,4134.31,7007.2775,4353.8438,1867.2792,2083.5239,2580.242,2168.8284,2156.2169,2661.3898,
2010-01-11,2483.1155,3313.9582,5704.7364,2088.5441,2387.2102,3534.5523,2726.6243,4223.7145,2234.4724,3959.6978,4635.4431,4797.1343,4007.8029,4684.1074,2860.8993,3623.4822,2784.0913,4165.5127,5431.2634,3386.5747,4124.1822,7103.9078,4268.5064,1887.4763,2143.5708,2629.4489,2253.2656,2217.4421,2684.5226,
2010-01-12,2554.5206,3351.1438,5762.4842,2121.6428,2411.7036,3628.3462,2760.1695,4307.3229,2288.3378,4061.0543,4703.5646,4869.6402,4114.9888,4764.9363,2920.6391,3702.1411,2854.5013,4279.2848,5563.0624,3494.6312,4136.0925,7149.4067,4331.6865,1949.3271,2183.3748,2739.8458,2277.3909,2240.4065,2730.4588,
2010-01-13,2481.7244,3169.6862,5499.4142,2093.7056,2334.1997,3631.2974,2706.1256,4207.8496,2264.5527,3992.7996,4615.4401,4882.9979,4027.127,4709.0925,2915.8302,3659.9836,2839.9296,4306.7899,5554.9971,3464.7415,3905.9956,6783.3063,4193.974,1923.2703,2183.0891,2789.375,2297.5048,2311.193,2704.6409,
2010-01-14,2511.0241,3205.3005,5554.7891,2125.6359,2364.1501,3699.7918,2739.8657,4269.5841,2317.9278,4081.7094,4776.8932,4996.7161,4117.5955,4830.4278,2985.8362,3815.64,2898.1979,4421.3373,5751.5182,3543.5918,3921.457,6884.8974,4245.6685,1970.8231,2214.057,2848.8572,2343.584,2388.1094,2762.2632,
2010-01-15,2532.2312,3192.7329,5576.819,2134.666,2361.6617,3713.7578,2754.5153,4318.5801,2339.6188,4152.6666,4821.596,5038.6006,4184.384,4849.6962,2995.133,3817.217,2927.2389,4436.1147,5768.5878,3554.4962,3942.6276,6887.3515,4331.3746,1970.7433,2201.8562,2830.593,2330.2355,2370.7989,2793.0462,
2010-01-18,2531.6381,3191.4859,5583.8383,2154.4785,2375.3951,3801.7029,2778.4924,4386.788,2367.8767,4207.9518,4844.7249,5118.4411,4225.3857,4953.1219,3095.098,3841.441,2959.1321,4507.9897,5876.6382,3634.9515,3943.2808,6738.3412,4397.0532,2034.7616,2246.4401,2866.5543,2401.889,2429.8116,2848.4583,
2010-01-19,2535.6016,3213.6927,5647.0192,2149.453,2390.1444,3755.9103,2779.3357,4404.985,2377.7766,4180.8083,4835.9199,5058.1725,4215.7587,4969.4918,3105.749,3839.8742,2942.7466,4492.6774,5841.4506,3618.3966,3986.5657,6792.8107,4403.391,2038.2514,2241.4984,2821.0163,2372.3204,2441.0621,2835.9064,
2010-01-20,2448.5239,3087.2423,5447.2735,2095.9653,2302.9622,3604.9075,2700.4311,4230.6653,2289.9107,4024.3558,4774.5135,4794.2978,4067.5744,4805.1367,2988.817,3703.7329,2848.9398,4353.0901,5672.1855,3489.8201,3870.3667,6564.0113,4263.4624,1981.5197,2073.2109,2674.4852,2228.8267,2341.1437,2754.7347,
2010-01-21,2439.2486,3018.5589,5362.3649,2104.4169,2273.7305,3604.1129,2706.3797,4233.4078,2297.9638,4006.3447,4819.6171,4815.6139,4061.2083,4840.6557,3021.7242,3687.0592,2874.6591,4374.0211,5698.0576,3512.1951,3966.5634,6653.4251,4309.2005,1985.8357,2041.059,2683.8951,2241.1587,2381.9219,2769.6313,
2010-01-22,2395.8653,2922.6094,5195.7313,2063.9173,2208.5674,3490.6811,2681.7131,4101.1482,2243.5039,3905.6966,4642.8876,4663.6133,3961.0511,4723.2659,2927.8137,3609.3276,2798.6561,4293.7104,5556.7176,3422.4431,4064.1234,6574.2142,4207.7606,1949.2672,1968.5987,2621.272,2177.3991,2335.296,2699.2233,
2010-01-25,2373.7488,2906.2788,5178.9303,2048.9886,2155.8988,3436.8259,2643.9167,4061.9891,2216.8804,3882.0489,4575.1571,4681.6716,3891.7216,4666.2528,2895.2233,3543.2593,2753.1696,4253.1252,5539.2458,3404.9862,3972.8484,6576.6203,4145.6675,1903.7091,1962.5282,2575.6331,2161.6308,2282.8782,2660.7155,
2010-01-26,2300.418,2795.6758,4987.2498,1986.6938,2091.1941,3320.7642,2562.1601,3939.1887,2124.1573,3729.9647,4453.4081,4491.0304,3768.3499,4490.9964,2768.4159,3485.3373,2633.1123,4121.5687,5425.0562,3287.04,3957.1877,6431.0807,3949.0081,1843.4339,1905.6369,2526.5402,2083.7528,2204.4196,2562.4964,
2010-01-27,2279.7533,2800.8299,4886.5792,1976.2384,2077.3479,3286.4585,2554.0172,3923.9883,2096.3324,3706.0123,4395.0743,4482.8975,3709.2357,4447.894,2754.6619,3511.619,2620.5216,4098.0337,5333.7268,3291.7881,3834.006,6304.4693,3940.0477,1832.8051,1908.5495,2528.5976,2109.3216,2197.4672,2546.3434,
2010-01-28,2297.7976,2821.9465,4856.5839,1987.789,2093.5585,3327.2027,2575.6872,3966.3182,2110.4475,3743.9949,4454.8935,4537.7948,3753.0455,4510.2499,2821.6784,3564.5294,2662.2569,4178.342,5437.5799,3344.431,3777.1431,6250.2713,3978.9745,1858.5517,1949.9513,2552.3269,2177.556,2250.4627,2573.1834,
2010-01-29,2290.7224,2804.6499,4827.0814,1990.2729,2089.9378,3349.8734,2581.8865,4056.8227,2115.2847,3741.9681,4489.53,4597.5799,3748.8314,4572.4425,2833.8327,3547.8103,2689.2489,4255.5061,5499.2998,3405.9096,3761.9707,6228.1988,3973.1342,1852.5984,1964.8058,2568.3404,2185.6282,2272.1903,2575.3023,
