指标名称,期货收盘价(连一):铜,期货收盘价(连续):螺纹钢,期货收盘价(连续):豆粕,期货收盘价(连续):精对苯二甲酸(PTA),期货收盘价(连续):白糖
频率,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨
2010/1/4,"60,200.00","3,965.00","3,362.00","8,064.00","5,400.00"
2010/1/5,"60,370.00","3,975.00","3,382.00","8,158.00","5,515.00"
2010/1/6,"61,720.00","4,006.00","3,450.00","8,150.00","5,480.00"
2010/1/7,"61,200.00","3,975.00","3,449.00","8,004.00","5,381.00"
2010/1/8,"60,890.00","3,975.00","3,449.00","7,942.00","5,213.00"
2010/1/11,"62,000.00","4,020.00","3,365.00","8,050.00","5,185.00"
2010/1/12,"61,700.00","4,019.00","3,360.00","8,110.00","5,150.00"
2010/1/13,"59,830.00","3,987.00","3,341.00","7,992.00","4,984.00"
2010/1/14,"60,720.00","3,981.00","3,300.00","8,136.00","5,025.00"
2010/1/15,"60,670.00","3,975.00","3,200.00","8,062.00","5,020.00"
2010/1/18,"60,890.00","4,008.00","3,266.00","8,244.00","5,072.00"
2010/1/19,"61,530.00","3,996.00","3,251.00","8,282.00","5,090.00"
2010/1/20,"60,910.00","3,976.00","3,232.00","8,186.00","5,125.00"
2010/1/21,"60,900.00","3,948.00","3,218.00","8,242.00","5,317.00"
2010/1/22,"59,450.00","3,873.00","3,198.00","8,076.00","5,235.00"
2010/1/25,"59,800.00","3,873.00","3,195.00","8,078.00","5,241.00"
2010/1/26,"59,300.00","3,883.00","3,175.00","8,010.00","5,307.00"
2010/1/27,"59,600.00","3,903.00","3,164.00","7,884.00","5,238.00"
2010/1/28,"57,600.00","3,880.00","3,100.00","7,744.00","5,044.00"
2010/1/29,"55,580.00","3,884.00","3,035.00","7,844.00","5,050.00"
2010/2/1,"54,490.00","3,876.00","2,970.00","7,760.00","5,094.00"
2010/2/2,"54,310.00","3,800.00","2,901.00","7,804.00","5,174.00"
2010/2/3,"55,850.00","3,791.00","2,925.00","7,950.00","5,317.00"
2010/2/4,"53,900.00","3,785.00","2,917.00","7,944.00","5,215.00"
2010/2/5,"52,060.00","3,798.00","2,929.00","7,850.00","5,145.00"
2010/2/8,"52,550.00","3,840.00","2,940.00","7,884.00","5,195.00"
2010/2/9,"53,260.00","3,820.00","2,928.00","7,976.00","5,193.00"
2010/2/10,"54,700.00","3,930.00","2,901.00","8,002.00","5,405.00"
2010/2/11,"55,350.00","3,935.00","2,965.00","8,058.00","5,437.00"
