indicator,sharpe_ratio,overfit_prob,is_sharpe,oos_sharpe
EMA_120,1.8490119847026871,0.0,1.8973394058225261,1.9189921885421481
EMA_60,1.8234867269526422,0.0,1.926756362324287,1.8748720322351429
EMA_40,1.8128415752031748,0.0,1.8691277220305325,1.8989383747504853
EMA_20,1.80178077739815,0.0,1.8993743721564618,1.8743584400702986
WMA_40,0.4098822269970094,0.275,0.4274979208217383,0.37127175095535364
MA_40,0.3930391906588799,0.3,0.3354025475218686,0.4323547844892831
MA_120,0.0,0.5,,
WMA_20,-0.2359878383735706,1.0,-0.22423251569584057,-0.2616797917313556
MA_20,-0.24221771924408236,1.0,-0.314966027217794,-0.18329142594027714
MA_60,-0.927825669145705,1.0,-0.9260765688552789,-0.9891659286911006
