,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
CI005001.CI,1.0,0.7581958131989642,0.708686423957871,0.7331415691889316,0.7383058499494201,0.7389347523146894,0.7204205645500034,0.7092817856743676,0.6756483629057033,0.6953965338423501,0.6255405001561339,0.5666088107604415,0.6304114977700092,0.6671441085352565,0.5297365799288521,0.590985701521253,0.6759611850914053,0.5642864810939631,0.5120287748249553,0.6068036846986206,0.514540342602126,0.6258180607781068,0.6103264412910118,0.7388976029421561,0.5563577007691914,0.5768140672207424,0.5414810216835471,0.5531558039931508,0.6655181068758913,0.33754839793772595
CI005002.CI,0.7581958131989642,1.0,0.6779881926009286,0.6947080816776389,0.7692136659375998,0.6302708039293988,0.6635115612992711,0.6456476858413288,0.5795094409025027,0.5780584329225408,0.5341853523908031,0.47399828963337154,0.5480080947169522,0.5851395948740048,0.4378635451674697,0.5239843093477705,0.5896147587464398,0.443285906078361,0.425309172661434,0.5307958271853508,0.4684623050068513,0.5514789215492173,0.5750343451109338,0.6753543377710476,0.44745889005362277,0.4670718612318609,0.425659261049325,0.4618559011109381,0.5917546109854397,0.26429692303647123
CI005003.CI,0.708686423957871,0.6779881926009286,1.0,0.7050158260133681,0.8110653360478759,0.8376201721425781,0.6750295777672425,0.7451214261812472,0.7380348618587423,0.7822428832621856,0.7679306102690879,0.6699620040874658,0.7424937277994632,0.7110864301802025,0.5811590203946042,0.5809712391995037,0.7030321006000193,0.621528214319266,0.501035242983598,0.6338950464909482,0.32088765859470214,0.5821886399414611,0.6039998586860799,0.7054473079853698,0.6931860049592167,0.6520182779886315,0.6475622372797252,0.621983184026242,0.7411576576532035,0.39041616731835455
CI005004.CI,0.7331415691889316,0.6947080816776389,0.7050158260133681,1.0,0.7799442647666939,0.8027090064443388,0.8110132338702833,0.789419371505609,0.7966106200613406,0.8022874183193518,0.75549899072847,0.6779074749506983,0.7347192779361446,0.8042156431363802,0.6223061239550207,0.6644585817999512,0.8157441949696188,0.6880857601914719,0.5577634714733375,0.7167251067842109,0.438225286105003,0.6429374857819219,0.7029729409258323,0.8434381609965821,0.6797508261788291,0.6923293905558975,0.6717935974416935,0.6921849849590641,0.8116363097115112,0.35923519547900495
CI005005.CI,0.7383058499494201,0.7692136659375998,0.8110653360478759,0.7799442647666939,1.0,0.7945794000474038,0.7851039942691529,0.8036561272697847,0.7542187322040826,0.7596432739465508,0.6983873557115698,0.640145104109923,0.6981997322235669,0.7390829102882394,0.5735909454795215,0.6087330207417038,0.7397841318089814,0.6005866378444592,0.5006650730034349,0.6316804160574688,0.42328235009110954,0.6315209506424702,0.6965019945862625,0.7695182743760017,0.6282775632971326,0.6226349360308984,0.6107464403626351,0.6217404533369195,0.767765999779391,0.3834994411405018
CI005006.CI,0.7389347523146894,0.6302708039293988,0.8376201721425781,0.8027090064443388,0.7945794000474038,1.0,0.7509838126581508,0.8624932550124421,0.899451913487231,0.9229260760205379,0.8954291716647088,0.7711404523516192,0.8661106090790976,0.8488004874746546,0.7213873983627694,0.6981324725284677,0.8603043403183166,0.7984638061606639,0.6208069280622605,0.749203602888525,0.31984243292185527,0.6419935041329848,0.7054809143790556,0.7998575068878613,0.839601540269498,0.7820183049403092,0.8038371657856769,0.7717219986070085,0.8797573793261037,0.4646444946832964
CI005007.CI,0.7204205645500034,0.6635115612992711,0.6750295777672425,0.8110132338702833,0.7851039942691529,0.7509838126581508,1.0,0.8257218172104717,0.7667526663780675,0.7922947272888895,0.6839184016732704,0.6455856511273228,0.6918543943954554,0.7706400212185217,0.6059485972340166,0.656764382170845,0.7631015859897446,0.6298030885651897,0.5502265141751893,0.6498363933045676,0.5257383843749313,0.7075282731322927,0.7713953351377558,0.8253467397601576,0.6440520074938925,0.6719505494332774,0.6507178141641574,0.6833410495783647,0.773179323165779,0.43555642329859284
CI005008.CI,0.7092817856743676,0.6456476858413288,0.7451214261812472,0.789419371505609,0.8036561272697847,0.8624932550124421,0.8257218172104717,1.0,0.8754147316502278,0.8468563706597132,0.7701566892218681,0.6850585551459034,0.7717545636526915,0.8231867318891983,0.7160265068613416,0.7476489464412691,0.8187131614429126,0.7399428603663344,0.6573439024528404,0.7218823348160429,0.44121854616262407,0.6891319279168526,0.8127418119115744,0.819128657875279,0.7283510405191699,0.7083351809955782,0.7171668038456862,0.719717475920739,0.8289192335488157,0.4358137345236667
CI005009.CI,0.6756483629057033,0.5795094409025027,0.7380348618587423,0.7966106200613406,0.7542187322040826,0.899451913487231,0.7667526663780675,0.8754147316502278,1.0,0.8934136800478664,0.8080343406296092,0.7279076366330497,0.8143551806522545,0.9052664900330661,0.7753901362560326,0.7457765559975779,0.9178668800881706,0.8133486082783531,0.6486550307604065,0.7694320966474082,0.3451736808889125,0.6508498098260111,0.7719521099358565,0.8208759140437617,0.8064412577600365,0.7864029864417758,0.8230470530161075,0.8353133747491216,0.8942872351754533,0.49292942049324223
CI005010.CI,0.6953965338423501,0.5780584329225408,0.7822428832621856,0.8022874183193518,0.7596432739465508,0.9229260760205379,0.7922947272888895,0.8468563706597132,0.8934136800478664,1.0,0.8953532818524299,0.8282539144639658,0.8851724129138541,0.8473570812932739,0.724588339890362,0.7181290319092125,0.8602412237868222,0.7861764130499734,0.6027951080753043,0.7279749589233201,0.3288957080852297,0.6619954418026548,0.7027885532387469,0.8045037252636045,0.8745989480552818,0.8377604537146157,0.8503991778879425,0.8041987704396351,0.8759738088085732,0.4969528313998357
