,日均收益率,年化收益率,年化波动率,夏普比率(无风险=0),最大回撤
CI005001.CI,0.00026161123332352676,0.06592603079752875,0.24782794533153213,0.2660153224824429,-0.5691924444338108
CI005002.CI,0.000475600277436834,0.11985126991408217,0.3188012237195767,0.37594356921134503,-0.5716275190743815
CI005003.CI,0.000633772348279635,0.15971063176646802,0.3324575152988061,0.48039410877183303,-0.6470284683322817
CI005004.CI,0.00014388036548112392,0.03625785210124323,0.23864822536950656,0.15193011406267135,-0.667034029164767
CI005005.CI,0.00019988178863594852,0.050370210736259025,0.2957015993380106,0.170341353746558,-0.6901855736789386
CI005006.CI,0.00048162927026296123,0.12137057610626623,0.2888720715928594,0.4201533759806581,-0.6225227270583347
CI005007.CI,0.00015094263364724323,0.03803754367910529,0.2753796469268294,0.1381276506945779,-0.6792308136075506
CI005008.CI,0.00041043659657055015,0.10343002233577864,0.29398472361312994,0.3518210778594322,-0.5821161502966742
CI005009.CI,0.0003257563858575468,0.08209060923610179,0.27772468572493486,0.29558268838012575,-0.6772397764438333
CI005010.CI,0.0004296500021045364,0.10827180053034317,0.29210516174132717,0.37066034672205805,-0.7177177285071988
CI005011.CI,0.0006027253417470773,0.15188678612026346,0.3223611347048742,0.47116965964063184,-0.7004061552401617
CI005012.CI,0.00044421311557048146,0.11194170512376132,0.35830820856346873,0.3124173615015928,-0.7245097734646341
CI005013.CI,0.0005032534497996534,0.12681986934951267,0.28480270502825483,0.44529025571204134,-0.5767770280858086
CI005014.CI,8.991265754253618e-05,0.022657989700719118,0.28152262483821966,0.08048372564634833,-0.7658244440093823
CI005015.CI,0.0003344156424182227,0.08427274188939211,0.32717892802581844,0.2575738676017117,-0.7242555805700771
CI005016.CI,0.0005726709696729945,0.14431308435759463,0.2703650242951044,0.5337712773086964,-0.48989568904355685
CI005017.CI,0.0001853815949997266,0.046716161939931104,0.26716952490014584,0.17485587833189878,-0.7353235266566014
CI005018.CI,0.0003178958325812524,0.08010974981047561,0.2798794461386044,0.28622948528632913,-0.5477115561016812
CI005019.CI,0.0005618110302511944,0.141576379623301,0.2747860108535503,0.5152241163352214,-0.5446803605579275
CI005020.CI,0.00030811162025957094,0.07764412830541187,0.29630220058549855,0.2620437112920041,-0.6160968972369415
CI005021.CI,0.00032593050731040987,0.08213448784222328,0.2081035151674623,0.39468092490474804,-0.3603719762837078
CI005022.CI,0.00013356071736566645,0.033657300776147946,0.2879204832071981,0.11689790320311085,-0.5419038330914249
CI005023.CI,4.943109278808481e-05,0.012456635382597371,0.2947752202290667,0.04225808184594842,-0.7314917916419832
CI005024.CI,0.00012031653170642888,0.03031976599002008,0.2467814335935471,0.12286080661950124,-0.652820567649878
CI005025.CI,0.0007679504692374787,0.19352351824784464,0.3388251359087519,0.5711604533967101,-0.5781263773456947
CI005026.CI,0.000803115939558716,0.20238521676879642,0.3380664211151582,0.598655187643899,-0.6610385872901243
CI005027.CI,0.0005268571542338712,0.13276800286693552,0.38052924971275087,0.3489035414942682,-0.7624634047362396
CI005028.CI,0.00016791199173987327,0.04231382191844806,0.3425983803953674,0.12350852876075134,-0.8494799396128515
CI005029.CI,6.108585333901765e-05,0.015393635041432449,0.3073187704721167,0.0500901230920066,-0.8081206839856448
CI005030.CI,-8.026695769992504e-05,-0.02022727334038111,0.297212477979912,-0.06805660878662109,-0.716498679532411
