scenario_id,mu,sigma,rho,final_price,price_return
0,0.0001,0.005,0.01,1005.8930043823591,0.005893004382359068
1,0.0001,0.005,0.01,1016.1214549246118,0.01612145492461181
2,0.0001,0.005,0.01,1007.0133061812872,0.007013306181287149
3,0.0001,0.005,0.01,1013.7194159667515,0.013719415966751525
4,0.0001,0.005,0.01,1016.3473886711193,0.0163473886711194
5,0.0001,0.005,0.01,1003.652251649294,0.003652251649294058
6,0.0001,0.005,0.01,1004.8470513364329,0.004847051336432928
7,0.0001,0.005,0.01,1011.3754117660023,0.011375411766002319
8,0.0001,0.005,0.01,1005.2974791007038,0.0052974791007036615
9,0.0001,0.005,0.01,1007.0612402124142,0.007061240212414166
10,0.0001,0.005,0.01,1002.6181828547236,0.002618182854723594
11,0.0001,0.005,0.01,1003.9479618409434,0.003947961840943481
12,0.0001,0.005,0.01,1008.302032999118,0.008302032999117914
13,0.0001,0.005,0.01,1011.9628193891751,0.011962819389175205
14,0.0001,0.005,0.01,1015.3583827591015,0.015358382759101508
15,0.0001,0.005,0.01,1004.1886498168265,0.0041886498168264286
16,0.0001,0.005,0.01,1010.5867615928363,0.010586761592836336
17,0.0001,0.005,0.01,1007.3675165003388,0.007367516500338844
18,0.0001,0.005,0.01,999.148980047126,-0.0008510199528740658
19,0.0001,0.005,0.01,1005.5137167615602,0.005513716761560206
20,0.0001,0.005,0.01,1011.6184663220482,0.011618466322048215
21,0.0001,0.005,0.01,1006.7500699761853,0.0067500699761853244
22,0.0001,0.005,0.01,999.705244365967,-0.0002947556340330282
23,0.0001,0.005,0.01,1003.46568024474,0.0034656802447401436
24,0.0001,0.005,0.01,1013.023964438734,0.013023964438733993
25,0.0001,0.005,0.01,1005.809614608421,0.005809614608420999
26,0.0001,0.005,0.01,1018.6089930917765,0.01860899309177655
