industry,industry_code,n_records,start_date,end_date
农林牧渔,801010,1700,2014-01-02,2020-12-31
基础化工,801030,1700,2014-01-02,2020-12-31
钢铁,801040,1700,2014-01-02,2020-12-31
有色金属,801050,1700,2014-01-02,2020-12-31
电子,801080,1700,2014-01-02,2020-12-31
汽车,801880,1669,2014-02-21,2020-12-31
家用电器,801110,1700,2014-01-02,2020-12-31
食品饮料,801120,1700,2014-01-02,2020-12-31
纺织服饰,801130,1700,2014-01-02,2020-12-31
轻工制造,801140,1700,2014-01-02,2020-12-31
医药生物,801150,1700,2014-01-02,2020-12-31
公用事业,801160,1700,2014-01-02,2020-12-31
交通运输,801170,1700,2014-01-02,2020-12-31
房地产,801180,1700,2014-01-02,2020-12-31
商贸零售,801200,1700,2014-01-02,2020-12-31
社会服务,801210,1700,2014-01-02,2020-12-31
银行,801780,1669,2014-02-21,2020-12-31
非银金融,801790,1669,2014-02-21,2020-12-31
综合,801230,1700,2014-01-02,2020-12-31
建筑材料,801710,1669,2014-02-21,2020-12-31
建筑装饰,801720,1669,2014-02-21,2020-12-31
电力设备,801730,1669,2014-02-21,2020-12-31
机械设备,801890,1669,2014-02-21,2020-12-31
国防军工,801740,1669,2014-02-21,2020-12-31
计算机,801750,1669,2014-02-21,2020-12-31
传媒,801760,1669,2014-02-21,2020-12-31
通信,801770,1669,2014-02-21,2020-12-31
煤炭,801950,710,2014-02-21,2017-01-20
