日期,index_code,open,high,low,close,volume,amount
2014-01-02,801170,1612.28,1617.79,1608.71,1615.66,5.25172799,28.6268888762
2014-01-03,801170,1607.08,1608.06,1586.64,1600.54,7.13657842,38.9772726348
2014-01-06,801170,1594.75,1594.9,1545.57,1547.14,6.90596063,34.7666937217
2014-01-07,801170,1538.95,1564.85,1534.01,1549.88,6.16391434,30.7631932875
2014-01-08,801170,1548.97,1558.35,1535.81,1538.35,5.71952169,30.0696792416
2014-01-09,801170,1536.44,1549.58,1522.39,1526.39,5.45079922,28.306932061999998
2014-01-10,801170,1522.84,1524.91,1503.44,1507.73,4.74277037,23.267244631700002
2014-01-13,801170,1508.42,1518.11,1494.06,1503.36,4.31882114,22.062195827399997
2014-01-14,801170,1501.44,1524.46,1481.23,1514.8,4.89652584,25.2224756265
2014-01-15,801170,1510.96,1517.07,1501.46,1516.66,4.52945391,26.167701780199998
2014-01-16,801170,1515.79,1522.94,1507.24,1516.15,5.49543194,31.812566294299998
2014-01-17,801170,1510.55,1512.03,1488.16,1491.99,5.12829019,27.9202285316
2014-01-20,801170,1490.64,1493.15,1479.15,1484.55,3.80052522,18.605796752
2014-01-21,801170,1485.86,1504.32,1485.27,1502.26,3.61333286,18.7482821159
2014-01-22,801170,1506.06,1539.72,1503.85,1538.84,7.24049062,37.2188303872
2014-01-23,801170,1538.91,1539.88,1526.89,1535.54,5.68494121,30.8333035136
2014-01-24,801170,1536.1,1555.28,1536.06,1551.26,6.96693098,39.802090874899996
2014-01-27,801170,1541.97,1545.25,1533.4,1536.82,6.04666006,34.4140981498
2014-01-28,801170,1536.95,1549.22,1534.55,1547.21,6.23074624,37.8404975233
2014-01-29,801170,1548.63,1550.72,1544.17,1549.04,4.99201001,31.096677100999997
2014-01-30,801170,1547.52,1553.75,1542.77,1548.83,4.75821561,28.1697594046
2014-02-07,801170,1538.49,1559.16,1534.02,1559.14,5.45954622,32.547545233499996
2014-02-10,801170,1560.13,1594.73,1560.12,1593.92,9.80356337,61.7356198054
2014-02-11,801170,1593.76,1616.6,1589.91,1615.11,11.89841883,74.7315411325
2014-02-12,801170,1615.84,1634.23,1611.82,1634.11,11.90399695,81.2426492124
2014-02-13,801170,1635.61,1644.92,1620.17,1622.49,12.89447934,82.2064706491
2014-02-14,801170,1624.26,1660.23,1624.26,1656.28,11.07457493,69.089510373
2014-02-17,801170,1671.16,1671.7,1645.19,1661.72,13.49374517,90.2523586258
2014-02-18,801170,1659.42,1663.86,1644.83,1663.57,13.42651825,89.2886357721
2014-02-19,801170,1660.5,1676.49,1655.82,1669.05,14.515262,84.4899576017
2014-02-20,801170,1667.09,1680.96,1653.12,1662.64,14.84757995,90.5492457116
2014-02-21,801170,1659.75,1659.75,1626.81,1635.8,9.4579734,56.6409475837
2014-02-24,801170,1626.2,1626.24,1601.02,1611.47,9.19603846,54.598114996999996
2014-02-25,801170,1610.78,1619.75,1568.38,1575.49,10.24363627,64.6423694258
2014-02-26,801170,1569.03,1576.18,1551.81,1576.18,7.60590226,44.3545911001
2014-02-27,801170,1576.66,1586.27,1563.69,1564.95,7.89201267,46.4854561713
2014-02-28,801170,1562.29,1568.39,1541.54,1566.35,6.64358746,41.5145668762
