日期,index_code,open,high,low,close,volume,amount
2014-02-21,801760,997.65,1007.01,987.36,1000.62,5.62605603,119.2680436425
2014-02-24,801760,999.21,1018.99,996.1,1017.51,6.160149,136.9417977675
2014-02-25,801760,1017.66,1040.43,972.04,978.67,9.52141361,201.566738853
2014-02-26,801760,967.83,967.83,934.29,959.03,6.37362952,133.27031156299998
2014-02-27,801760,960.79,975.0,918.45,923.77,7.08760827,151.0860593098
2014-02-28,801760,921.08,933.47,903.98,931.63,5.34989298,107.1783005094
2014-03-03,801760,927.87,949.92,925.35,948.93,4.54377114,88.89898431530001
2014-03-04,801760,946.0,951.54,931.08,942.63,4.25736096,91.56856068969999
2014-03-05,801760,944.57,948.72,936.83,938.58,4.31369678,87.60036233459999
2014-03-06,801760,939.19,947.15,923.11,945.06,4.54851146,101.652512192
2014-03-07,801760,949.32,955.41,939.13,942.18,4.9061986,107.85198437790001
2014-03-10,801760,928.24,928.24,895.54,896.54,5.10518749,100.95716631290001
2014-03-11,801760,891.9,905.19,887.05,898.41,3.39900419,69.0885973173
2014-03-12,801760,899.4,917.59,889.65,906.57,3.90032616,82.61596844520001
2014-03-13,801760,906.46,916.83,903.9,916.83,2.91138291,62.369377856999996
2014-03-14,801760,913.9,927.11,911.18,920.15,2.90015003,66.3976126987
2014-03-17,801760,921.4,942.76,921.4,942.6,3.5314044,72.677768416
2014-03-18,801760,946.28,953.8,943.42,952.35,4.43062533,90.8869527248
2014-03-19,801760,949.92,950.93,936.13,939.98,3.47800504,77.545378545
2014-03-20,801760,938.35,944.21,903.17,903.45,4.14328483,90.60618065540001
2014-03-21,801760,895.92,918.75,880.69,917.85,4.74544876,89.7416080879
2014-03-24,801760,913.9,917.23,907.99,910.39,3.24937483,70.087820448
2014-03-25,801760,909.62,921.33,908.72,919.53,3.39212092,68.1452291541
2014-03-26,801760,921.49,928.13,920.43,926.16,3.16553965,66.8221470808
2014-03-27,801760,923.62,923.63,897.5,897.5,3.26892241,67.96573540899999
2014-03-28,801760,895.81,897.79,869.26,873.41,3.41715652,67.4315414583
2014-03-31,801760,869.33,869.39,855.36,860.69,3.17249513,58.4130116044
2014-04-01,801760,856.03,873.3,855.87,871.45,2.76927136,52.974407491499996
2014-04-02,801760,872.37,874.61,851.22,860.06,3.12038527,58.755998380600005
2014-04-03,801760,859.26,872.16,855.92,861.42,2.77723891,53.2204988779
2014-04-04,801760,860.25,876.94,857.59,876.94,2.88201178,55.4737092129
2014-04-08,801760,869.96,882.24,867.11,882.05,3.38994895,64.3236709815
2014-04-09,801760,889.77,909.03,889.64,899.11,5.03143646,89.27555761469999
2014-04-10,801760,901.02,910.43,897.85,904.22,3.7446364,77.0001203664
2014-04-11,801760,898.43,902.91,894.38,900.87,3.14390864,62.4317905183
2014-04-14,801760,903.39,911.1,903.38,908.09,3.32796164,67.7718674454
2014-04-15,801760,908.68,911.09,901.95,902.68,3.59939081,77.1512800397
2014-04-16,801760,900.61,904.57,896.93,902.56,3.19214917,63.628394767399996
2014-04-17,801760,905.45,914.46,905.1,905.29,3.80285604,72.1018773084
2014-04-18,801760,903.58,913.66,901.54,910.17,3.44343534,67.9299012906
2014-04-21,801760,903.73,914.05,899.11,899.75,4.33102701,79.843259566
2014-04-22,801760,897.3,905.52,878.74,893.0,4.73359724,85.0844068909
2014-04-23,801760,890.44,892.34,876.7,880.54,3.77860965,72.6835511999
2014-04-24,801760,880.06,882.58,865.64,875.48,4.13134925,76.6915548941
2014-04-25,801760,872.96,874.63,854.53,855.55,3.41006448,60.002463723000005
2014-04-28,801760,847.93,848.93,828.41,828.52,3.82853868,66.914968336
2014-04-29,801760,827.11,840.13,827.11,839.82,3.00745281,51.9685798859
2014-04-30,801760,841.35,857.64,840.99,852.63,3.3074229,62.7091574986
2014-05-05,801760,851.06,860.43,849.34,860.22,2.94544527,55.895411913100006
2014-05-06,801760,860.2,872.88,859.24,868.34,3.5047284,70.339632886
2014-05-07,801760,863.43,865.49,849.29,849.29,3.19248442,60.7092091161
2014-05-08,801760,845.91,860.79,844.18,847.73,3.06810345,53.8495962357
2014-05-09,801760,848.32,850.06,832.38,841.18,3.54939572,59.10093382350001
2014-05-12,801760,845.65,860.13,840.82,857.34,3.68180593,60.966935451800005
2014-05-13,801760,856.91,868.96,856.56,862.31,3.62685843,62.742424864499995
2014-05-14,801760,861.54,866.65,856.75,859.94,3.04788483,49.8701701866
2014-05-15,801760,859.72,863.46,846.0,846.1,3.52370063,61.7140986163
2014-05-16,801760,844.0,846.86,826.99,835.87,3.09571225,55.0128008676
2014-05-19,801760,834.98,840.1,828.6,836.13,2.87597265,49.2213168051
2014-05-20,801760,841.39,851.55,840.54,842.9,3.70179442,65.78768632170001
2014-05-21,801760,838.48,846.52,831.14,846.5,3.38436986,56.28736075729999
2014-05-22,801760,846.59,860.72,846.58,848.85,4.42245491,78.1160097933
2014-05-23,801760,847.93,865.91,845.11,865.87,4.2369132,76.1387500948
2014-05-26,801760,868.72,880.25,868.52,880.17,5.45791972,95.39401574680001
2014-05-27,801760,878.32,878.33,868.73,869.81,4.17871857,70.563282258
2014-05-28,801760,869.68,887.05,868.41,886.1,5.32857985,90.5929988976
2014-05-29,801760,885.95,887.81,867.97,868.52,4.32247952,73.3808520318
2014-05-30,801760,872.0,873.27,860.43,869.39,4.47712815,70.32619106060001
2014-06-03,801760,868.66,881.09,868.63,876.29,4.57645526,75.5063217063
2014-06-04,801760,876.93,876.93,866.01,876.83,4.69690744,78.8999081188
2014-06-05,801760,876.63,908.13,875.83,907.44,7.60391191,132.84043353040002
2014-06-06,801760,907.08,911.37,893.59,900.79,6.76623443,117.6891682716
2014-06-09,801760,897.7,905.12,891.9,892.42,5.94895108,103.64138226
2014-06-10,801760,892.42,910.91,883.21,908.25,6.26007248,113.24694113620001
2014-06-11,801760,904.95,915.95,904.26,909.46,5.77753535,102.9918109424
2014-06-12,801760,907.59,915.38,902.26,907.77,5.63320138,100.9941922899
2014-06-13,801760,906.71,917.84,901.89,916.34,5.88047098,100.57283950950001
2014-06-16,801760,915.81,926.94,915.55,926.03,6.06876164,109.3444437973
2014-06-17,801760,926.6,926.6,913.7,913.86,4.92462293,93.25077678209999
2014-06-18,801760,913.19,916.78,901.77,902.06,4.70524338,88.1417803737
2014-06-19,801760,900.59,905.76,867.09,873.66,5.36129576,95.66687166879998
2014-06-20,801760,873.74,881.99,868.12,878.35,3.22923516,60.790077453500004
2014-06-23,801760,879.26,898.03,878.78,893.5,3.93768604,76.0485321899
2014-06-24,801760,892.91,901.41,892.73,899.26,4.40239862,76.0911029329
2014-06-25,801760,898.81,898.81,889.75,894.67,4.40263281,78.355478175
2014-06-26,801760,893.32,909.75,893.31,905.26,5.02314948,88.90670138860001
2014-06-27,801760,907.06,913.22,904.77,909.27,4.97191312,93.5237590373
2014-06-30,801760,909.94,913.25,901.59,913.25,5.39573278,99.3897212151
2014-07-01,801760,914.09,923.2,910.16,922.24,6.28331916,110.7996731842
2014-07-02,801760,921.92,927.56,915.74,925.01,5.99479536,114.0536840901
2014-07-03,801760,923.92,925.3,919.41,920.82,5.57418175,106.06134697639999
2014-07-04,801760,921.96,923.23,914.53,920.78,6.27376358,113.2302549267
