日期,index_code,open,high,low,close,volume,amount
2014-02-21,801740,998.18,1008.91,989.96,1001.27,2.75118915,35.4818775496
2014-02-24,801740,996.07,996.07,983.33,989.16,2.90489367,38.6428628148
2014-02-25,801740,989.8,992.98,926.77,934.96,4.32237363,59.87621001390001
2014-02-26,801740,926.73,930.43,905.74,929.9,2.62430634,33.9396681942
2014-02-27,801740,933.1,961.87,931.57,935.6,3.62102669,44.641420752100004
2014-02-28,801740,932.08,948.91,922.38,948.22,2.41119382,29.141194460999998
2014-03-03,801740,962.43,976.21,962.43,972.08,3.59692513,46.768728958100006
2014-03-04,801740,969.72,985.53,961.67,980.29,3.60294761,46.1864829777
2014-03-05,801740,981.03,982.78,964.76,966.58,2.87019791,37.380728256
2014-03-06,801740,964.71,964.73,941.34,952.95,2.43076593,29.869611304899998
2014-03-07,801740,954.94,964.19,947.68,952.18,2.2961647,28.0807789298
2014-03-10,801740,941.04,941.26,901.38,904.95,3.55033481,40.0785097718
2014-03-11,801740,903.1,908.77,891.16,900.68,2.96095617,31.7218266084
2014-03-12,801740,902.29,906.21,882.11,897.35,2.84398663,28.875794196399998
2014-03-13,801740,898.43,918.97,895.48,914.61,3.32505481,38.1476230775
2014-03-14,801740,909.08,910.02,897.53,905.2,2.51134344,28.3833766165
2014-03-17,801740,911.95,922.89,907.01,922.77,2.77232767,33.0079460821
2014-03-18,801740,922.97,928.03,917.64,918.56,2.68432784,30.4119589561
2014-03-19,801740,914.26,918.13,902.47,918.06,3.28915454,33.557121803499996
2014-03-20,801740,915.0,916.99,883.7,884.37,3.197598,33.6509050843
2014-03-21,801740,880.3,902.22,871.69,900.91,3.16316623,32.8649289312
2014-03-24,801740,898.02,906.86,896.28,902.99,2.8990575,30.636407267
2014-03-25,801740,901.5,910.6,898.93,904.77,2.66348125,29.0495331819
2014-03-26,801740,904.71,905.89,893.95,897.74,1.97201512,21.8484003737
2014-03-27,801740,896.7,897.03,881.68,881.68,2.07794401,22.637309577899998
2014-03-28,801740,881.36,882.83,852.43,854.09,2.5815089,30.0351973757
2014-03-31,801740,854.28,869.74,852.32,862.86,1.99261286,22.684889787
2014-04-01,801740,861.27,872.32,858.98,869.99,1.84350101,21.0524759974
2014-04-02,801740,869.57,870.36,862.22,863.68,1.59023288,17.0146253528
2014-04-03,801740,866.33,869.74,859.57,861.87,1.54729705,17.3639946831
2014-04-04,801740,860.92,876.81,858.34,876.71,1.87442859,21.7147289344
2014-04-08,801740,875.86,913.37,875.07,909.73,3.70222167,43.4181356119
2014-04-09,801740,912.73,915.22,906.72,912.3,2.33837069,28.962411441300002
2014-04-10,801740,912.22,920.76,908.58,915.79,2.40996943,25.9620228673
