日期,index_code,open,high,low,close,volume,amount
2014-01-02,801080,1716.55,1781.02,1715.45,1777.25,11.83287948,143.9782554858
2014-01-03,801080,1773.33,1803.63,1773.26,1787.51,13.4855094,169.83655665979998
2014-01-06,801080,1785.07,1785.15,1746.49,1748.58,12.55713242,143.98237042620002
2014-01-07,801080,1741.51,1775.57,1739.95,1775.57,9.97791215,116.02652518229999
2014-01-08,801080,1777.52,1806.65,1777.32,1803.61,12.30653393,151.1316968779
2014-01-09,801080,1798.18,1807.17,1761.29,1761.29,12.29964063,145.44514828540002
2014-01-10,801080,1751.48,1757.51,1710.16,1716.74,9.87163764,119.1883843377
2014-01-13,801080,1714.08,1720.76,1696.52,1711.02,8.30987539,103.29683988069999
2014-01-14,801080,1709.7,1768.51,1685.12,1758.66,9.88857783,121.24063862950001
2014-01-15,801080,1758.2,1795.56,1758.15,1795.21,11.75599156,157.0324135613
2014-01-16,801080,1796.33,1809.87,1779.06,1783.28,11.14608102,146.241780861
2014-01-17,801080,1776.43,1781.29,1763.74,1767.53,9.63995171,131.61141917129999
2014-01-20,801080,1760.45,1777.02,1732.84,1743.01,8.80060151,113.67906129110001
2014-01-21,801080,1740.05,1778.44,1739.73,1778.44,10.01751944,129.567907855
2014-01-22,801080,1777.21,1811.62,1776.7,1811.62,12.3283919,156.6480477659
2014-01-23,801080,1810.46,1829.95,1807.68,1823.47,11.89601007,153.8512159673
2014-01-24,801080,1817.89,1854.08,1817.19,1851.85,12.83616322,167.91373241280002
2014-01-27,801080,1847.21,1872.45,1840.56,1853.95,15.11346535,170.8623418193
2014-01-28,801080,1850.72,1858.92,1807.84,1820.01,10.32231366,129.6495122467
2014-01-29,801080,1817.39,1833.96,1815.28,1832.4,8.67064,113.3050869952
2014-01-30,801080,1827.58,1830.86,1811.72,1816.27,9.30237228,114.8256799001
2014-02-07,801080,1803.29,1882.79,1800.96,1882.79,12.40465952,147.66377379440002
2014-02-10,801080,1894.63,1944.53,1894.63,1942.11,18.26026744,224.85079676830003
2014-02-11,801080,1945.06,1956.48,1905.54,1936.12,17.3243974,213.1615786157
2014-02-12,801080,1937.71,1970.42,1930.42,1970.42,16.60747369,209.5747047547
2014-02-13,801080,1967.59,1981.5,1935.78,1935.78,18.27883743,222.4005458665
2014-02-14,801080,1931.81,1966.59,1921.36,1966.59,13.24604477,166.417438523
2014-02-17,801080,1973.13,2007.33,1964.56,2007.33,17.79859031,231.4108439321
2014-02-18,801080,2010.79,2021.06,1993.53,2010.0,18.69157496,247.08018079389998
2014-02-19,801080,2009.15,2014.86,1981.21,1992.17,17.96852958,207.8507129472
2014-02-20,801080,1995.77,1998.12,1945.37,1963.06,20.41341519,210.2152457765
2014-02-21,801080,1960.59,1972.43,1932.93,1955.02,14.36973232,164.01773694
2014-02-24,801080,1951.34,1995.45,1941.99,1995.44,18.20794133,186.0599432768
2014-02-25,801080,1997.78,2005.13,1867.86,1880.02,23.14848323,258.1473019372
2014-02-26,801080,1860.78,1877.01,1820.76,1877.01,16.30795117,165.89331220379998
2014-02-27,801080,1880.63,1916.36,1833.05,1834.29,16.0047006,177.6227933214
2014-02-28,801080,1830.52,1860.37,1803.79,1859.9,12.94419841,140.2958960481
2014-03-03,801080,1861.6,1896.59,1857.01,1896.43,13.29760481,150.4900513774
2014-03-04,801080,1889.53,1897.57,1866.52,1891.69,13.48003812,157.390266401
2014-03-05,801080,1901.58,1909.95,1886.57,1891.42,11.52839385,147.9247233255
2014-03-06,801080,1886.01,1888.93,1860.31,1886.55,10.61283209,134.2292861098
2014-03-07,801080,1886.46,1898.74,1866.19,1875.4,10.78585568,135.5271123812
2014-03-10,801080,1857.26,1857.42,1785.43,1790.97,11.88244528,130.2803180766
2014-03-11,801080,1782.15,1810.81,1774.57,1792.89,9.274964,106.9536181128
2014-03-12,801080,1788.81,1810.18,1759.21,1793.24,9.08155331,106.4318327301
2014-03-13,801080,1797.24,1827.23,1796.94,1827.15,8.38509693,99.3855554131
2014-03-14,801080,1817.79,1834.51,1810.84,1827.0,8.45618755,97.7697504799
2014-03-17,801080,1828.49,1868.99,1826.14,1868.99,9.32635568,113.1269196833
2014-03-18,801080,1870.13,1882.55,1864.1,1868.45,9.5804014,122.9395939139
2014-03-19,801080,1864.6,1865.1,1835.57,1852.0,9.88730603,118.9810026273
2014-03-20,801080,1848.47,1859.04,1787.92,1787.92,11.03181625,120.6063779356
2014-03-21,801080,1775.57,1818.12,1757.02,1816.34,10.4659503,110.54644032280001
2014-03-24,801080,1815.5,1819.99,1801.44,1813.99,8.54369784,93.96927556760001
2014-03-25,801080,1807.8,1823.22,1805.38,1818.62,8.64048392,88.5282927067
2014-03-26,801080,1821.51,1851.94,1820.13,1843.09,8.81819564,102.16217374440001
2014-03-27,801080,1839.92,1839.99,1793.72,1793.72,8.73737744,105.99732597360001
2014-03-28,801080,1786.91,1793.61,1734.75,1742.22,9.72604001,109.57127742799999
2014-03-31,801080,1738.49,1752.25,1724.08,1736.34,6.44086134,71.8587437602
2014-04-01,801080,1733.95,1785.8,1733.57,1785.51,7.29594506,88.1219076166
2014-04-02,801080,1790.46,1798.2,1776.45,1785.1,7.53191235,99.13358442129999
2014-04-03,801080,1782.65,1803.86,1780.83,1791.56,6.78295825,84.19763166060001
2014-04-04,801080,1790.54,1822.68,1786.52,1822.08,7.97096203,99.38144250719999
2014-04-08,801080,1811.48,1830.11,1801.58,1830.08,8.70267687,102.77677452440001
2014-04-09,801080,1829.0,1858.64,1828.99,1856.87,9.36527558,117.5749131257
2014-04-10,801080,1859.57,1889.86,1859.57,1873.48,12.77468767,159.60531447489998
2014-04-11,801080,1860.17,1862.36,1840.54,1859.06,9.42271233,117.3555634485
2014-04-14,801080,1857.74,1871.57,1857.73,1869.5,7.95322934,101.21172474
2014-04-15,801080,1868.56,1870.18,1848.78,1854.75,10.49320618,108.0712422949
2014-04-16,801080,1848.13,1854.8,1835.11,1854.8,7.19947087,84.9969137074
2014-04-17,801080,1857.84,1880.8,1857.61,1876.3,8.4192644,109.70092912690001
2014-04-18,801080,1872.07,1886.77,1864.87,1884.51,7.64176656,99.06407953889999
2014-04-21,801080,1868.4,1902.17,1860.09,1862.69,8.99546381,117.1992522334
2014-04-22,801080,1857.59,1865.58,1801.13,1831.4,8.6951415,110.6078295965
2014-04-23,801080,1829.5,1842.47,1817.19,1827.0,5.55318948,73.5651916713
2014-04-24,801080,1824.56,1827.27,1801.75,1809.61,6.13034435,77.4218972421
2014-04-25,801080,1804.32,1812.02,1762.48,1762.56,7.00470442,81.8422707021
2014-04-28,801080,1750.99,1751.68,1701.81,1703.35,7.70118035,81.6317218367
2014-04-29,801080,1700.73,1738.39,1700.73,1737.82,5.53102052,66.7585270906
2014-04-30,801080,1735.0,1756.48,1732.62,1756.48,5.26529379,61.680445904399996
2014-05-05,801080,1752.58,1794.09,1750.16,1794.09,5.52556627,70.760585522
2014-05-06,801080,1795.0,1836.27,1793.84,1817.22,8.12330289,114.2082073707
