日期,index_code,open,high,low,close,volume,amount
2014-02-21,801790,997.86,998.7,981.99,989.24,9.62934278,111.2886973434
2014-02-24,801790,981.28,981.28,965.27,974.47,9.2931881,108.67201122819999
2014-02-25,801790,974.59,977.89,945.03,946.67,9.54805449,111.2915993536
2014-02-26,801790,941.1,946.27,932.37,943.78,7.45382497,84.8630333174
2014-02-27,801790,949.86,953.12,940.34,945.4,7.94134538,93.692535999
2014-02-28,801790,944.97,974.6,939.71,971.61,11.90728593,127.8032651509
2014-03-03,801790,965.17,967.99,957.91,962.89,9.03595464,89.15356311200001
2014-03-04,801790,961.64,965.84,955.84,963.03,8.41299609,89.07596245360001
2014-03-05,801790,966.65,966.65,951.09,952.72,7.23671452,78.4629295555
2014-03-06,801790,951.09,965.24,940.27,960.73,8.84614578,93.85422231700001
2014-03-07,801790,955.32,968.22,948.89,950.85,7.34026692,81.7571783963
2014-03-10,801790,939.68,939.8,917.48,917.65,8.04675953,87.4144956585
2014-03-11,801790,915.09,924.32,910.97,919.7,6.57974848,71.40481567149999
2014-03-12,801790,916.07,924.97,908.1,916.72,7.55477997,76.4333152088
2014-03-13,801790,920.06,935.02,917.58,926.83,7.45568966,75.12714020920001
2014-03-14,801790,922.04,928.94,917.29,921.47,5.77572571,64.5679747621
2014-03-17,801790,925.45,926.93,917.07,926.78,5.48841954,60.8399316352
2014-03-18,801790,927.82,930.45,921.74,921.96,5.59125964,59.6140082017
2014-03-19,801790,918.92,918.92,907.47,914.18,4.81547253,52.7365760417
2014-03-20,801790,913.62,924.68,904.14,904.14,5.55797327,63.627821525
2014-03-21,801790,901.09,944.82,900.52,942.58,11.5032425,126.92481908319999
2014-03-24,801790,943.76,966.77,939.71,958.12,13.75630025,146.2643308114
2014-03-25,801790,952.85,965.7,950.82,953.21,9.61254784,101.93353811700001
2014-03-26,801790,962.04,964.78,946.75,948.61,7.16751908,77.1594917705
2014-03-27,801790,946.91,958.62,933.59,943.34,9.16922861,100.70876420629999
2014-03-28,801790,940.98,949.88,936.53,941.39,7.85906626,85.9102516977
2014-03-31,801790,944.45,945.99,931.05,935.77,5.32123956,57.995085976300004
2014-04-01,801790,936.34,950.87,935.75,944.74,4.94176998,58.8399534626
2014-04-02,801790,946.04,954.13,944.18,954.08,5.55120256,68.54643401359999
2014-04-03,801790,958.69,973.54,955.12,955.36,8.80326532,100.2233199507
2014-04-04,801790,950.43,965.49,949.68,965.49,5.93001812,63.9705089372
2014-04-08,801790,962.23,993.96,961.41,991.02,12.64944036,143.9943991702
2014-04-09,801790,991.93,993.97,981.4,985.1,7.49531231,87.1306063774
2014-04-10,801790,986.06,1052.09,981.42,1036.82,22.60340124,283.88732381200003
2014-04-11,801790,1035.6,1043.63,1019.82,1023.42,15.18562076,196.3917549451
2014-04-14,801790,1022.37,1027.3,1009.51,1017.5,7.92648528,97.4026010314
2014-04-15,801790,1012.33,1012.33,993.41,995.52,8.88154083,102.16242332190001
2014-04-16,801790,993.33,1011.7,993.33,1001.62,8.84117959,90.939805509
2014-04-17,801790,1006.22,1007.68,993.65,996.98,7.45772069,77.8348813779
2014-04-18,801790,991.28,1005.48,986.09,1000.59,7.45362707,78.1493975706
2014-04-21,801790,995.89,1007.88,977.89,977.89,8.89317775,93.0597500369
2014-04-22,801790,975.54,985.47,967.32,985.47,8.63863268,89.8671241951
2014-04-23,801790,981.49,984.57,974.43,976.95,5.64101074,60.1846162008
2014-04-24,801790,975.63,986.55,973.95,979.16,5.34424708,64.0085616259
2014-04-25,801790,981.14,984.84,967.4,967.53,6.16789622,65.8809671082
2014-04-28,801790,965.26,969.5,949.45,950.24,6.66853573,71.2023719391
2014-04-29,801790,952.67,970.17,949.29,969.22,6.43476327,67.5383345284
2014-04-30,801790,968.6,970.23,964.32,968.34,4.80435668,50.7300833814
2014-05-05,801790,964.45,975.78,959.16,974.39,5.11562057,59.5340600809
2014-05-06,801790,970.14,982.99,969.77,975.11,5.46126528,57.6235821699
2014-05-07,801790,971.13,978.77,968.85,971.1,5.52934763,62.4816484779
2014-05-08,801790,969.46,994.96,967.0,974.56,7.73238024,81.2310581287
2014-05-09,801790,976.08,980.75,967.19,976.96,6.74261154,69.1593533026
2014-05-12,801790,992.38,1008.45,983.67,1003.73,13.83485219,146.6857717535
2014-05-13,801790,1001.36,1005.99,994.54,999.06,7.31239519,79.9782691609
2014-05-14,801790,1000.86,1007.5,997.64,1000.77,6.37816881,70.8843322919
2014-05-15,801790,1001.06,1002.43,980.7,982.09,7.07828157,74.9195094885
2014-05-16,801790,984.08,985.61,968.11,974.92,6.68231164,71.0231787532
2014-05-19,801790,971.16,971.18,950.66,953.21,6.44458878,72.976220948
2014-05-20,801790,960.54,963.88,953.41,956.68,4.21623285,46.9584500896
2014-05-21,801790,951.91,966.96,947.29,966.43,5.04657435,54.8919758925
2014-05-22,801790,965.87,980.02,963.23,964.17,5.81189503,63.7134113713
2014-05-23,801790,964.24,972.55,963.61,972.54,4.30730492,47.112314278999996
2014-05-26,801790,977.43,978.29,966.15,970.97,4.50695223,49.295364561099994
2014-05-27,801790,970.19,972.95,964.24,964.32,4.24035291,49.8789899427
2014-05-28,801790,965.15,982.26,962.05,981.13,7.39861258,83.7453025054
2014-05-29,801790,980.41,983.47,971.58,971.59,5.9930632,69.1990737437
2014-05-30,801790,972.39,980.57,966.96,973.29,5.65491456,64.46653728310001
2014-06-03,801790,974.53,982.86,969.79,969.79,5.16946953,61.607802499099996
2014-06-04,801790,969.1,969.1,955.37,959.82,4.75202618,53.385176674200004
2014-06-05,801790,958.76,971.58,958.13,971.3,4.48258093,55.8869257701
2014-06-06,801790,971.28,971.28,958.48,964.54,4.51963885,53.5673398355
2014-06-09,801790,959.56,974.46,958.45,963.27,4.26600894,52.2514464938
2014-06-10,801790,967.28,982.19,965.32,981.75,7.48311993,92.2765466366
2014-06-11,801790,976.72,979.61,970.92,974.28,4.9673077,57.919380206999996
2014-06-12,801790,973.02,976.9,970.16,971.41,4.36951839,56.09646448149999
2014-06-13,801790,970.97,991.69,970.97,986.59,7.5105863,93.8882466283
2014-06-16,801790,986.89,997.26,985.96,993.78,7.00211216,88.27665437479999
2014-06-17,801790,990.19,990.24,980.45,981.19,5.15759465,64.3553253611
2014-06-18,801790,981.54,984.73,975.39,975.7,4.26852849,50.0097077013
2014-06-19,801790,977.28,980.44,956.69,959.28,6.1626237,70.7377252155
2014-06-20,801790,960.22,964.44,957.25,964.44,4.45350456,50.664207874700004
2014-06-23,801790,964.36,971.34,960.43,960.59,3.66093733,44.8456870484
2014-06-24,801790,961.32,967.32,959.3,967.2,3.59000355,44.677181080699995
2014-06-25,801790,965.68,965.68,957.11,959.07,3.13763137,36.58573567
2014-06-26,801790,960.31,971.58,960.28,967.97,5.61395866,59.873766096400004
2014-06-27,801790,964.96,966.35,957.7,962.63,5.089681,58.7052393672
2014-06-30,801790,965.44,976.04,965.43,971.39,6.57050531,72.1905295955
2014-07-01,801790,975.07,976.59,966.55,969.23,4.82829419,54.9791828917
2014-07-02,801790,969.86,977.27,968.96,976.29,6.06929047,67.8942427391
2014-07-03,801790,975.63,982.3,973.57,978.96,5.95870345,66.2565415073
2014-07-04,801790,979.38,986.24,979.38,981.22,5.25467369,60.045550168199995
2014-07-07,801790,981.24,986.59,979.64,983.31,4.95127089,56.7164491116
2014-07-08,801790,981.88,984.0,976.8,982.77,4.69180173,51.7276341248
2014-07-09,801790,981.98,986.8,969.4,969.4,6.92404387,73.5366336117
2014-07-10,801790,971.16,972.57,964.64,966.41,5.83451056,63.5614637118
2014-07-11,801790,967.04,975.12,965.52,970.95,4.52381924,48.1052469285
2014-07-14,801790,972.34,985.09,971.05,985.07,6.80558118,73.2939150407
2014-07-15,801790,983.39,986.14,978.85,983.43,5.49753125,62.785452533900006
2014-07-16,801790,983.18,990.52,978.45,980.1,5.17069754,59.600027667
2014-07-17,801790,978.7,979.11,972.96,977.72,4.41955761,50.070528422200006
2014-07-18,801790,972.95,986.7,971.06,981.58,6.29058879,69.35002591989999
2014-07-21,801790,981.96,984.96,977.03,979.0,5.34957738,56.1235730351
2014-07-22,801790,978.04,995.38,977.98,994.19,9.27596751,104.094083578
2014-07-23,801790,993.84,1011.26,993.84,1006.07,10.86256602,126.8935517477
2014-07-24,801790,1006.19,1039.46,1006.19,1034.1,20.46261602,214.87362740900002
