行业代码,行业名称,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
801010.SI,农林牧渔,104,25.65,32.34,2.4,2.02
801030.SI,基础化工,409,30.1,29.11,2.67,1.39
801040.SI,钢铁,44,19.83,20.14,1.12,2.01
801050.SI,有色金属,142,28.07,22.9,3.87,1.21
801080.SI,电子,484,69.25,61.6,6.35,0.51
801880.SI,汽车,286,25.46,26.73,2.48,1.64
801110.SI,家用电器,94,15.99,16.28,2.41,3.85
801120.SI,食品饮料,124,19.88,20.3,3.81,4.24
801130.SI,纺织服饰,107,21.96,21.9,1.82,3.54
801140.SI,轻工制造,158,25.28,25.97,2.35,2.32
801150.SI,医药生物,480,30.16,29.95,2.73,1.67
801160.SI,公用事业,131,19.21,19.62,1.83,2.69
801170.SI,交通运输,126,15.81,15.53,1.27,3.44
801180.SI,房地产,99,12.76,12.69,1.15,1.7
801200.SI,商贸零售,99,29.07,26.19,2.15,1.75
801210.SI,社会服务,81,34.63,35.11,2.67,1.57
801780.SI,银行,42,6.99,6.94,0.66,5.43
801790.SI,非银金融,82,10.51,10.52,1.28,2.31
801230.SI,综合,15,132.49,130.93,4.91,0.53
801710.SI,建筑材料,72,34.13,33.47,1.86,2.64
801720.SI,建筑装饰,156,11.23,11.72,0.75,2.81
801730.SI,电力设备,369,39.06,36.66,4.01,1.07
801890.SI,机械设备,535,38.57,38.54,3.25,1.24
801740.SI,国防军工,140,73.34,65.68,4.27,0.53
801750.SI,计算机,334,55.36,52.4,4.3,1.0
801760.SI,传媒,130,29.36,28.26,2.31,2.2
801770.SI,通信,123,28.99,28.66,2.72,2.21
801950.SI,煤炭,37,19.61,19.68,1.8,4.68
801960.SI,石油石化,47,16.95,16.22,1.53,3.37
801970.SI,环保,133,25.37,23.88,1.74,1.81
801980.SI,美容护理,29,32.6,33.0,2.76,2.11
