,农林牧渔,基础化工,钢铁,有色金属,电子,汽车,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,银行,非银金融,综合,建筑材料,建筑装饰,电力设备,机械设备,国防军工,计算机,传媒,通信,煤炭
农林牧渔,1.0,0.8273005402358748,0.6546678907926634,0.7388921315389808,0.753656066385667,0.7768231604134253,0.6565485958250732,0.6504291394517993,0.8072408082140201,0.8091225300302191,0.7693105583189811,0.7954891415690408,0.7580239751677251,0.6932199710531226,0.81506383952637,0.6805125557841872,0.32220862862492605,0.5517544332712946,0.7874125202115045,0.7611758918926743,0.6977149661220509,0.8012783563919857,0.8140968320310893,0.695403395902919,0.7275592992099683,0.7527562161860757,0.738631955952,0.7261021261148323
基础化工,0.8273005402358748,1.0,0.7875192710812907,0.8698856030220238,0.8900109423938938,0.9162608753137592,0.7695127273075791,0.7155444407145258,0.9295935975342835,0.9431588178709706,0.8635961725846002,0.8990469238189912,0.8669311031500394,0.8038832633716441,0.9222138200779628,0.7758986298119683,0.4168265079964924,0.6780984860569244,0.9174591682773304,0.8973129470665098,0.8187819631765295,0.929394252627207,0.953535817653833,0.7848169339636133,0.8582811774426456,0.8740408678975471,0.8739420221960935,0.7311134099555359
钢铁,0.6546678907926634,0.7875192710812907,1.0,0.8002836098474342,0.645900348921459,0.7405132655655967,0.6470198330853543,0.5793986364204011,0.7323972307048583,0.7366484973045991,0.625672777342697,0.8021871357574386,0.790124253318283,0.7388001924192958,0.7423810656895767,0.5825267166781001,0.4749073227042998,0.6400257104653423,0.7079241242633035,0.8056403129700872,0.7844302925629263,0.713899463763311,0.7647611614405915,0.6450834321423533,0.6090279287448283,0.647079435109816,0.6622682779171043,0.6285481042047095
有色金属,0.7388921315389808,0.8698856030220238,0.8002836098474342,1.0,0.7707702952883038,0.8249012041717061,0.6753557961111044,0.6228485576584283,0.8073497034047898,0.8292461694410788,0.7223853980475192,0.815062796400148,0.7796639982110125,0.728366605579948,0.8090766158460934,0.6614279685643497,0.40290607581750454,0.6342063255175777,0.811328632021948,0.8063935758365107,0.7537744121840553,0.8286811649888947,0.8472522684396705,0.7235359355212447,0.7329492353875017,0.7558609492461881,0.7601350769875561,0.6890087089755184
电子,0.753656066385667,0.8900109423938938,0.645900348921459,0.7707702952883038,1.0,0.8585452477546887,0.7214216311125831,0.6515257640631843,0.8441781877735035,0.8869755872992795,0.8221709076197931,0.7973759520301072,0.765479347430731,0.6981247160100197,0.843893891355805,0.7357459509825839,0.32611588861782875,0.6192152113173662,0.8628682993852137,0.778426390478049,0.7103080407809715,0.9061230543707193,0.8936185670500084,0.7448000634985932,0.9087365047349759,0.88317394145785,0.9134830232500484,0.720476229916099
汽车,0.7768231604134253,0.9162608753137592,0.7405132655655967,0.8249012041717061,0.8585452477546887,1.0,0.7982422560997441,0.7191649047863474,0.874597666871296,0.8882826065673978,0.8212781301390124,0.867499316936353,0.8519485363558018,0.7874608851068371,0.8733359557444795,0.7435502880451366,0.46065025847634916,0.7025544585020816,0.8646310541258148,0.8447388559308017,0.793398509592603,0.9071767178455519,0.9105405596637318,0.7496265490182512,0.8103144660363628,0.8379153185777171,0.8366494287316729,0.7070404620007299
家用电器,0.6565485958250732,0.7695127273075791,0.6470198330853543,0.6753557961111044,0.7214216311125831,0.7982422560997441,1.0,0.7933413422912459,0.729314370421015,0.7509310882742528,0.7505853570710482,0.7409524240580722,0.7566008033514352,0.7442603804275624,0.7501462058783419,0.6957785008666897,0.5072803890309587,0.6829178832560397,0.6906430341015302,0.7599348187195157,0.6984789857954163,0.7349297685352404,0.7548292836104789,0.607301001382856,0.6453300900033035,0.6936857363277188,0.6941785979394947,0.6574615983921037
食品饮料,0.6504291394517993,0.7155444407145258,0.5793986364204011,0.6228485576584283,0.6515257640631843,0.7191649047863474,0.7933413422912459,1.0,0.6715561621016491,0.6984970976404195,0.7567157518396203,0.6820756334581788,0.7075253674998986,0.6573510322188993,0.7056216163622334,0.6960508277161658,0.46974262184447807,0.6376630415079622,0.6415171685222865,0.6986342401956267,0.6265631591074753,0.6723631776707875,0.6863010492682454,0.5403142078730075,0.5789094653613959,0.6296488608967784,0.6186567105127333,0.6186444472199142
纺织服饰,0.8072408082140201,0.9295935975342835,0.7323972307048583,0.8073497034047898,0.8441781877735035,0.874597666871296,0.729314370421015,0.6715561621016491,1.0,0.921560968671124,0.8577209387360814,0.8814367874954687,0.8501896880415398,0.788942330921824,0.924415973413649,0.7488425934325768,0.36509216452030113,0.6368160751401234,0.9066489137736905,0.8471119536779261,0.7945830022165128,0.8863912584960557,0.9273761091632573,0.765104127696252,0.8374162944029004,0.8672796910370432,0.8471067937427149,0.7330404737805755
轻工制造,0.8091225300302191,0.9431588178709706,0.7366484973045991,0.8292461694410788,0.8869755872992795,0.8882826065673978,0.7509310882742528,0.6984970976404195,0.921560968671124,1.0,0.8600729148786492,0.8649981147076535,0.8395471326853033,0.780964293310683,0.9170037474463111,0.7764507777307692,0.365242313528375,0.6387527962672115,0.9277212365186973,0.8626820999325069,0.7858111807186617,0.9121314108660635,0.9353597458778831,0.753092877388385,0.873696410552898,0.8956105419198415,0.8672474467570102,0.6864025001920374
医药生物,0.7693105583189811,0.8635961725846002,0.625672777342697,0.7223853980475192,0.8221709076197931,0.8212781301390124,0.7505853570710482,0.7567157518396203,0.8577209387360814,0.8600729148786492,1.0,0.7931264051915438,0.7821606149984982,0.6928870797848377,0.8533648667795989,0.7743506979072223,0.34674204278572596,0.6057484357966425,0.8295522955399963,0.7830050556990753,0.6932989081967633,0.8414485419614739,0.8488560600350825,0.6808506824282929,0.8056417881891996,0.8314639339235713,0.788054636643421,0.7018871777133359
公用事业,0.7954891415690408,0.8990469238189912,0.8021871357574386,0.815062796400148,0.7973759520301072,0.867499316936353,0.7409524240580722,0.6820756334581788,0.8814367874954687,0.8649981147076535,0.7931264051915438,1.0,0.8905273903087892,0.8125802778431308,0.8812501690398681,0.7130483484680492,0.4859650007017448,0.7028074030185854,0.8498973093691715,0.8562965560405451,0.8551489559103642,0.8724812260257983,0.9049327162466289,0.7694782178293016,0.7695841950664692,0.8062775336338428,0.8077697339271678,0.7204850623134534
