行业1,行业2,相关系数
农林牧渔,基础化工,0.8273005402358748
基础化工,机械设备,0.953535817653833
基础化工,轻工制造,0.9431588178709706
基础化工,纺织服饰,0.9295935975342835
基础化工,汽车,0.9162608753137592
基础化工,建筑材料,0.8973129470665098
基础化工,有色金属,0.8698856030220238
基础化工,医药生物,0.8635961725846002
钢铁,建筑材料,0.8056403129700872
电子,通信,0.9134830232500484
电子,计算机,0.9087365047349759
电子,电力设备,0.9061230543707193
汽车,家用电器,0.7982422560997441
家用电器,食品饮料,0.7933413422912459
纺织服饰,商贸零售,0.924415973413649
轻工制造,综合,0.9277212365186973
轻工制造,社会服务,0.7764507777307692
公用事业,机械设备,0.9049327162466289
公用事业,交通运输,0.8905273903087892
交通运输,建筑装饰,0.8616668091690541
房地产,建筑材料,0.8321130844141369
房地产,非银金融,0.7392779535534956
银行,非银金融,0.743412720239204
电力设备,机械设备,0.937739659401756
机械设备,国防军工,0.8208979630085554
国防军工,煤炭,0.9402404369583006
计算机,传媒,0.9244136532832677
