,当前值,中位数,标准差,状态,趋势,边际变化
建筑,0.6667,0.5333,0.1491,高景气,改善,0.0667
电力设备及新能源,0.6,0.5333,0.2145,高景气,改善,0.0222
综合金融,0.5667,0.5,0.1053,高景气,改善,0.0
通信,0.5333,0.4667,0.1718,高景气,恶化,-0.0
电力及公用事业,0.5333,0.4,0.1461,高景气,恶化,0.0
煤炭,0.5333,0.6,0.2944,中等景气,恶化,-0.1556
纺织服装,0.4667,0.4667,0.1845,中等景气,改善,0.0
石油石化,0.4667,0.5333,0.2007,中等景气,恶化,-0.0444
有色金属,0.4667,0.6,0.2632,中等景气,恶化,-0.0444
基础化工,0.4667,0.6,0.2588,中等景气,改善,0.0
家电,0.4,0.4667,0.1649,中等景气,恶化,-0.0444
国防军工,0.4,0.4667,0.1781,中等景气,恶化,-0.0889
银行,0.4,0.5333,0.1544,中等景气,恶化,-0.0667
食品饮料,0.3333,0.6,0.2223,低景气,恶化,-0.2
综合,0.3333,0.4667,0.1273,低景气,恶化,-0.0222
交通运输,0.3333,0.4667,0.1841,中等景气,恶化,-0.2222
农林牧渔,0.3333,0.4,0.2407,中等景气,改善,0.0444
商贸零售,0.3333,0.4667,0.16,中等景气,改善,0.0889
非银行金融,0.3,0.4333,0.1668,中等景气,恶化,0.0
钢铁,0.2667,0.6,0.2501,低景气,恶化,-0.1556
机械,0.2667,0.5333,0.2427,低景气,恶化,-0.0667
建材,0.2667,0.6,0.1946,低景气,改善,0.0
轻工制造,0.2667,0.6,0.2432,低景气,恶化,-0.0222
医药,0.2,0.5333,0.1779,低景气,恶化,-0.0667
消费者服务,0.2,0.4667,0.1592,低景气,恶化,-0.0667
房地产,0.2,0.4,0.1592,低景气,改善,0.0222
汽车,0.2,0.4,0.2652,中等景气,恶化,-0.1111
传媒,0.2,0.3333,0.224,中等景气,恶化,-0.0222
计算机,0.1333,0.4667,0.1851,低景气,恶化,-0.1111
电子,0.0667,0.5333,0.2098,低景气,恶化,-0.1556
