date,selected
2017-05-31,"食品饮料,石油石化,机械,钢铁"
2017-06-30,"基础化工,煤炭,有色金属,汽车"
2017-07-31,"煤炭,有色金属,石油石化,钢铁"
2017-08-31,"轻工制造,基础化工,建筑,有色金属"
2017-10-31,"建材,建筑,煤炭,有色金属"
2017-11-30,"机械,银行,有色金属,电力及公用事业"
2018-01-31,"食品饮料,有色金属,钢铁,机械"
2018-02-28,"建材,煤炭,电力设备及新能源,医药"
2018-04-27,"石油石化,电力设备及新能源,消费者服务,医药"
2018-05-31,"建筑,建材,房地产,综合金融"
2018-07-31,"建筑,银行,石油石化,建材"
2018-08-31,"石油石化,基础化工,建材,煤炭"
2018-10-31,"石油石化,基础化工,房地产,银行"
2018-11-30,"石油石化,农林牧渔,消费者服务,综合金融"
2019-01-31,"石油石化,医药,综合金融,煤炭"
2019-02-28,"农林牧渔,综合,电力及公用事业,建材"
2019-04-30,"建材,医药,综合,纺织服装"
2019-05-31,"机械,国防军工,计算机,电力设备及新能源"
2019-07-31,"机械,非银行金融,电力设备及新能源,石油石化"
2019-09-30,"农林牧渔,综合,房地产,电子"
2019-10-31,"食品饮料,农林牧渔,电子,石油石化"
2019-12-31,"轻工制造,电力设备及新能源,综合,电力及公用事业"
2020-02-28,"非银行金融,农林牧渔,通信,消费者服务"
2020-03-31,"轻工制造,电力及公用事业,电力设备及新能源,汽车"
2020-04-30,"农林牧渔,传媒,电子,建材"
2020-06-30,"传媒,建材,电力设备及新能源,汽车"
2020-07-31,"有色金属,国防军工,机械,消费者服务"
2020-08-31,"计算机,钢铁,电力设备及新能源,建材"
2020-09-30,"有色金属,建材,电子,汽车"
2020-11-30,"基础化工,医药,轻工制造,有色金属"
2020-12-31,"轻工制造,国防军工,有色金属,煤炭"
2021-02-26,"食品饮料,煤炭,有色金属,汽车"
2021-03-31,"煤炭,电子,医药,有色金属"
2021-04-30,"煤炭,石油石化,基础化工,钢铁"
2021-05-31,"轻工制造,电力及公用事业,石油石化,纺织服装"
2021-06-30,"建材,石油石化,家电,煤炭"
2021-08-31,"石油石化,煤炭,钢铁,交通运输"
2021-09-30,"银行,煤炭,消费者服务,钢铁"
2021-11-30,"煤炭,石油石化,电力设备及新能源,有色金属"
2021-12-31,"煤炭,石油石化,交通运输,钢铁"
2022-02-28,"煤炭,石油石化,钢铁,有色金属"
2022-03-31,"交通运输,石油石化,煤炭,有色金属"
2022-05-31,"家电,综合金融,建筑,纺织服装"
2022-06-30,"建筑,石油石化,煤炭,通信"
