,高景气信号收益,低景气信号收益,中性收益,标准差,中位数
煤炭,0.063845,0.01734,0.030007,0.2944,0.6
国防军工,0.041695,-0.000232,0.014426,0.1781,0.4667
农林牧渔,0.038659,0.003198,0.016802,0.2407,0.4
钢铁,0.033284,0.006725,0.016407,0.2501,0.6
食品饮料,0.031926,0.032585,0.028924,0.2223,0.6
综合金融,0.020529,-0.006482,0.004202,0.1053,0.5
电力设备及新能源,0.017638,0.020922,0.02099,0.2145,0.5333
有色金属,0.016169,0.017574,0.016114,0.2632,0.6
纺织服装,0.016136,0.004602,0.002442,0.1845,0.4667
汽车,0.014922,0.010927,0.011629,0.2652,0.4
家电,0.01397,0.019073,0.017967,0.1649,0.4667
基础化工,0.013613,0.025212,0.01671,0.2588,0.6
交通运输,0.011736,0.022614,0.011461,0.1841,0.4667
建筑,0.010256,0.001606,0.009343,0.1491,0.5333
轻工制造,0.009117,0.028686,0.009616,0.2432,0.6
石油石化,0.008184,0.005303,0.009253,0.2007,0.5333
非银行金融,0.006408,0.023364,0.018121,0.1668,0.4333
医药,0.005918,0.041452,0.014733,0.1779,0.5333
消费者服务,0.005796,0.024349,0.016375,0.1592,0.4667
银行,0.005087,0.012455,0.014108,0.1544,0.5333
建材,0.002815,0.041109,0.021091,0.1946,0.6
电力及公用事业,0.00071,0.016144,0.010566,0.1461,0.4
商贸零售,0.000379,0.009113,0.002333,0.16,0.4667
传媒,-0.000182,0.012919,0.001618,0.224,0.3333
计算机,-0.000323,0.022003,0.008713,0.1851,0.4667
电子,-0.000519,0.022988,0.017306,0.2098,0.5333
通信,-0.002916,0.016573,0.006806,0.1718,0.4667
机械,-0.00585,0.016815,0.012856,0.2427,0.5333
综合,-0.010259,0.031415,0.008081,0.1273,0.4667
房地产,-0.010596,0.028627,0.012309,0.1592,0.4
