,000016.SH,000300.SH,000905.SH,HSI.HK,SPX.GI,CBA00601.CB,CBA02001.CB,BRN0Y.ICE,,,
date,上证50,沪深300,中证500,恒生指数,标普500,中债国债总指数(总值)财富指数,中债企业债总指数(总值)财富指数,布伦特原油连续,,,
,收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),,,
2010-01-04,2514.65,3535.229,4510.527,21823.2793,1132.99,128.633,106.8714,80.48,,,
2010-01-05,2543.99,3564.038,4557.475,22279.5801,1136.52,128.6461,106.9429,80.2,,,
2010-01-06,2514.01,3541.727,4550.279,22416.6699,1137.14,128.7032,106.9795,81.96,,,
2010-01-07,2463.76,3471.456,4459.155,22269.4492,1141.69,128.6368,106.9837,81.46,,,
2010-01-08,2466.17,3480.13,4514.452,22296.75,1144.98,128.5676,106.9435,81.43,,,
2010-01-11,2478.81,3482.052,4542.949,22411.5195,1146.98,128.5874,106.9959,80.5,,,
2010-01-12,2508.04,3534.916,4639.632,22326.6406,1136.22,128.5639,106.947,78.92,,,
2010-01-13,2399.64,3421.144,4591.024,21748.5996,1145.68,128.3986,106.9135,78.83,,,
2010-01-14,2422.77,3469.051,4714.1,21716.95,1148.46,128.4262,107.0804,78.11,,,
2010-01-15,2427.81,3482.738,4747.648,21654.1602,1136.03,128.435,107.1753,77.2,,,
2010-01-18,2421.19,3500.684,4829.062,21460.0098,--,128.4907,107.2387,77.13,,,
2010-01-19,2432.71,3507.482,4830.016,21677.9805,1150.23,128.5872,107.2468,77.76,,,
2010-01-20,2359.49,3394.434,4651.074,21286.1699,1138.04,128.7067,107.4545,76.1,,,
2010-01-21,2377.75,3408.574,4667.209,20862.6699,1116.48,128.7124,107.6256,74.3,,,
2010-01-22,2380.06,3366.197,4537.88,20726.1797,1091.76,128.7902,107.8118,72.38,,,
2010-01-25,2353.471,3328.014,4481.16,20598.5508,1096.78,128.8931,107.8795,73.78,,,
2010-01-26,2311.447,3242.797,4294.383,20109.3301,1092.17,129.0173,107.9505,73.28,,,
2010-01-27,2264.605,3198.566,4267.113,20033.0703,1097.5,129.1158,108.0026,72.34,,,
2010-01-28,2252.61,3206.57,4336.381,20356.3691,1084.53,129.1861,108.0392,72.39,,,
2010-01-29,2243.994,3204.155,4374.649,20121.9902,1073.87,129.3397,108.0404,71.18,,,
2010-02-01,2208.936,3152.707,4331.366,20243.75,1089.19,129.5646,108.188,73.27,,,
2010-02-02,2214.033,3146.189,4301.768,20272.1797,1103.32,129.7153,108.2281,75.89,,,
2010-02-03,2277.798,3230.715,4363.079,20722.0801,1097.28,129.9378,108.2793,75.87,,,
2010-02-04,2261.358,3218.802,4408.441,20341.6406,1063.11,129.851,108.2587,71.63,,,
2010-02-05,2219.6,3153.087,4311.293,19665.0801,1066.19,130.0338,108.3011,70.3,,,
2010-02-08,2211.135,3150.988,4310.894,19550.8906,1056.74,130.0739,108.4584,69.92,,,
2010-02-09,2229.038,3169.19,4311.891,19790.2793,1070.52,130.0972,108.6063,72,,,
2010-02-10,2259.99,3214.13,4366.25,19922.2207,1068.13,130.1444,108.6165,72.69,,,
2010-02-11,2265.138,3220.398,4356.517,20290.6895,1078.47,130.223,108.6282,74.2,,,
2010-02-12,2284.386,3251.278,4416.219,20268.6895,1075.51,130.2426,108.6313,73.06,,,
2010-02-16,--,--,--,--,1094.87,--,--,--,,,
2010-02-17,--,--,--,20534.0098,1099.51,--,--,--,,,
2010-02-18,--,--,--,20422.1504,1106.75,--,--,--,,,
2010-02-19,--,--,--,19894.0195,1109.17,--,--,--,,,
2010-02-20,--,--,--,--,--,130.1429,108.7303,--,,,
2010-02-21,--,--,--,--,--,130.0915,108.6915,--,,,
2010-02-22,2269.045,3233.345,4419.547,20377.2695,1108.01,130.0633,108.7386,78.37,,,
2010-02-23,2227.952,3198.634,4459.155,20623,1094.6,130.0595,108.7215,77.37,,,
2010-02-24,2251.7,3244.483,4556.281,20467.7402,1105.24,130.1667,108.7713,78.5,,,
2010-02-25,2282.64,3292.128,4629.965,20399.57,1102.94,130.3948,108.8865,76.45,,,
2010-02-26,2274.325,3281.666,4634.671,20608.6992,1104.49,130.9049,109.1938,77.65,,,
2010-03-01,2311.075,3324.423,4686.266,21056.9297,1115.71,131.1311,109.2595,77.07,,,
2010-03-02,2302.185,3311.236,4690.293,20906.1094,1118.31,131.2365,109.3166,78.21,,,
2010-03-03,2311.841,3335.081,4758.434,20876.7891,1118.79,131.4959,109.5268,79.5,,,
2010-03-04,2261.926,3250.573,4586.523,20575.7793,1122.97,131.3342,109.5682,79,,,
2010-03-05,2267.939,3259.764,4604.586,20787.9707,1138.7,131.4434,109.7602,80.16,,,
2010-03-08,2284.682,3286.178,4654.583,21196.8691,1138.5,131.5799,109.9223,80.44,,,
2010-03-09,2302.393,3305.863,4660.126,21207.5508,1140.45,131.6048,109.9127,79.8,,,
2010-03-10,2292.503,3279.694,4598.994,21208.2891,1145.61,131.6352,110.1298,80.42,,,
2010-03-11,2300.043,3276.705,4562.872,21228.1992,1150.24,131.4396,110.263,80.39,,,
2010-03-12,2274.532,3233.126,4492.861,21209.7402,1149.99,131.416,110.3234,80.04,,,
2010-03-15,2240.731,3183.183,4454.76,21079.0996,1150.51,131.3868,110.3924,78.75,,,
2010-03-16,2261.515,3203.971,4491.465,21022.9297,1159.46,131.4073,110.409,80.85,,,
2010-03-17,2307.083,3273.916,4616.053,21384.4902,1166.21,131.6789,110.3688,81.85,,,
2010-03-18,2294.947,3267.555,4630.953,21330.6699,1165.83,131.7866,110.4194,81.49,,,
2010-03-19,2310.546,3293.871,4663.903,21370.8203,1159.9,131.7917,110.4971,79.8,,,
2010-03-22,2316.631,3302.628,4690.198,20933.25,1165.81,131.6992,110.4743,80.73,,,
2010-03-23,2292.004,3275.573,4658.626,20987.7793,1174.17,131.6681,110.5315,80.32,,,
2010-03-24,2291.833,3276.669,4683.065,21008.6191,1167.72,131.7258,110.582,79.3,,,
2010-03-25,2259.141,3229.128,4620.749,20778.5508,1165.73,131.6257,110.6264,79.6,,,
2010-03-26,2292.673,3275.002,4686.931,21053.1094,1166.59,131.4971,110.6396,79.36,,,
2010-03-29,2363.976,3358.54,4723.611,21237.4297,1173.22,131.4395,110.656,81.17,,,
2010-03-30,2368.51,3366.708,4744.423,21374.79,1173.27,131.2697,110.6892,81.28,,,
2010-03-31,2350.818,3345.607,4756.157,21239.3496,1169.43,131.3925,110.7487,82.7,,,
2010-04-01,2376.597,3391.935,4827.214,21537,1178.1,131.4357,110.7233,84.01,,,
2010-04-02,2379.194,3407.346,4843.175,--,--,131.361,110.8355,--,,,
2010-04-05,--,--,--,--,1187.44,--,--,85.88,,,
2010-04-06,2378.575,3405.145,4852.904,--,1189.44,131.4463,110.8881,86.15,,,
2010-04-07,2362.281,3386.949,4863.639,21928.7695,1182.45,131.2543,110.8099,85.59,,,
2010-04-08,2325.672,3346.744,4864.922,21867.0391,1186.44,131.033,110.743,84.81,,,
2010-04-09,2345.754,3379.17,4939.176,22208.5,1194.37,131.024,110.7963,84.93,,,
2010-04-12,2317.383,3351.478,4976.38,22138.17,1196.48,131.0697,110.8592,85.52,,,
2010-04-13,2364.837,3391.716,4919.873,22103.5293,1197.3,131.2269,110.8951,85.36,,,
2010-04-14,2366.611,3403.707,4977.508,22121.4297,1210.65,131.208,110.9284,86.95,,,
2010-04-15,2366.572,3394.574,4914.747,22157.8203,1211.67,131.2478,110.9866,87.57,,,
2010-04-16,2329.12,3356.332,4898.67,21865.2598,1192.13,131.3099,111.0129,86.03,,,
2010-04-19,2210.82,3176.423,4688.836,21405.1699,1197.52,131.606,111.102,84.5,,,
2010-04-20,2204.812,3173.374,4749.934,21623.3809,1207.17,131.7591,111.1831,85.05,,,
2010-04-21,2238.501,3236.679,4893.978,21510.9297,1205.94,131.7773,111.2484,85.69,,,
2010-04-22,2196.224,3201.541,4902.405,21454.9395,1208.67,131.8372,111.2937,85.67,,,
2010-04-23,2185.155,3190.003,4864.164,21244.49,1217.28,131.968,111.4581,87.21,,,
2010-04-26,2170.319,3171.997,4866.553,21587.0605,1212.05,132.1685,111.5219,86.62,,,
2010-04-27,2131.841,3108.409,4739.269,21261.7891,1183.71,132.1965,111.5961,85.2,,,
2010-04-28,2126.529,3097.353,4714.432,20949.4004,1191.36,132.2931,111.6525,86.3,,,
2010-04-29,2124.392,3060.064,4561.4,20778.9199,1206.78,132.3182,111.7116,87.15,,,
2010-04-30,2149.453,3067.365,4438.681,21108.5898,1186.69,132.3737,111.7426,87.47,,,
2010-05-03,--,--,--,20811.3594,1202.26,--,--,--,,,
2010-05-04,2109.812,3019.449,4434.131,20763.0508,1173.6,132.3334,111.6768,85.2,,,
2010-05-05,2110.045,3036.394,4564.807,20327.5391,1165.87,132.301,111.6679,82.34,,,
2010-05-06,2007.012,2896.856,4419.781,20133.4102,1128.15,132.3817,111.7688,79.83,,,
2010-05-07,1980.168,2836.789,4350.758,19920.2891,1110.88,132.7794,111.913,78.58,,,
2010-05-10,2007.522,2858.233,4269.108,20426.6406,1159.73,132.7566,111.9711,80.65,,,
2010-05-11,1967.66,2800.817,4144.352,20146.5098,1155.79,132.8023,111.9532,80.38,,,
2010-05-12,2001.131,2818.16,4042.516,20212.4902,1171.67,132.9485,111.9795,82.38,,,
2010-05-13,2041.556,2886.911,4157.842,20422.4609,1157.44,133.0255,112.0669,81.06,,,
