week_start,net_flow,week_end,industry,year,week,rolling_percentile
2018-01-01,-371474.07875675464,2018-01-05,交通运输,2018,1,
2018-01-08,911432.7749923854,2018-01-12,交通运输,2018,2,1.0
2018-01-15,3082274.10676512,2018-01-19,交通运输,2018,3,1.0
2018-01-22,-3185201.541353464,2018-01-26,交通运输,2018,4,0.0
2018-01-29,-89430.05311389384,2018-02-02,交通运输,2018,5,0.5
2018-02-05,2444998.5088133477,2018-02-09,交通运输,2018,6,0.8
2018-02-12,-1348990.7865638493,2018-02-16,交通运输,2018,7,0.16666666666666666
2018-02-19,-2581607.7664516424,2018-02-23,交通运输,2018,8,0.14285714285714285
2018-02-26,191585.62184538867,2018-03-02,交通运输,2018,9,0.625
2018-03-05,2527466.804426318,2018-03-09,交通运输,2018,10,0.8888888888888888
2018-03-12,1753857.4618523438,2018-03-16,交通运输,2018,11,0.7
2018-03-19,-4980643.312571484,2018-03-23,交通运输,2018,12,0.0
2018-03-26,2630783.837177275,2018-03-30,交通运输,2018,13,0.9166666666666666
2018-04-02,-283597.2687631195,2018-04-06,交通运输,2018,14,0.38461538461538464
2018-04-09,1691743.647757214,2018-04-13,交通运输,2018,15,0.6428571428571429
2018-04-16,-5861595.989571645,2018-04-20,交通运输,2018,16,0.0
2018-04-23,-350081.9518902956,2018-04-27,交通运输,2018,17,0.375
2018-04-30,-2047775.4139073403,2018-05-04,交通运输,2018,18,0.23529411764705882
2018-05-07,-1080349.9841180365,2018-05-11,交通运输,2018,19,0.3333333333333333
2018-05-14,-17178.09279764176,2018-05-18,交通运输,2018,20,0.5789473684210527
2018-05-21,6291525.370387388,2018-05-25,交通运输,2018,21,1.0
2018-05-28,1720094.5645834378,2018-06-01,交通运输,2018,22,0.7142857142857143
2018-06-04,1166524.0339407127,2018-06-08,交通运输,2018,23,0.6363636363636364
2018-06-11,3728496.9010107135,2018-06-15,交通运输,2018,24,0.9565217391304348
2018-06-18,2862112.807622019,2018-06-22,交通运输,2018,25,0.875
2018-06-25,-221114.86821730333,2018-06-29,交通运输,2018,26,0.4
2018-07-02,-2057659.4841459359,2018-07-06,交通运输,2018,27,0.15384615384615385
2018-07-09,1262949.742422211,2018-07-13,交通运输,2018,28,0.6296296296296297
