date,industry,week_end,signal,signal_type
2018-01-08,传媒,2018-01-12,1,long
2018-01-08,农林牧渔,2018-01-12,1,long
2018-01-08,医药生物,2018-01-12,1,long
2018-01-08,国防军工,2018-01-12,1,long
2018-01-08,家用电器,2018-01-12,1,long
2018-01-08,建筑材料,2018-01-12,1,long
2018-01-08,有色金属,2018-01-12,1,long
2018-01-08,汽车,2018-01-12,1,long
2018-01-08,电力设备,2018-01-12,1,long
2018-01-08,钢铁,2018-01-12,1,long
2018-01-15,农林牧渔,2018-01-19,1,long
2018-01-15,医药生物,2018-01-19,1,long
2018-01-15,国防军工,2018-01-19,1,long
2018-01-15,基础化工,2018-01-19,1,long
2018-01-15,家用电器,2018-01-19,1,long
2018-01-15,房地产,2018-01-19,1,long
2018-01-15,煤炭,2018-01-19,1,long
2018-01-15,通信,2018-01-19,1,long
2018-01-15,银行,2018-01-19,1,long
2018-01-22,交通运输,2018-01-26,1,long
2018-01-22,医药生物,2018-01-26,1,long
2018-01-22,家用电器,2018-01-26,1,long
2018-01-22,有色金属,2018-01-26,1,long
2018-01-22,电力设备,2018-01-26,1,long
2018-01-22,钢铁,2018-01-26,1,long
2018-01-29,公用事业,2018-02-02,1,long
2018-01-29,煤炭,2018-02-02,1,long
2018-02-05,传媒,2018-02-09,1,long
2018-02-12,计算机,2018-02-16,1,long
2018-02-12,通信,2018-02-16,1,long
2018-02-12,银行,2018-02-16,1,long
2018-02-12,食品饮料,2018-02-16,1,long
2018-02-26,传媒,2018-03-02,1,long
2018-02-26,基础化工,2018-03-02,1,long
2018-02-26,建筑材料,2018-03-02,1,long
2018-02-26,房地产,2018-03-02,1,long
2018-02-26,计算机,2018-03-02,1,long
2018-02-26,银行,2018-03-02,1,long
2018-02-26,非银金融,2018-03-02,1,long
2018-03-12,有色金属,2018-03-16,1,long
2018-03-19,交通运输,2018-03-23,1,long
2018-03-26,公用事业,2018-03-30,1,long
2018-03-26,电子,2018-03-30,1,long
2018-04-09,食品饮料,2018-04-13,1,long
2018-04-16,交通运输,2018-04-20,1,long
2018-04-23,电力设备,2018-04-27,1,long
2018-05-07,汽车,2018-05-11,1,long
2018-05-28,公用事业,2018-06-01,1,long
2018-05-28,家用电器,2018-06-01,1,long
2018-05-28,建筑材料,2018-06-01,1,long
2018-05-28,非银金融,2018-06-01,1,long
2018-05-28,食品饮料,2018-06-01,1,long
2018-06-11,传媒,2018-06-15,1,long
2018-06-11,电子,2018-06-15,1,long
2018-06-11,计算机,2018-06-15,1,long
2018-07-02,通信,2018-07-06,1,long
2018-07-09,公用事业,2018-07-13,1,long
2018-07-09,电子,2018-07-13,1,long
2018-08-06,传媒,2018-08-10,1,long
2018-08-06,农林牧渔,2018-08-10,1,long
2018-08-20,农林牧渔,2018-08-24,1,long
2018-08-27,银行,2018-08-31,1,long
2018-09-17,非银金融,2018-09-21,1,long
2018-09-24,房地产,2018-09-28,1,long
2018-10-01,医药生物,2018-10-05,1,long
2018-10-08,传媒,2018-10-12,1,long
2018-10-08,计算机,2018-10-12,1,long
2018-10-08,钢铁,2018-10-12,1,long
2018-10-15,有色金属,2018-10-19,1,long
2018-10-29,传媒,2018-11-02,1,long
2018-10-29,国防军工,2018-11-02,1,long
2018-10-29,房地产,2018-11-02,1,long
2018-10-29,食品饮料,2018-11-02,1,long
2018-11-12,电子,2018-11-16,1,long
2018-11-19,银行,2018-11-23,1,long
2018-11-26,公用事业,2018-11-30,1,long
2018-11-26,通信,2018-11-30,1,long
2018-12-10,银行,2018-12-14,1,long
2018-12-17,非银金融,2018-12-21,1,long
2018-12-24,国防军工,2018-12-28,1,long
2018-12-31,非银金融,2019-01-04,1,long
2019-02-11,农林牧渔,2019-02-15,1,long
2019-02-11,基础化工,2019-02-15,1,long
2019-02-11,建筑材料,2019-02-15,1,long
2019-02-11,汽车,2019-02-15,1,long
2019-02-18,农林牧渔,2019-02-22,1,long
2019-03-04,电子,2019-03-08,1,long
2019-03-11,房地产,2019-03-15,1,long
2019-03-11,煤炭,2019-03-15,1,long
2019-03-18,钢铁,2019-03-22,1,long
2019-04-01,农林牧渔,2019-04-05,1,long
2019-04-15,公用事业,2019-04-19,1,long
2019-04-15,汽车,2019-04-19,1,long
2019-04-22,公用事业,2019-04-26,1,long
2019-04-22,钢铁,2019-04-26,1,long
2019-04-29,传媒,2019-05-03,1,long
2019-05-06,汽车,2019-05-10,1,long
2019-05-13,有色金属,2019-05-17,1,long
2019-05-20,房地产,2019-05-24,1,long
2019-05-20,非银金融,2019-05-24,1,long
2019-05-27,基础化工,2019-05-31,1,long
2019-06-10,银行,2019-06-14,1,long
2019-06-17,交通运输,2019-06-21,1,long
2019-07-01,房地产,2019-07-05,1,long
2019-07-01,有色金属,2019-07-05,1,long
2019-07-08,建筑材料,2019-07-12,1,long
2019-07-08,计算机,2019-07-12,1,long
2019-07-22,汽车,2019-07-26,1,long
2019-07-22,通信,2019-07-26,1,long
2019-08-12,电力设备,2019-08-16,1,long
2019-08-19,家用电器,2019-08-23,1,long
2019-08-26,基础化工,2019-08-30,1,long
2019-08-26,煤炭,2019-08-30,1,long
2019-09-09,公用事业,2019-09-13,1,long
2019-09-30,电力设备,2019-10-04,1,long
2019-10-07,汽车,2019-10-11,1,long
2019-10-07,电子,2019-10-11,1,long
2019-10-07,钢铁,2019-10-11,1,long
2019-10-07,非银金融,2019-10-11,1,long
2019-10-14,公用事业,2019-10-18,1,long
2019-10-14,计算机,2019-10-18,1,long
2019-10-21,食品饮料,2019-10-25,1,long
2019-10-28,有色金属,2019-11-01,1,long
2019-10-28,食品饮料,2019-11-01,1,long
2019-11-04,汽车,2019-11-08,1,long
2019-11-04,电力设备,2019-11-08,1,long
2019-11-11,传媒,2019-11-15,1,long
2019-11-25,交通运输,2019-11-29,1,long
2019-11-25,基础化工,2019-11-29,1,long
2019-11-25,电子,2019-11-29,1,long
2019-12-02,医药生物,2019-12-06,1,long
2019-12-02,房地产,2019-12-06,1,long
2019-12-09,建筑材料,2019-12-13,1,long
2019-12-09,电子,2019-12-13,1,long
2019-12-23,食品饮料,2019-12-27,1,long
2020-01-06,非银金融,2020-01-10,1,long
2020-01-06,食品饮料,2020-01-10,1,long
2020-01-13,有色金属,2020-01-17,1,long
2020-01-13,非银金融,2020-01-17,1,long
2020-01-20,国防军工,2020-01-24,1,long
2020-01-20,通信,2020-01-24,1,long
2020-01-27,交通运输,2020-01-31,1,long
2020-01-27,汽车,2020-01-31,1,long
2020-02-03,建筑材料,2020-02-07,1,long
2020-02-10,医药生物,2020-02-14,1,long
2020-02-10,银行,2020-02-14,1,long
2020-02-17,交通运输,2020-02-21,1,long
2020-02-24,电子,2020-02-28,1,long
2020-02-24,计算机,2020-02-28,1,long
2020-03-02,基础化工,2020-03-06,1,long
2020-03-09,煤炭,2020-03-13,1,long
2020-03-23,国防军工,2020-03-27,1,long
2020-03-23,电力设备,2020-03-27,1,long
2020-03-30,传媒,2020-04-03,1,long
2020-03-30,公用事业,2020-04-03,1,long
2020-04-06,汽车,2020-04-10,1,long
2020-04-13,食品饮料,2020-04-17,1,long
2020-04-27,公用事业,2020-05-01,1,long
2020-05-11,交通运输,2020-05-15,1,long
2020-05-11,农林牧渔,2020-05-15,1,long
2020-05-11,国防军工,2020-05-15,1,long
2020-05-18,家用电器,2020-05-22,1,long
2020-05-25,通信,2020-05-29,1,long
2020-06-08,交通运输,2020-06-12,1,long
2020-06-08,建筑材料,2020-06-12,1,long
2020-06-15,国防军工,2020-06-19,1,long
2020-06-15,电子,2020-06-19,1,long
2020-06-22,医药生物,2020-06-26,1,long
2020-06-29,传媒,2020-07-03,1,long
2020-07-13,农林牧渔,2020-07-17,1,long
2020-07-13,国防军工,2020-07-17,1,long
2020-07-20,有色金属,2020-07-24,1,long
2020-07-27,食品饮料,2020-07-31,1,long
2020-08-10,计算机,2020-08-14,1,long
2020-08-17,国防军工,2020-08-21,1,long
2020-09-07,医药生物,2020-09-11,1,long
2020-09-14,医药生物,2020-09-18,1,long
2020-09-21,银行,2020-09-25,1,long
2020-09-28,农林牧渔,2020-10-02,1,long
2020-09-28,建筑材料,2020-10-02,1,long
2020-10-05,煤炭,2020-10-09,1,long
2020-10-12,有色金属,2020-10-16,1,long
2020-10-19,基础化工,2020-10-23,1,long
2020-10-26,传媒,2020-10-30,1,long
2020-10-26,国防军工,2020-10-30,1,long
2020-11-02,医药生物,2020-11-06,1,long
2020-11-02,汽车,2020-11-06,1,long
2020-11-02,银行,2020-11-06,1,long
2020-11-02,食品饮料,2020-11-06,1,long
