year,signal_type,annual_return,threshold
2018,long,-10.260932726352301,5pct
2018,short,-6.679677333954482,5pct
2019,long,4.149477631269627,5pct
2019,short,-1.0006602143018184,5pct
2020,long,-18.025707937675904,5pct
2020,short,28.00329538335349,5pct
2021,long,46.75212751781015,5pct
2021,short,29.86167375388824,5pct
2022,long,-4.007061410984514,5pct
2022,short,1.6369247593281955,5pct
2023,long,-8.256951296821036,5pct
2023,short,-8.362933614987123,5pct
2024,long,-11.498774435980085,5pct
2024,short,-14.852799072505874,5pct
2018,long,-10.239329159339105,10pct
2018,short,-4.804660222183443,10pct
2019,long,19.268796637989926,10pct
2019,short,5.143658562825126,10pct
2020,long,-4.51594576198463,10pct
2020,short,25.379581711935973,10pct
2021,long,58.539593085193495,10pct
2021,short,2.2941461312764977,10pct
2022,long,-5.531758297778088,10pct
2022,short,-1.4635370313826002,10pct
2023,long,-14.631891236552086,10pct
2023,short,-0.2760472597157726,10pct
2024,long,-16.417516309636294,10pct
2024,short,-14.51808703719719,10pct
