date,钢铁流通业采购经理人指数:总指数,黑色金属冶炼和压延加工业:亏损企业单位数,制造业PMI:进口,制造业PMI:新出口订单,制造业PMI:采购量,制造业PMI:新订单,制造业PMI:原材料库存,制造业PMI:生产,PPI:生产资料:环比,PPIRM:环比,PPIRM:黑色金属材料:环比,CGPI:环比,钢材综合价格指数(CSPI):月:最后一条:1994年4月=100,钢材综合价格指数(CSPI):长材:当月值,钢材综合价格指数(CSPI):螺纹钢16mm:当月值,钢材综合价格指数(CSPI):板材:当月值,钢材综合价格指数(CSPI):热轧卷板3.0mm:当月值,钢材综合价格指数(CSPI):冷轧薄板1.0mm:当月值,PPI:黑色金属矿采选业:环比,PPI:黑色金属冶炼和压延加工业:环比,港口库存:铁矿石:月:最后一条:万吨,铁路货运量:当月值,水运货运量:当月值,钢材:出口金额(美元计价):当月值:亿元,(停)城镇固定资产投资完成额:黑色金属矿采选业:累计值,"锰矿砂及其精矿,包括以干重计锰含量≥20%的含铁锰矿砂及其精矿(2602):进口金额:当月值:亿元",钢材:进口金额(美元计价):累计值:亿元,钢材:进口金额(美元计价):当月值:亿元,产量:挖掘机:当月值,房屋新开工面积:累计值,房地产开发投资:累计值
2010-01-31,,,53.4,53.2,60.5,59.9,52.2,60.5,,,,,109.18,111.97,,109.52,,,,,,30628.0,28779.0,152.53,,,102.62,102.62,11304.0,,
2010-02-28,,1841.0,49.1,50.3,51.9,53.7,48.1,54.3,,,,,109.16,111.82,,109.79,,,,,,27918.0,23640.0,132.56,26.36,,190.08,87.36,10962.0,14914.32,3143.64
2010-03-31,,,53.7,54.5,58.1,58.1,50.6,58.4,,,,,116.81,120.09,,119.08,,,,,,31593.0,29421.0,175.95,102.04,,317.9,127.83,19067.0,32288.6,6594.45
2010-04-30,,,53.1,54.5,60.1,59.3,51.5,59.1,,,,,125.98,130.71,,127.53,,,,,,29824.0,30514.0,223.71,154.65,,442.28,124.38,19605.0,45686.81,9932.05
2010-05-31,,1589.0,50.9,53.8,56.0,54.8,51.0,58.2,,,,,120.4,122.19,,120.98,,,,,,31008.0,31303.0,272.02,268.45,,556.32,114.04,17927.0,61462.64,13917.41
2010-06-30,,,50.4,51.7,53.5,52.1,49.4,55.8,,,,,115.89,116.95,,115.73,,,,,,29994.0,31174.0,323.15,414.92,,682.52,126.2,15924.0,80450.94,19747.12
2010-07-31,,,49.3,51.2,52.2,50.9,47.8,52.7,,,,,113.49,115.56,,114.08,,,,,,30814.0,30659.0,274.74,517.03,,805.05,122.51,14314.0,92183.27,23864.77
2010-08-31,,1622.0,48.4,52.2,51.9,53.1,47.3,53.1,,,,,116.56,120.94,,116.59,,,,,,30700.0,31900.0,186.65,613.44,,922.4,117.34,12726.0,104847.46,28355.05
2010-09-30,,,52.9,52.7,56.2,56.3,49.1,56.4,,,,,119.43,125.78,,119.36,,,,,,29919.0,32281.0,194.86,721.1,,1037.48,115.09,13006.0,119441.0,33511.25
2010-10-31,43.0,,52.8,52.6,58.3,58.2,49.5,57.1,,,,,121.32,125.34,122.61,119.11,116.55,114.38,,,,31308.0,33810.0,186.23,819.88,,1135.48,98.01,15435.0,131756.46,38069.52
2010-11-30,50.7,1426.0,50.6,53.2,57.4,58.3,49.7,58.5,,,,,124.51,131.11,129.76,120.5,118.08,114.93,,,,30435.0,32831.0,201.42,930.26,,1255.29,119.77,17874.0,145130.0,42697.33
2010-12-31,42.8,,50.4,53.5,56.8,55.4,50.8,57.5,,,,,128.29,134.75,133.41,124.52,122.72,116.93,,,,30850.0,27387.0,199.34,1066.22,,1377.74,122.35,23011.0,163776.67,48267.07
2011-01-31,33.6,,53.0,50.7,57.7,54.9,52.0,55.3,,,,,132.81,138.73,137.66,129.86,129.39,120.11,,,,32695.0,31169.0,219.54,,,138.84,138.84,17862.0,,
2011-02-28,25.79,1336.0,53.9,50.9,54.5,54.3,49.5,53.8,,,,,135.65,141.72,140.28,132.7,132.05,121.45,,,,29448.0,27654.0,170.47,36.35,,229.97,91.13,17918.0,19082.79,4250.37
2011-03-31,72.72,1403.0,52.0,52.5,54.1,55.2,51.6,55.7,,,,,131.23,136.67,134.12,128.2,126.76,119.67,,,,33042.0,34637.0,324.65,116.91,,373.48,143.73,27547.0,39842.43,8846.36
2011-04-30,71.42,1375.0,50.6,51.3,53.8,53.8,52.0,55.3,,,,,134.73,140.8,140.19,131.64,131.34,120.33,,,,31153.0,35602.0,331.24,205.82,,505.69,132.25,24246.0,56840.51,13340.16
2011-05-31,47.53,1327.0,50.5,51.1,53.6,52.1,49.5,54.9,,,,,135.93,143.0,143.22,131.92,131.19,119.9,,,,32985.0,36469.0,341.89,336.61,,632.27,126.53,24514.0,76118.16,18737.23
2011-06-30,25.16,1323.0,48.7,50.5,51.5,50.8,48.5,53.1,-0.1,0.2,0.0,,134.4,141.76,141.19,129.82,128.5,117.29,,,,32133.0,35553.0,317.73,512.91,,752.02,119.8,16055.0,99442.59,26250.45
2011-07-31,49.43,1309.0,49.1,50.4,52.0,51.1,47.6,52.1,0.0,0.1,0.0,,134.64,142.43,142.39,129.81,129.05,116.82,,,,32686.0,36761.0,332.12,629.48,,873.41,121.34,11860.0,115169.16,31873.03
2011-08-31,49.67,1303.0,49.7,48.3,51.2,51.1,48.8,52.3,0.1,0.2,0.4,,135.23,143.37,142.42,130.35,129.49,118.16,,,,32497.0,36841.0,314.99,759.11,,1004.44,131.06,9972.0,131880.67,37780.84
2011-09-30,27.97,1292.0,50.1,50.9,51.5,51.3,49.0,52.7,-0.1,0.1,0.2,,132.3,139.47,136.89,127.98,125.9,118.01,,,,32428.0,37528.0,308.79,905.28,,1133.33,129.29,10580.0,147774.69,44224.84
2011-10-31,22.44,1293.0,47.0,48.6,50.7,50.5,48.5,52.3,-0.8,-0.7,-0.8,,122.72,127.79,122.38,119.17,114.98,114.0,,,,33410.0,37734.0,277.67,1028.84,,1247.15,113.96,10615.0,160362.19,49922.82
2011-11-30,28.5,1297.0,47.3,45.6,49.8,47.8,46.7,50.9,-0.9,-0.7,-2.0,,122.33,128.82,125.77,117.81,114.9,112.98,,,,32446.0,37013.0,305.58,1145.34,,1365.8,118.7,10533.0,174951.75,55483.03
2011-12-31,21.1,1146.0,49.1,48.6,50.9,49.8,48.3,53.4,-0.4,-0.4,-1.2,,120.45,126.49,123.4,116.29,114.38,111.62,,,,33098.0,36289.0,269.62,1250.91,,1477.99,113.19,11983.0,190082.7,61739.78
