date,石油石化ROE_TTM,煤炭ROE_TTM,有色金属ROE_TTM,电力及公用事业ROE_TTM,钢铁ROE_TTM,基础化工ROE_TTM,建筑ROE_TTM,建材ROE_TTM,轻工制造ROE_TTM,机械ROE_TTM,电力设备及新能源ROE_TTM,国防军工ROE_TTM,汽车ROE_TTM,商贸零售ROE_TTM,消费者服务ROE_TTM,家电ROE_TTM,纺织服装ROE_TTM,医药ROE_TTM,食品饮料ROE_TTM,农林牧渔ROE_TTM,银行ROE_TTM,非银行金融ROE_TTM,房地产ROE_TTM,交通运输ROE_TTM,电子ROE_TTM,通信ROE_TTM,计算机ROE_TTM,传媒ROE_TTM,综合ROE_TTM,综合金融ROE_TTM
2010/1/29,13.28294845,15.60356849,3.870018692,7.879637255,2.377245269,3.934032004,10.86218592,10.07518869,6.582149214,10.57848486,13.35951828,6.91774014,13.94349276,10.05436306,7.666249295,13.99043119,8.69300827,14.81862711,18.38482336,6.978529228,17.89863174,14.30309017,11.72518877,4.99374007,0.152015831,7.539087083,10.92900718,6.995151345,6.850400909,0
2010/2/26,13.29334083,15.60356849,3.89184274,7.879637255,2.377245269,3.978701675,10.86218592,10.10476193,6.729983393,10.67925171,14.35477669,6.91774014,13.94349276,10.11803869,7.666249295,13.99043119,8.69300827,14.71695276,18.38482336,6.978529228,17.89863174,14.30309017,11.72518877,4.99374007,0.356899434,7.649075756,11.01848715,7.388780029,6.850400909,0
2010/3/31,14.17405587,16.01347285,6.767981866,7.961709046,5.565598344,4.7389587,11.4454654,11.02061784,7.789951324,10.78736515,12.82013991,7.103123824,17.67288961,10.54047203,7.671999309,15.51214132,7.797092514,14.45840969,18.20114583,7.4259169,18.06106107,15.13964708,12.83319676,7.049092202,2.457665354,6.867746138,10.28850392,7.102552418,6.735011176,0
2010/4/30,14.16977404,15.93232759,6.781296308,8.004531782,5.565598344,4.859618143,11.41248571,10.94213053,7.763507301,10.79287334,12.79144468,7.103123824,17.67288961,10.54047203,7.671999309,15.51214132,7.797092514,14.46491241,18.21991176,7.720466237,18.06106107,15.13964708,12.83319676,7.049092202,2.527155952,6.867746138,9.982023339,7.01534772,6.735011176,0
2010/5/31,14.17146859,16.06501774,6.475806545,8.029762047,5.569900082,4.923531024,11.30903545,10.84171088,7.752350925,10.87272784,12.94739727,7.103123824,17.58219604,10.52730457,7.671999309,15.54322502,8.107832502,14.93757553,18.21991176,7.730586506,18.06106107,14.74046281,12.89339582,7.319869085,2.714121735,6.867746138,10.19069229,7.372906834,6.831880083,0
2010/6/30,13.91587259,16.74463826,7.590016333,8.100095104,8.670361582,5.272814195,11.85347439,10.81167677,8.227606083,11.69205004,12.54191701,7.323156321,19.58709623,11.46532575,8.194469894,15.50127706,8.120980127,14.30520512,19.66539525,7.281996648,19.09596432,14.25411167,12.55471978,9.834476226,5.173010101,6.733642241,9.43886296,7.366551707,5.745907096,0
2010/7/30,13.91587259,16.74463826,7.590016333,8.096250541,8.670361582,5.399870565,11.85347439,10.82256688,8.2163674,11.74312515,12.4502719,7.323156321,19.5062365,11.41498764,8.194469894,15.50127706,8.120980127,14.18864337,19.66539525,7.400310936,19.44659753,14.25411167,12.55471978,9.82740915,5.384624933,6.772237508,9.392336507,7.366551707,5.745907096,0
2010/8/31,13.91587259,16.74463826,7.590016333,8.096250541,8.670361582,5.432588512,11.85347439,10.82256688,8.2163674,11.75591602,12.48510299,7.323156321,19.56291692,11.41498764,8.194469894,15.50127706,8.120980127,14.18864337,19.66539525,7.400310936,19.44659753,14.25411167,12.55471978,9.82740915,5.384624933,6.772237508,9.392336507,7.366551707,5.745907096,0
2010/9/30,14.2198269,17.08813766,7.550154765,8.160208592,6.986989828,6.213349148,11.02270028,10.94036223,7.684042714,12.62677695,11.67371746,7.153454124,19.14948057,11.51800885,8.592925667,15.66830717,8.240407698,13.61501189,19.06780922,7.311481111,18.6099972,12.53007338,12.10779587,13.85308855,6.083967507,6.463351198,9.300110261,7.742629235,7.361771264,0
2010/10/29,14.2198269,17.08813766,7.550154765,8.160208592,6.986989828,6.213349148,11.02270028,10.94036223,7.684042714,12.62677695,11.67371746,7.153454124,19.14948057,11.51800885,8.592925667,15.66830717,8.240407698,13.61501189,19.06780922,7.311481111,18.6099972,12.53007338,12.10779587,13.85308855,6.083967507,6.463351198,9.300110261,7.742629235,7.361771264,0
2010/11/30,14.2198269,17.08813766,7.550154765,8.160208592,6.986989828,6.213349148,11.02270028,10.94036223,7.684042714,12.62677695,11.67371746,7.153454124,19.14948057,11.51800885,8.592925667,15.66830717,8.240407698,13.61501189,19.06780922,7.311481111,18.6099972,12.53007338,12.10779587,13.85308855,6.083967507,6.463351198,9.300110261,7.742629235,7.361771264,0
2010/12/31,15.31072094,17.92519799,8.896228891,8.445858066,6.632371877,8.521833714,11.37540323,13.21260719,6.849136553,12.18466981,10.33710748,7.516907702,18.07176952,14.30688456,8.120710434,15.80941364,10.86347991,13.18190909,19.07712739,8.324614936,18.17450182,13.81282534,12.97376092,14.22915912,6.298168324,6.218600151,9.434593475,8.695212108,9.477267685,0
2011/1/31,15.30078394,17.92519799,8.962009266,8.445858066,6.632371877,8.603413125,11.41825027,13.24491716,6.849136553,12.23459443,11.62775604,7.516907702,18.08474143,14.30688456,8.120710434,15.95021931,10.86347991,13.1193912,19.07712739,8.208857611,18.17450182,13.81282534,12.97376092,14.22915912,6.317463502,6.218600151,9.67057009,8.695212108,9.477267685,0
2011/2/28,15.3024729,17.92519799,8.977663095,8.460212388,6.675720166,8.78608248,11.41825027,13.30483995,6.849136553,12.29557024,11.69232209,7.516907702,18.1178758,14.30688456,8.299157987,15.80933729,10.86347991,13.17451208,19.07712739,8.280617372,18.17450182,13.81282534,12.97376092,14.22915912,6.385412594,6.218600151,9.89031548,8.695212108,9.477267685,0
2011/3/31,15.21250503,17.68173129,9.072826928,8.025590469,6.23579766,8.608010602,11.51288469,13.96792914,7.030234433,12.75819426,10.44186772,7.585021449,17.45743111,14.50398078,8.091841651,15.31584816,12.00935778,12.75796064,19.4931743,8.486399365,18.56828562,13.29295635,12.63846137,13.71567375,6.228338932,5.921461908,9.000155492,9.094276646,9.551593703,0
2011/4/29,15.21250503,17.68173129,9.08498711,8.033892795,6.23579766,8.600432456,11.51288469,13.92705631,7.220433853,12.76374709,10.46771519,7.585021449,17.43497811,14.54179565,8.091841651,15.31584816,12.02456225,12.76643819,19.63251388,8.486399365,18.56828562,13.29295635,12.63846137,13.71567375,6.258392771,5.921461908,9.180317629,9.094276646,9.551593703,0
2011/5/31,15.10300755,17.70895435,9.189999534,8.075991055,6.257614101,8.758456652,11.41286504,13.76074998,7.104959911,12.76881553,10.54290436,7.896354203,17.33559569,14.58531559,11.71202086,15.3603169,12.02456225,12.63647266,19.54687701,8.044173544,18.56828562,13.29295635,12.67335578,13.70913077,6.15840423,5.969588567,9.009454861,8.938250161,10.28901665,0
2011/6/30,14.73686761,18.64890614,11.22165817,8.288460562,5.427271777,9.84845969,11.47594969,16.45016306,6.569380654,13.70967053,9.927734745,7.080932655,15.92602421,14.66562613,11.08958899,15.95603898,12.98218831,12.36588144,20.87797793,8.609895364,19.90083898,13.66221321,13.1757415,12.58849433,6.396548736,6.022897199,9.011586675,9.716672336,11.44361227,0
2011/7/29,14.73686761,18.64890614,11.22165817,8.288460562,5.427271777,9.987974128,11.47594969,16.41547001,6.604689941,13.72089882,9.927734745,7.080932655,15.95528295,14.66562613,11.08958899,15.95603898,12.98218831,12.45650379,20.8461474,8.609895364,19.90083898,13.66221321,13.1757415,12.58578759,6.450912947,6.022897199,9.077542343,9.716672336,11.44361227,0
2011/8/31,14.73686761,18.64890614,11.22165817,8.288460562,5.427271777,9.987974128,11.47594969,16.41547001,6.604689941,13.72089882,9.927734745,7.080932655,15.95528295,14.7030483,11.08958899,15.95603898,12.98218831,12.61264087,20.8461474,8.609895364,19.90083898,13.59794847,13.1757415,12.58578759,6.450912947,6.022897199,9.077542343,9.716672336,11.44361227,0
2011/9/30,14.77460059,18.07533105,11.99143738,6.938253576,5.481398591,10.03270711,11.89235595,17.57451424,6.157284677,12.94052698,9.425627345,4.884888716,15.13380568,15.05323911,11.52985235,15.47120065,13.37382714,12.62168115,20.74089073,8.892867431,19.89071296,12.51812964,13.3044731,10.8148786,6.175138525,5.81075492,9.167381552,9.841144353,10.77105445,0
2011/10/31,14.77460059,18.07533105,11.99143738,6.938253576,5.481398591,10.03270711,11.94253361,17.5190497,6.157284677,12.99497155,9.425627345,4.884888716,15.13380568,15.05323911,11.52985235,15.47120065,13.37382714,12.66943449,20.74089073,8.892867431,19.89071296,12.51812964,13.3044731,10.8148786,6.184429311,5.81075492,9.212316483,9.841144353,10.77105445,0
